From,To,Error
01/01/2025,07/01/2025,failed to visit tender status page for captcha: Forbidden domain
24/09/2025,30/09/2025,failed to visit tender status page for captcha: Forbidden domain
08/01/2025,14/01/2025,failed to visit tender status page for captcha: Forbidden domain
21/05/2025,27/05/2025,failed to visit tender status page for captcha: Forbidden domain
23/07/2025,29/07/2025,failed to visit tender status page for captcha: Forbidden domain
30/07/2025,05/08/2025,failed to visit tender status page for captcha: Forbidden domain
06/08/2025,12/08/2025,failed to visit tender status page for captcha: Forbidden domain
07/05/2025,13/05/2025,failed to visit tender status page for captcha: Forbidden domain
14/05/2025,20/05/2025,failed to visit tender status page for captcha: Forbidden domain
16/07/2025,22/07/2025,failed to visit tender status page for captcha: Forbidden domain
11/06/2025,17/06/2025,failed to visit tender status page for captcha: Forbidden domain
28/05/2025,03/06/2025,failed to visit tender status page for captcha: Forbidden domain
09/04/2025,15/04/2025,failed to visit tender status page for captcha: Forbidden domain
18/06/2025,24/06/2025,failed to visit tender status page for captcha: Forbidden domain
17/09/2025,23/09/2025,failed to visit tender status page for captcha: Forbidden domain
19/03/2025,25/03/2025,failed to visit tender status page for captcha: Forbidden domain
26/03/2025,01/04/2025,failed to visit tender status page for captcha: Forbidden domain
23/04/2025,29/04/2025,failed to visit tender status page for captcha: Forbidden domain
02/04/2025,08/04/2025,failed to visit tender status page for captcha: Forbidden domain
05/02/2025,11/02/2025,failed to visit tender status page for captcha: Forbidden domain
15/01/2025,21/01/2025,failed to visit tender status page for captcha: Forbidden domain
02/07/2025,08/07/2025,failed to visit tender status page for captcha: Forbidden domain
19/02/2025,25/02/2025,failed to visit tender status page for captcha: Forbidden domain
04/06/2025,10/06/2025,failed to visit tender status page for captcha: Forbidden domain
26/02/2025,04/03/2025,failed to visit tender status page for captcha: Forbidden domain
05/03/2025,11/03/2025,failed to visit tender status page for captcha: Forbidden domain
12/02/2025,18/02/2025,failed to visit tender status page for captcha: Forbidden domain
13/08/2025,19/08/2025,failed to visit tender status page for captcha: Forbidden domain
10/09/2025,16/09/2025,failed to visit tender status page for captcha: Forbidden domain
29/01/2025,04/02/2025,failed to visit tender status page for captcha: Forbidden domain
25/06/2025,01/07/2025,failed to visit tender status page for captcha: Forbidden domain
27/08/2025,02/09/2025,failed to visit tender status page for captcha: Forbidden domain
12/03/2025,18/03/2025,failed to visit tender status page for captcha: Forbidden domain
09/07/2025,15/07/2025,failed to visit tender status page for captcha: Forbidden domain
16/04/2025,22/04/2025,failed to visit tender status page for captcha: Forbidden domain
22/01/2025,28/01/2025,failed to visit tender status page for captcha: Forbidden domain
20/08/2025,26/08/2025,failed to visit tender status page for captcha: Forbidden domain
30/04/2025,06/05/2025,failed to visit tender status page for captcha: Forbidden domain
03/09/2025,09/09/2025,failed to visit tender status page for captcha: Forbidden domain
