From,To,Error
,,Forbidden domain
01/01/2025,07/01/2025,failed to visit initial page: Forbidden domain
,,Forbidden domain
08/01/2025,14/01/2025,failed to visit initial page: Forbidden domain
,,Forbidden domain
15/01/2025,21/01/2025,failed to visit initial page: Forbidden domain
,,Forbidden domain
22/01/2025,28/01/2025,failed to visit initial page: Forbidden domain
,,Forbidden domain
30/04/2025,06/05/2025,failed to visit initial page: Forbidden domain
,,Forbidden domain
20/08/2025,26/08/2025,failed to visit initial page: Forbidden domain
,,Forbidden domain
09/04/2025,15/04/2025,failed to visit initial page: Forbidden domain
,,Forbidden domain
21/05/2025,27/05/2025,failed to visit initial page: Forbidden domain
,,Forbidden domain
28/05/2025,03/06/2025,failed to visit initial page: Forbidden domain
,,Forbidden domain
14/05/2025,20/05/2025,failed to visit initial page: Forbidden domain
,,Forbidden domain
09/07/2025,15/07/2025,failed to visit initial page: Forbidden domain
,,Forbidden domain
16/07/2025,22/07/2025,failed to visit initial page: Forbidden domain
,,Forbidden domain
10/09/2025,16/09/2025,failed to visit initial page: Forbidden domain
,,Forbidden domain
02/04/2025,08/04/2025,failed to visit initial page: Forbidden domain
,,Forbidden domain
26/02/2025,04/03/2025,failed to visit initial page: Forbidden domain
,,Forbidden domain
19/03/2025,25/03/2025,failed to visit initial page: Forbidden domain
,,Forbidden domain
04/06/2025,10/06/2025,failed to visit initial page: Forbidden domain
,,Forbidden domain
13/08/2025,19/08/2025,failed to visit initial page: Forbidden domain
,,Forbidden domain
12/02/2025,18/02/2025,failed to visit initial page: Forbidden domain
,,Forbidden domain
19/02/2025,25/02/2025,failed to visit initial page: Forbidden domain
,,Forbidden domain
12/03/2025,18/03/2025,failed to visit initial page: Forbidden domain
