Serial,Link,Error
33,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SDCwSSM%2F1cXRYrKSzlI8Lkw%3D%3D,failed after 3 attempts: Forbidden domain
32,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SYGk91t5442uvy88Y9reH1A%3D%3D,failed after 3 attempts: Forbidden domain
27,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sd9f84crBEpNAcU5lr3NSIA%3D%3D,failed after 3 attempts: Forbidden domain
29,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=STz9Yp%2BAO3PnyOkfZ7Umqjw%3D%3D,failed after 3 attempts: Forbidden domain
45,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SFVHmIGn0qvo%2FR1qtM329mA%3D%3D,failed after 3 attempts: Forbidden domain
37,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SeBH6q8q6i1%2BUSRgn6uUXSQ%3D%3D,failed after 3 attempts: Forbidden domain
39,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SsLiH4jfFnqZ43s5mJ4ZHdQ%3D%3D,failed after 3 attempts: Forbidden domain
47,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SygtNinqPPo8OL48AsIp6Uw%3D%3D,failed after 3 attempts: Forbidden domain
51,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SilcBTwVRq8WbhJCxpfxsYQ%3D%3D,failed after 3 attempts: Forbidden domain
58,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SZ%2FNItA3hmNDclsa6IFhxnQ%3D%3D,failed after 3 attempts: Forbidden domain
64,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S%2FGAiuZngOQYg1gLyr4lYgw%3D%3D,failed after 3 attempts: Forbidden domain
56,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SMBL9vlujyjqoyGSy9NJ%2FIA%3D%3D,failed after 3 attempts: Forbidden domain
17,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SretSG82HTOcRHsMMCswjOw%3D%3D,failed after 3 attempts: Forbidden domain
13,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SvrSWZsOC9P%2FZjW4nMQOoNA%3D%3D,failed after 3 attempts: Forbidden domain
94,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S3e1QyOuDBkVOT8pbgUysfg%3D%3D,failed after 3 attempts: Forbidden domain
95,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S66pHNUiQjElAYTjpW31cfA%3D%3D,failed after 3 attempts: Forbidden domain
70,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SFFjLdSVyNazVGJ9O%2F7wcaA%3D%3D,failed after 3 attempts: Forbidden domain
9,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=STdB7dkJxiZaUbWSC2Mrnlw%3D%3D,failed after 3 attempts: Forbidden domain
7,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S5mS46q3orEMLVnEK1iVfGw%3D%3D,failed after 3 attempts: Forbidden domain
38,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SHJRR2laDyMbS4muyzlLBMA%3D%3D,failed after 3 attempts: Forbidden domain
116,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SUspxWUHVcLIu7UYFpGK6LQ%3D%3D,failed after 3 attempts: Forbidden domain
93,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Srui8yk11SHf3GOu%2BhkPzBg%3D%3D,failed after 3 attempts: Forbidden domain
65,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S31xu%2BjzUnfs7LP%2F93JI29w%3D%3D,failed after 3 attempts: Forbidden domain
15,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SBd1LowJPEldNtc%2BMBVZU1g%3D%3D,failed after 3 attempts: Forbidden domain
59,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SuXdSmTGW4wZIiMCP0nqqjQ%3D%3D,failed after 3 attempts: Forbidden domain
107,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SGc0bXYoV3nqxyZW6OND60g%3D%3D,failed after 3 attempts: Forbidden domain
1,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=ShOaRWRlnHsB%2F%2FriyNnRnDw%3D%3D,failed after 3 attempts: Forbidden domain
102,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S3YBpuupGy4%2F7ehHU1dijMQ%3D%3D,failed after 3 attempts: Forbidden domain
78,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SIJWjFZWHUN8I6MkMOOY2kw%3D%3D,failed after 3 attempts: Forbidden domain
67,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sflr%2BjZ7o3Wo7PJ71WcsO0Q%3D%3D,failed after 3 attempts: Forbidden domain
28,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SoTCssFuhjCKQZoyb7Xu01w%3D%3D,failed after 3 attempts: Forbidden domain
40,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SD26y4A7hvoAydRMEPZRRZg%3D%3D,failed after 3 attempts: Forbidden domain
85,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SRhyM0QpZIUWdujfltXk9hQ%3D%3D,failed after 3 attempts: Forbidden domain
86,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SsKLzlMx7XNaEL5ruhZQWeg%3D%3D,failed after 3 attempts: Forbidden domain
89,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SGv9coTKyvB3DbcGZFS%2BmpQ%3D%3D,failed after 3 attempts: Forbidden domain
100,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SMRXrePTFgP0mRlmExXw%2FMQ%3D%3D,failed after 3 attempts: Forbidden domain
43,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S9uiHupiIvIST2BXGU7weLA%3D%3D,failed after 3 attempts: Forbidden domain
87,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SN%2FrJPNJsP1NJ6UBFeVv0Ug%3D%3D,failed after 3 attempts: Forbidden domain
79,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SdpfXDnv9RC4MnfeBKFKdZQ%3D%3D,failed after 3 attempts: Forbidden domain
90,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S4ewAD9JuJaM6R57LACVKVA%3D%3D,failed after 3 attempts: Forbidden domain
104,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SAgaGmnBEnDu3o2OUoOnkyA%3D%3D,failed after 3 attempts: Forbidden domain
63,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SAHFbQkWyFQ1mkqJhZlKHEA%3D%3D,failed after 3 attempts: Forbidden domain
99,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SrRDwn%2F8A%2FplmMUetLxLqGQ%3D%3D,failed after 3 attempts: Forbidden domain
53,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SaFce8uICdlrqPWsB%2FVUplw%3D%3D,failed after 3 attempts: Forbidden domain
41,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sxe0jnsGWxkw%2Bjsuq6NKdjw%3D%3D,failed after 3 attempts: Forbidden domain
22,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SO%2B3fk%2Bng2ODutgz5KNWaLQ%3D%3D,failed after 3 attempts: Forbidden domain
101,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=ShMTppxYcLjJ8aRyxYFRn7g%3D%3D,failed after 3 attempts: Forbidden domain
46,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SfQnVKuq82n2jQ0Ihlgh%2FFA%3D%3D,failed after 3 attempts: Forbidden domain
108,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SY6sLrEebA2LEBgka%2BJ6WKQ%3D%3D,failed after 3 attempts: Forbidden domain
103,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S9PefSKINRWkLq0cJ97I6EA%3D%3D,failed after 3 attempts: Forbidden domain
14,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SC9NMUqP9EPjKrZOpOrx5ZQ%3D%3D,failed after 3 attempts: Forbidden domain
88,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S5vWObINKSTYPp%2B8PRCqOhg%3D%3D,failed after 3 attempts: Forbidden domain
105,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SpcOPQolI%2B4u%2FfvZvcQzgFA%3D%3D,failed after 3 attempts: Forbidden domain
109,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SPLxEWkRUyL%2BGzlN6cre%2FJg%3D%3D,failed after 3 attempts: Forbidden domain
