Serial,Link,Error
6,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=So0b7eI2sM5Gdfv3rP83QiA%3D%3D,failed after 3 attempts: Forbidden domain
10,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SHXQwGUHrLZf8r%2B01Vzh5rQ%3D%3D,failed after 3 attempts: Forbidden domain
2,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SYUYza5M7dZCsJCyjQPusJA%3D%3D,failed after 3 attempts: Forbidden domain
14,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sy%2FNZ4S3UtWyp5v7uqj1Ctg%3D%3D,failed after 3 attempts: Forbidden domain
12,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=ST%2F5wpthSClelxwo1tD8jLg%3D%3D,failed after 3 attempts: Forbidden domain
15,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SrDn%2Fy16F50BiUgn5axSyqw%3D%3D,failed after 3 attempts: Forbidden domain
1,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=ScJQ%2Bx06RFQV0j%2BeOqZuyaQ%3D%3D,failed after 3 attempts: Forbidden domain
18,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SfrDuvrxHWX2Zog7XpU%2F7Aw%3D%3D,failed after 3 attempts: Forbidden domain
16,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S8nGuB5VHp8drzj%2B63MiDVA%3D%3D,failed after 3 attempts: Forbidden domain
11,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SAU7am9kxQaQFzfw2NTwRgA%3D%3D,failed after 3 attempts: Forbidden domain
19,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SErRNi%2FrBbqt9d25Cpzt35w%3D%3D,failed after 3 attempts: Forbidden domain
24,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SUe5suqPuqxsl3meB8C5fGg%3D%3D,failed after 3 attempts: Forbidden domain
29,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SIzY3gPqa3rDWIzFOgLSd3A%3D%3D,failed after 3 attempts: Forbidden domain
20,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S1n9x0kRGzW4u1bvUHoMkYQ%3D%3D,failed after 3 attempts: Forbidden domain
28,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SDX%2F7vvsXMRH812CnpZQzoA%3D%3D,failed after 3 attempts: Forbidden domain
30,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SeqiPkzaCYW5aE1WIZ%2F6UhQ%3D%3D,failed after 3 attempts: Forbidden domain
22,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SRIYPThIBC9LoU9BfFHRPzQ%3D%3D,failed after 3 attempts: Forbidden domain
9,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S8XjIaar0l6knr7E9YsztGQ%3D%3D,failed after 3 attempts: Forbidden domain
3,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sp7BfwAVx2AwTZgEt7Yp5Cw%3D%3D,failed after 3 attempts: Forbidden domain
13,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SOMW%2Fe8xdw2JJ3R7WB6Hr8A%3D%3D,failed after 3 attempts: Forbidden domain
7,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SOT9eF1z9TvllQ33F%2BW7keg%3D%3D,failed after 3 attempts: Forbidden domain
26,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sn%2F3M5BF35qhOhCqqzcyLjQ%3D%3D,failed after 3 attempts: Forbidden domain
5,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SjEGZhKVNVpJPKKK%2Bp7WKdg%3D%3D,failed after 3 attempts: Forbidden domain
31,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S9aJ7Bt7qQCIcvdCbo42aaA%3D%3D,failed after 3 attempts: Forbidden domain
25,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SOttvVM1xLDmBP%2B%2BPxRhWCg%3D%3D,failed after 3 attempts: Forbidden domain
4,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SgmfkNpoLVlyOLJQKbjoczA%3D%3D,failed after 3 attempts: Forbidden domain
21,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SM%2BZRdvRPT4NLOY11BlCyCA%3D%3D,failed after 3 attempts: Forbidden domain
23,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SapTZmJs92smyu5VVZT59sg%3D%3D,failed after 3 attempts: Forbidden domain
8,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S%2BaTzhkayKctz8YQBVEF9sg%3D%3D,failed after 3 attempts: Forbidden domain
27,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=StCNGeb8IpHNWLW6vI1h74g%3D%3D,failed after 3 attempts: Forbidden domain
17,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SekmCzdBq75VcUxy1FVjzIw%3D%3D,failed after 3 attempts: Forbidden domain
