Serial,Link,Error
8,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SmADKg%2Furl5P%2B3axRG3X%2Few%3D%3D,failed after 3 attempts: Forbidden domain
1,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SACCK%2BNt%2FUN8mQIPzhjgXLA%3D%3D,failed after 3 attempts: Forbidden domain
11,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S%2FZL9HIpgbJDnFxfGAWhLbQ%3D%3D,failed after 3 attempts: Forbidden domain
24,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SFpPhEcGEP%2BYyNX8mC5Gvdg%3D%3D,failed after 3 attempts: Forbidden domain
88,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S4dDcLofs7A1k4McxCGF4oQ%3D%3D,failed after 3 attempts: Forbidden domain
80,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SG1a181JrFYSzKVREZo2mTg%3D%3D,failed after 3 attempts: Forbidden domain
90,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S4%2Bp7QESEysmupsmvo1fttQ%3D%3D,failed after 3 attempts: Forbidden domain
40,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SvwJA4sO5N7W8yPvgdc33Hw%3D%3D,failed after 3 attempts: Forbidden domain
22,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=ShpLHt6%2FFg6ApKl%2F0T7gvpQ%3D%3D,failed after 3 attempts: Forbidden domain
118,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SMm0wpa97P%2FEGh3b3ziajEQ%3D%3D,failed after 3 attempts: Forbidden domain
51,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sn2Qt7wQf%2BFbpGPHIvQbK8g%3D%3D,failed after 3 attempts: Forbidden domain
57,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SE%2BVrUP905tm01P6rxWFfww%3D%3D,failed after 3 attempts: Forbidden domain
97,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SmRzWhC4hp2Hx4hWMMLA1Mg%3D%3D,failed after 3 attempts: Forbidden domain
17,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SBbNz7nFfNDaBSnTLZia1ZQ%3D%3D,failed after 3 attempts: Forbidden domain
48,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SI8wbeLkdEkqsQfW1iY%2BvPw%3D%3D,failed after 3 attempts: Forbidden domain
7,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S6XRPQc5BRc0C0zE6ZDHxgg%3D%3D,failed after 3 attempts: Forbidden domain
63,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S7jUwmFLEaE8zPTqTkCiWdQ%3D%3D,failed after 3 attempts: Forbidden domain
65,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SG3lNBLbwdz64i%2F0w0Sn2xw%3D%3D,failed after 3 attempts: Forbidden domain
107,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S1LIPjzzuLKf9iPqiQwvvYA%3D%3D,failed after 3 attempts: Forbidden domain
99,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SBj%2BC6PSZQoionN60SngoqQ%3D%3D,failed after 3 attempts: Forbidden domain
