Serial,Link,Error
2,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SebW07b72p2AeG6dqkgSVog%3D%3D,failed after 3 attempts: Forbidden domain
6,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SyZnS%2Byhiw5uZvRHtzkwObQ%3D%3D,failed after 3 attempts: Forbidden domain
5,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=ScOIewUU53rRohAJBd8njqg%3D%3D,failed after 3 attempts: Forbidden domain
27,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S%2Fvn5VFlgXKyvo%2FzOikXFpQ%3D%3D,failed after 3 attempts: Forbidden domain
23,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S8G6v%2FQMA0YijFIoT5tCICg%3D%3D,failed after 3 attempts: Forbidden domain
16,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SCp%2BrIuEW2fO6FEQK1tHQnw%3D%3D,failed after 3 attempts: Forbidden domain
3,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SNTnTEkD7abump2%2BC6j5YQg%3D%3D,failed after 3 attempts: Forbidden domain
10,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SPtFk9RrboGSh%2FwG6cgVRqQ%3D%3D,failed after 3 attempts: Forbidden domain
32,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SrAm1rkQdsOhioaRZd8O4xw%3D%3D,failed after 3 attempts: Forbidden domain
28,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SoG581iw9dsO34wuqjmIVuQ%3D%3D,failed after 3 attempts: Forbidden domain
21,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SRDrs9FevfEXdr7JMhzRuzg%3D%3D,failed after 3 attempts: Forbidden domain
25,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SQ6FMDTA%2F2dT1REDuU8Z4cA%3D%3D,failed after 3 attempts: Forbidden domain
