Serial,Link,Error
64,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SS2ujExqpSRrmXyHqejUqZg%3D%3D,failed after 3 attempts: Forbidden domain
43,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SAQnMuzVKSODrbiZ2jmwL5A%3D%3D,failed after 3 attempts: Forbidden domain
68,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SlKk5FoKt47gs1sitU7LhFA%3D%3D,failed after 3 attempts: Forbidden domain
24,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SmjknhZnK3hb5laQdOXbRkQ%3D%3D,failed after 3 attempts: Forbidden domain
96,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SEqBGfMcYWu%2FVozNSXzBElw%3D%3D,failed after 3 attempts: Forbidden domain
49,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SJGPq91J21u1wyBDd94QoSQ%3D%3D,failed after 3 attempts: Forbidden domain
93,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SQL0zQOlpNX0VJbD7xJ%2BVNA%3D%3D,failed after 3 attempts: Forbidden domain
70,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sh3BghSAXO8guwg1ktQ%2BWcg%3D%3D,failed after 3 attempts: Forbidden domain
56,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SyZPJxocpGI3P8T5s57203w%3D%3D,failed after 3 attempts: Forbidden domain
38,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SJokY8CCwljRHYzMADEKN4g%3D%3D,failed after 3 attempts: Forbidden domain
10,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S%2FcP1opQ2jCNXjTrbnTjtFw%3D%3D,failed after 3 attempts: Forbidden domain
86,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SeOu4YqvmpIGf%2F1MlZfthqQ%3D%3D,failed after 3 attempts: Forbidden domain
87,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sm8S1TJRs3onOSc9LQsi0XQ%3D%3D,failed after 3 attempts: Forbidden domain
33,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SvcO0NoVklB1kqSj%2F4F%2BGpw%3D%3D,failed after 3 attempts: Forbidden domain
34,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SU52yfLwwsQDWUkTU0c8H5w%3D%3D,failed after 3 attempts: Forbidden domain
22,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Suv%2FEoIiSNAPGiP7A8aqAIQ%3D%3D,failed after 3 attempts: Forbidden domain
29,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SDoSsiSaXP%2F3YQj%2FOvTTWWQ%3D%3D,failed after 3 attempts: Forbidden domain
30,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=STVxWyIm2hsti0pWwEzaAKw%3D%3D,failed after 3 attempts: Forbidden domain
36,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SULKV%2BPvd8T2mrKk2Ysf2TA%3D%3D,failed after 3 attempts: Forbidden domain
58,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SLB88kTrf2EwvRbOkmgkaNw%3D%3D,failed after 3 attempts: Forbidden domain
75,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SOHgg4A8w5r3p%2B33CxjzxfA%3D%3D,failed after 3 attempts: Forbidden domain
76,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SthzMtQB99MH9yHboUAB2xQ%3D%3D,failed after 3 attempts: Forbidden domain
67,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sl1GLFHFK1xIMhjFWKhg3NA%3D%3D,failed after 3 attempts: Forbidden domain
85,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SJvDjoYdf18e1XMGFxmQa0g%3D%3D,failed after 3 attempts: Forbidden domain
90,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S%2FoYT4hjG6ISn8hNVub1ZSQ%3D%3D,failed after 3 attempts: Forbidden domain
54,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S0jEU%2BO%2B4DH6rfQXyxwb2wA%3D%3D,failed after 3 attempts: Forbidden domain
71,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SzKlNz4k98NuiU1uTtSl7Sg%3D%3D,failed after 3 attempts: Forbidden domain
