Serial,Link,Error
34,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S42I71BB6I3Rxz8a0DQ7Q6Q%3D%3D,failed after 3 attempts: Forbidden domain
12,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S%2Bwgn4DjulJYrRfuxrq6bhQ%3D%3D,failed after 3 attempts: Forbidden domain
27,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=San%2F2q3bbs6sgsTbrHAZQmQ%3D%3D,failed after 3 attempts: Forbidden domain
18,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SYuwahOSbYUecEHc%2ByqRRpA%3D%3D,failed after 3 attempts: Forbidden domain
31,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sa2ycKTHrxpEqhh%2FpOTk9Ig%3D%3D,failed after 3 attempts: Forbidden domain
2,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SjOTWJgLTnbOQMxMgEioG7Q%3D%3D,failed after 3 attempts: Forbidden domain
14,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SodTVkf7xrtpDdc6JegP7FQ%3D%3D,failed after 3 attempts: Forbidden domain
45,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SQfnLNtb6e%2BeQTf%2BPrKAg%2FQ%3D%3D,failed after 3 attempts: Forbidden domain
16,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S5B%2BLLjCV7nlAaTd93u5ItA%3D%3D,failed after 3 attempts: Forbidden domain
40,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SYe3LIMoBz5ksROJ%2F5bhkAA%3D%3D,failed after 3 attempts: Forbidden domain
47,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S%2F2CZ8%2B2q02338hFpzeXMFA%3D%3D,failed after 3 attempts: Forbidden domain
112,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S8GZ76fxDNxM5p%2BOYG1lEUA%3D%3D,failed after 3 attempts: Forbidden domain
48,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=StL%2FG4lWeOqVJBlPSjOcu1Q%3D%3D,failed after 3 attempts: Forbidden domain
111,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SUTAljYV5da4BF7wz9DCuIA%3D%3D,failed after 3 attempts: Forbidden domain
68,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=ScHFOiQ9H984taOomU3DDoQ%3D%3D,failed after 3 attempts: Forbidden domain
107,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SfHIeR83BdQZIB3bmiz0aFg%3D%3D,failed after 3 attempts: Forbidden domain
103,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SVndgWHMJXjYELEQOGvYc2Q%3D%3D,failed after 3 attempts: Forbidden domain
92,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SqaQeEkSE6PkLTnSRLcKbNg%3D%3D,failed after 3 attempts: Forbidden domain
93,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SiEjlBwSsVDpfFzm%2FKGXMWw%3D%3D,failed after 3 attempts: Forbidden domain
91,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S2r4RJuLbtHljoheewLXWLg%3D%3D,failed after 3 attempts: Forbidden domain
96,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SJakehKrajPPm4w8LoMjf8Q%3D%3D,failed after 3 attempts: Forbidden domain
4,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SB0fFID%2F5sCYQyHDaAX%2B3XA%3D%3D,failed after 3 attempts: Forbidden domain
100,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S6%2BZZZZHnXipdrhAp62kKMg%3D%3D,failed after 3 attempts: Forbidden domain
28,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SgWTL1pDRoUTz%2FGHK8tfpmQ%3D%3D,failed after 3 attempts: Forbidden domain
51,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SuBtGPtjQ7cTEhHyimVNtbw%3D%3D,failed after 3 attempts: Forbidden domain
102,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SLvyGASt2u%2FSCkvQX00CnaA%3D%3D,failed after 3 attempts: Forbidden domain
38,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SD4vZ3Tfw6Ej61QUlQ0U15Q%3D%3D,failed after 3 attempts: Forbidden domain
56,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SZmJ1ex5BPFwuZMQB3Op57A%3D%3D,failed after 3 attempts: Forbidden domain
41,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S9z1tkS1l62mFTEcfaNyOEg%3D%3D,failed after 3 attempts: Forbidden domain
23,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SfXo3QYEjomwzR1FA55lpWw%3D%3D,failed after 3 attempts: Forbidden domain
30,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SE7Ciij4KaN6rR2uw%2B7bw2Q%3D%3D,failed after 3 attempts: Forbidden domain
116,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SWS%2FdWkdLpCh5fPzZt5utTw%3D%3D,failed after 3 attempts: Forbidden domain
25,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SmlJTeqZj6ZyBBORiZHD1Gw%3D%3D,failed after 3 attempts: Forbidden domain
117,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SnAzWrj8lXWsaQPx3YoPCng%3D%3D,failed after 3 attempts: Forbidden domain
21,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SLnASEMRmtQYtksZASofexw%3D%3D,failed after 3 attempts: Forbidden domain
50,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SPu5hr%2FYV0vcwJNjLY8mIrw%3D%3D,failed after 3 attempts: Forbidden domain
67,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SIBh3u5mvtDgCgeoeO4mTIA%3D%3D,failed after 3 attempts: Forbidden domain
59,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S4TXpSfwIH8GwPNetHMtwtg%3D%3D,failed after 3 attempts: Forbidden domain
78,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SUSW2lUT6H%2FNtkYY%2BvzdoGQ%3D%3D,failed after 3 attempts: Forbidden domain
83,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SAzgP1Lo%2Bda9a%2BGieWJSzvQ%3D%3D,failed after 3 attempts: Forbidden domain
60,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SzxGFx5CZUm5FUxS8KKM2BQ%3D%3D,failed after 3 attempts: Forbidden domain
22,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S4oVeS1nflEuYQYZkatI06g%3D%3D,failed after 3 attempts: Forbidden domain
75,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=STanTH3Xm7rKWMfj8uVTk5A%3D%3D,failed after 3 attempts: Forbidden domain
80,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SkPoKZ9m6kcco41GkWtnVow%3D%3D,failed after 3 attempts: Forbidden domain
69,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SZFq04W7VshYObGkeZwkfDg%3D%3D,failed after 3 attempts: Forbidden domain
24,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sdsqz713WkIH8adLdZ%2BlX3w%3D%3D,failed after 3 attempts: Forbidden domain
108,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S790xcqZadWiOgaN73IAhWg%3D%3D,failed after 3 attempts: Forbidden domain
109,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sl7PRDL6z8iRqjv9Bxeffnw%3D%3D,failed after 3 attempts: Forbidden domain
62,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sy9ZOyGYS7nK0grj%2BtSN%2BAg%3D%3D,failed after 3 attempts: Forbidden domain
39,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SZ6kdOGILr3r3nWhamyljkw%3D%3D,failed after 3 attempts: Forbidden domain
118,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SJHcABzelauEODdhPQDepFg%3D%3D,failed after 3 attempts: Forbidden domain
20,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S0qqj9mzM8putOnSGyBNNHA%3D%3D,failed after 3 attempts: Forbidden domain
115,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SXpBZVcUoSaiCojKDr69Onw%3D%3D,failed after 3 attempts: Forbidden domain
54,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SZZM5XMk0D5gPtkQvl2wGBw%3D%3D,failed after 3 attempts: Forbidden domain
63,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sb2iiXWnR67hkY8q6MU%2BBqQ%3D%3D,failed after 3 attempts: Forbidden domain
104,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S8Y22Q0Bn8BRJYe%2F9C0KG4w%3D%3D,failed after 3 attempts: Forbidden domain
19,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SMc7MnI2tdWaz8llTq%2BB7AQ%3D%3D,failed after 3 attempts: Forbidden domain
114,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SR1kRJTQFMtDgKH6ZXoNcgQ%3D%3D,failed after 3 attempts: Forbidden domain
95,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SqOY8vyvVoMDJsdZo%2BiYq4w%3D%3D,failed after 3 attempts: Forbidden domain
33,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SVqyCU%2BDMiP0%2F9OHLThqpQQ%3D%3D,failed after 3 attempts: Forbidden domain
7,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S0qFeYfDh963R9SOxd2GL1Q%3D%3D,failed after 3 attempts: Forbidden domain
