Serial,Link,Error
2,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S5M%2BnC0cjYdmvvdaxySPgPQ%3D%3D,failed after 3 attempts: Forbidden domain
3,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SPLLhbD1%2B7PEgk%2FxkG88VUw%3D%3D,failed after 3 attempts: Forbidden domain
4,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S%2BUCHXceQFeHEPapeB20apw%3D%3D,failed after 3 attempts: Forbidden domain
9,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SWWQFnpRrLdm%2FRoqBBOcsOg%3D%3D,failed after 3 attempts: Forbidden domain
13,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sjglk%2FBGBhw%2BjhBz7Svspbw%3D%3D,failed after 3 attempts: Forbidden domain
17,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SfcCs%2FDhNa9RZrRlU4jROyQ%3D%3D,failed after 3 attempts: Forbidden domain
30,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SrWch9NlpNeimej%2FVPznO%2BA%3D%3D,failed after 3 attempts: Forbidden domain
39,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SQltOoErYqmOv8ohRY0P10g%3D%3D,failed after 3 attempts: Forbidden domain
10,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SweSdiSsxp3rV8j1SUjYmuQ%3D%3D,failed after 3 attempts: Forbidden domain
33,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SgYhi9mWLZpjvmMJrjZNbVQ%3D%3D,failed after 3 attempts: Forbidden domain
27,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S1sKMF5nGUF2y5q%2FJ6SV%2BJw%3D%3D,failed after 3 attempts: Forbidden domain
31,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sz5Bq%2F8RcAYlKb1WRlStklA%3D%3D,failed after 3 attempts: Forbidden domain
21,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SkANbp0TsboogaoRJHj9i2Q%3D%3D,failed after 3 attempts: Forbidden domain
18,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SDY3bcdQbXCglc4%2BQueow7w%3D%3D,failed after 3 attempts: Forbidden domain
20,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SCYWOWwymlNjB86hFuyLXjw%3D%3D,failed after 3 attempts: Forbidden domain
5,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SXoRZSq2%2FXuumydR1AXxN1g%3D%3D,failed after 3 attempts: Forbidden domain
16,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sb8THS3klfvD1Ub0vrWVyYg%3D%3D,failed after 3 attempts: Forbidden domain
25,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SHNkU4wRyos4izoHA5eEJsQ%3D%3D,failed after 3 attempts: Forbidden domain
36,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SrNQOiJImpadIVSRG1L7%2B9g%3D%3D,failed after 3 attempts: Forbidden domain
1,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SaaL41pvOXnIsrT31DxDXKQ%3D%3D,failed after 3 attempts: Forbidden domain
22,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Swtj8NYf4w3Bk7Rdk7WT2HQ%3D%3D,failed after 3 attempts: Forbidden domain
32,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SBOkPL%2Bh9nuc35noO5t357w%3D%3D,failed after 3 attempts: Forbidden domain
28,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S0mTF1EvYuVW6c53OWroyoA%3D%3D,failed after 3 attempts: Forbidden domain
