Serial,Link,Error
32,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sk7TKvbhZH28Yx1SYIK2%2FoQ%3D%3D,failed after 3 attempts: Forbidden domain
10,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SMXuFqZlBkW5qnT4iMLwIKw%3D%3D,failed after 3 attempts: Forbidden domain
20,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S2zyRvCcjIblu7PN7sbH%2BHQ%3D%3D,failed after 3 attempts: Forbidden domain
15,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SXRjQW2vYKc3tsDWS92g2yQ%3D%3D,failed after 3 attempts: Forbidden domain
23,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SP7ITUPXI%2FCJXKaUr1qKvtQ%3D%3D,failed after 3 attempts: Forbidden domain
5,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S7EwjsEMzC53vy7Bm6Hnrbw%3D%3D,failed after 3 attempts: Forbidden domain
2,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SkodmOSu2VqfqhLEgI2Rb3g%3D%3D,failed after 3 attempts: Forbidden domain
46,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Syyh7lnQ%2BmJCBZXtgNvgpzA%3D%3D,failed after 3 attempts: Forbidden domain
37,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SQF51fCJemj1Ta88HFhpn5A%3D%3D,failed after 3 attempts: Forbidden domain
16,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S%2FI4Wiz3yB%2FEh2ggpP9EEKQ%3D%3D,failed after 3 attempts: Forbidden domain
25,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SkPjDIGINDapiAF18BiriMg%3D%3D,failed after 3 attempts: Forbidden domain
6,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S6s7LoWlNv%2FARhTi7OiTotQ%3D%3D,failed after 3 attempts: Forbidden domain
11,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=St5JRj19F61GF2DN2XsANGQ%3D%3D,failed after 3 attempts: Forbidden domain
13,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SrYRpv61YBInX18p1hewxhQ%3D%3D,failed after 3 attempts: Forbidden domain
48,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SWhxcNmyQmwUgnOJqcxSSdA%3D%3D,failed after 3 attempts: Forbidden domain
29,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SbX1QATxVfWTzArKpOuP%2B%2Bg%3D%3D,failed after 3 attempts: Forbidden domain
24,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S7v81H4dDomMBoKMDyRc6zA%3D%3D,failed after 3 attempts: Forbidden domain
7,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sddsc308HUh9Nqg9svjzWJw%3D%3D,failed after 3 attempts: Forbidden domain
19,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S5JgBgLiiMuvvlCdP6Ij%2F7g%3D%3D,failed after 3 attempts: Forbidden domain
12,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S7a4hVbSwapVnz17x%2FAQUBA%3D%3D,failed after 3 attempts: Forbidden domain
49,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S%2F7bB27qR0OigQM5yXNYAmA%3D%3D,failed after 3 attempts: Forbidden domain
38,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SKhZUlJrcJPPomWkRKHzB1Q%3D%3D,failed after 3 attempts: Forbidden domain
17,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SbN3XyRzujyjcgeGarydnwA%3D%3D,failed after 3 attempts: Forbidden domain
41,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SoP4SwHGzuLRfx51QvI0pyA%3D%3D,failed after 3 attempts: Forbidden domain
33,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Smmqafkg21jeS7zxL3WoK5Q%3D%3D,failed after 3 attempts: Forbidden domain
14,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SSXlit1NJHivlMT9gVeuX1g%3D%3D,failed after 3 attempts: Forbidden domain
36,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sp4EZZj6r%2BkXnXwrLZfkw%2FA%3D%3D,failed after 3 attempts: Forbidden domain
18,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SGKhaPFJDOzoYPhm5nvuWKg%3D%3D,failed after 3 attempts: Forbidden domain
4,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SOD6aYD3uX4Vtm%2FGGvetWdg%3D%3D,failed after 3 attempts: Forbidden domain
35,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sxl1gxbxFmUO69rBCVAs%2FCA%3D%3D,failed after 3 attempts: Forbidden domain
44,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S30rXLpWci80UzKrn2WITZA%3D%3D,failed after 3 attempts: Forbidden domain
8,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S8qBpC3n4%2FC%2BDj4Z9hYn97Q%3D%3D,failed after 3 attempts: Forbidden domain
34,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S7T36x2VlCPMI8GLQIyQgIQ%3D%3D,failed after 3 attempts: Forbidden domain
26,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SJjU9KyxuNtoT4YLg4hGDeg%3D%3D,failed after 3 attempts: Forbidden domain
45,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S6Of6511U0L3ntF%2F3TZ7KJw%3D%3D,failed after 3 attempts: Forbidden domain
42,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SXU8OHxEmkSngdqoz5txpQA%3D%3D,failed after 3 attempts: Forbidden domain
22,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=STIeGgIkTwoPhkUHlVk3iiw%3D%3D,failed after 3 attempts: Forbidden domain
43,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SE1NQeVZUPeXuXEMzK6bLpQ%3D%3D,failed after 3 attempts: Forbidden domain
3,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SpvYkxLgwWLlkvCYsIGgyqQ%3D%3D,failed after 3 attempts: Forbidden domain
39,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SRdcjz1zFxxJpg4tKITINew%3D%3D,failed after 3 attempts: Forbidden domain
51,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S3s7JiQDsU1SHaVdoL9hpkw%3D%3D,failed after 3 attempts: Forbidden domain
52,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SZtUEeYE%2B2QvKk5lR5NJymA%3D%3D,failed after 3 attempts: Forbidden domain
54,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SSliDKsFvyTlHb99YMmNCcA%3D%3D,failed after 3 attempts: Forbidden domain
56,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sp7f4dwrMHzUAWWUdHbWweA%3D%3D,failed after 3 attempts: Forbidden domain
60,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SuXF92nRjWbV84IK6IHnmjw%3D%3D,failed after 3 attempts: Forbidden domain
59,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SOeKgMJDe0q9oB2jfUcyI1A%3D%3D,failed after 3 attempts: Forbidden domain
61,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SCbOh1MF0NYXMCrQI%2Fc80SQ%3D%3D,failed after 3 attempts: Forbidden domain
64,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SgztVVpxMdc0Rift4UQ3TRA%3D%3D,failed after 3 attempts: Forbidden domain
65,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SuXOePmsK%2FqqXkdm9UOmZFw%3D%3D,failed after 3 attempts: Forbidden domain
66,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SbrjN9mAvCVqOcNLd%2FS1NhA%3D%3D,failed after 3 attempts: Forbidden domain
68,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SFS8%2BhMDmCO1RqTPbbTvRbQ%3D%3D,failed after 3 attempts: Forbidden domain
79,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sojex1%2BcUeUvq0Gi%2F2AMfrw%3D%3D,failed after 3 attempts: Forbidden domain
76,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SdPf7BDlhwQfLiZ1mL2RhXA%3D%3D,failed after 3 attempts: Forbidden domain
