Serial,Link,Error
11,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SNxJBROKVxj9dgWxF6JLYZA%3D%3D,failed after 3 attempts: Forbidden domain
15,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SEn3TsyBn4%2BSjYiDJFwm%2BPQ%3D%3D,failed after 3 attempts: Forbidden domain
17,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sv5A11gu2vAOnnpXvsCEGdw%3D%3D,failed after 3 attempts: Forbidden domain
1,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SryovFlocrHAi%2F5sDhqxglA%3D%3D,failed after 3 attempts: Forbidden domain
2,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SmgOMmHhya2294kegFfgddQ%3D%3D,failed after 3 attempts: Forbidden domain
10,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SWfckGjMiwFq0YnSl%2FBc2mQ%3D%3D,failed after 3 attempts: Forbidden domain
6,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SlVpXDhWBsFIsqiQ%2Fw%2FiIuQ%3D%3D,failed after 3 attempts: Forbidden domain
22,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SZYGLwg1HZs5JepWbIfGTQw%3D%3D,failed after 3 attempts: Forbidden domain
23,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SfAlgapvNipUs2pCDpf9J3A%3D%3D,failed after 3 attempts: Forbidden domain
21,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SZRf1Ds%2F727SXVv8g8WtUjg%3D%3D,failed after 3 attempts: Forbidden domain
7,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sjv1A%2Fs6mkpTNZ6scLHXpMQ%3D%3D,failed after 3 attempts: Forbidden domain
