Serial,Link,Error
16,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sh0LCsPK1UhDxg33H3rP6FA%3D%3D,failed after 3 attempts: Forbidden domain
25,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Smcfe8qTntHcfjZlL8nrxmQ%3D%3D,failed after 3 attempts: Forbidden domain
7,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Stk3TCQd46PWCjXT8ju1xsQ%3D%3D,failed after 3 attempts: Forbidden domain
9,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sl5op7ckA%2Bjd3S1qILwXe3A%3D%3D,failed after 3 attempts: Forbidden domain
1,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SFgzE%2FO2%2Bt9QkOdcBknhsVA%3D%3D,failed after 3 attempts: Forbidden domain
2,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SUEXCAKsxFeke2KlpICRFtw%3D%3D,failed after 3 attempts: Forbidden domain
3,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SFdsJVRMN%2BHRXSoTVHZfoRw%3D%3D,failed after 3 attempts: Forbidden domain
15,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S90GKCXkgswWPIJbjPx4bYw%3D%3D,failed after 3 attempts: Forbidden domain
5,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S5OQv9ob8qcugz2DEQ9cuaQ%3D%3D,failed after 3 attempts: Forbidden domain
6,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SbhOgNVxjoaSCw1Dv6rC5Rg%3D%3D,failed after 3 attempts: Forbidden domain
13,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=So6syGyw%2FLJzwWAbmNf5CFQ%3D%3D,failed after 3 attempts: Forbidden domain
