Serial,Link,Error
12,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SQ993W1A%2BNPMQ9ldNpmtTPw%3D%3D,failed after 3 attempts: Forbidden domain
7,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SAGy9qUEuf3YfM1XCvjjJSg%3D%3D,failed after 3 attempts: Forbidden domain
11,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=ScZjqG3suz5isfdOG8EL0fw%3D%3D,failed after 3 attempts: Forbidden domain
14,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SkKxtvPPBydLqgCB8RfaKig%3D%3D,failed after 3 attempts: Forbidden domain
16,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SlQTtzQwkVWJqlxjp46hDUA%3D%3D,failed after 3 attempts: Forbidden domain
9,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S7%2BW3Rz34Jbb7V84dSf9hog%3D%3D,failed after 3 attempts: Forbidden domain
6,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SE3C5G4x%2FWQ0ql4iRkheZkQ%3D%3D,failed after 3 attempts: Forbidden domain
4,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SgwhVZj0wP0dXMLRFQs4E6w%3D%3D,failed after 3 attempts: Forbidden domain
2,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SrI%2FyIgwK1tMDm7uaOAA7Hw%3D%3D,failed after 3 attempts: Forbidden domain
15,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SGfdIlUQpIgRbDig5NL3SYw%3D%3D,failed after 3 attempts: Forbidden domain
8,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SSCUSG2rwyYHmtCA%2BCr0AQg%3D%3D,failed after 3 attempts: Forbidden domain
5,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S9TJ86ezb3Rwasi5xisMWvg%3D%3D,failed after 3 attempts: Forbidden domain
13,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SBafXPg%2F%2BkZi20hir7je3%2FQ%3D%3D,failed after 3 attempts: Forbidden domain
10,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SH0pEtEH4dk64bAwYGGX2sg%3D%3D,failed after 3 attempts: Forbidden domain
1,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SWKJplB9HCAtH%2FDU6rv5xeQ%3D%3D,failed after 3 attempts: Forbidden domain
3,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SouWkMv8M4DpkgIXX02FDHA%3D%3D,failed after 3 attempts: Forbidden domain
