Serial,Link,Error
5,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S0kI%2Bv8NsmcasrUrccQmsaw%3D%3D,failed after 3 attempts: Forbidden domain
19,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SadfBtWscIGKNlcKjANUnRQ%3D%3D,failed after 3 attempts: Forbidden domain
20,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SbArn1OHUs%2BZKFHCQtcyzKg%3D%3D,failed after 3 attempts: Forbidden domain
22,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=STl0PCLKoJLEIztrL5Z1TfQ%3D%3D,failed after 3 attempts: Forbidden domain
29,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SSBCV7R%2BCpcYmPQ%2Be%2BYBVWA%3D%3D,failed after 3 attempts: Forbidden domain
31,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=StkCzYDgOa76PGDm7ttO5EQ%3D%3D,failed after 3 attempts: Forbidden domain
32,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SqSbM6edkkrqXSGKalAG9iw%3D%3D,failed after 3 attempts: Forbidden domain
35,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SQtC%2F6xN0uZZXIb7WJQ7MQQ%3D%3D,failed after 3 attempts: Forbidden domain
40,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SW%2Bct9JAr1GtNNIrN9TFWew%3D%3D,failed after 3 attempts: Forbidden domain
48,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SSDzlSgvPFTpwSCRrueY60w%3D%3D,failed after 3 attempts: Forbidden domain
49,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sf9iNHtUVK3znF9bAYulW6A%3D%3D,failed after 3 attempts: Forbidden domain
52,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sexkas5kto0TCeP7zlK%2BEOw%3D%3D,failed after 3 attempts: Forbidden domain
57,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SPdAO%2B7aD09wg%2FEvh3i%2Frwg%3D%3D,failed after 3 attempts: Forbidden domain
58,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S6yh2Ic3q28ZDdNTCOwbZPQ%3D%3D,failed after 3 attempts: Forbidden domain
60,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Spgjj%2B3a%2BjxbQzAZ9gmE8Pg%3D%3D,failed after 3 attempts: Forbidden domain
66,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SEOEA%2BbR8Jgw7umguOjGiZg%3D%3D,failed after 3 attempts: Forbidden domain
68,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SMv513p8L6BO%2BXv48W7vYOw%3D%3D,failed after 3 attempts: Forbidden domain
77,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S0VlesHC1QzUYhc4y3WD86A%3D%3D,failed after 3 attempts: Forbidden domain
83,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SPoxVyEL2TZF57VmmjuEJtw%3D%3D,failed after 3 attempts: Forbidden domain
84,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SybUqtpUH1SRLub%2FHc1CBwQ%3D%3D,failed after 3 attempts: Forbidden domain
85,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SNQ%2FfqO6YW8Owj7en1rbs2g%3D%3D,failed after 3 attempts: Forbidden domain
91,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=ST2218LG%2FahDkq1cMsvHKGA%3D%3D,failed after 3 attempts: Forbidden domain
92,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SnMqldKXzVAEIqzcwpHBCRg%3D%3D,failed after 3 attempts: Forbidden domain
101,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sc88jLS1Fy91cQpD0Om%2FmHg%3D%3D,failed after 3 attempts: Forbidden domain
107,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Swa8cEmmovXifAuB8tgKezg%3D%3D,failed after 3 attempts: Forbidden domain
123,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SwtP3YjJP3YurFXEpzv0jQQ%3D%3D,failed after 3 attempts: Forbidden domain
124,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SZBezJmjSVxQrekQJgDvzGg%3D%3D,failed after 3 attempts: Forbidden domain
125,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SdPQPXsH58%2F48PcQkKaxHTw%3D%3D,failed after 3 attempts: Forbidden domain
