Serial,Link,Error
24,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SjeOB%2BLR9J4Jj61vuOTu%2B1g%3D%3D,failed after 3 attempts: Forbidden domain
81,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SQobOWbXeZSX8R73hfrZl5A%3D%3D,failed after 3 attempts: Forbidden domain
83,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SUPdKpyLipjINTrxndgZpEQ%3D%3D,failed after 3 attempts: Forbidden domain
37,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SqY4DiY1v6g7iLupVZm7XzQ%3D%3D,failed after 3 attempts: Forbidden domain
70,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SuLsq1UrTxW3S0DSlQSQ7Tg%3D%3D,failed after 3 attempts: Forbidden domain
43,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S6y7ZfW%2Bc4am8O1mVZiS2jQ%3D%3D,failed after 3 attempts: Forbidden domain
66,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SMJh3XezjPth9VsErmbWPPg%3D%3D,failed after 3 attempts: Forbidden domain
5,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SilCaC%2FOc3rcP2Sm18E6Gbw%3D%3D,failed after 3 attempts: Forbidden domain
36,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SEsmn3dTUy%2BNvr8gKDo41XA%3D%3D,failed after 3 attempts: Forbidden domain
85,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SswWgN3cgIdDXH%2BJDg0zCeA%3D%3D,failed after 3 attempts: Forbidden domain
107,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S%2FBjurUknFppUjmYdjcsopg%3D%3D,failed after 3 attempts: Forbidden domain
78,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SomB%2BSj%2BbaMeSWEqpmjSViQ%3D%3D,failed after 3 attempts: Forbidden domain
109,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S2tKAiud51lLlCSqQI09Atg%3D%3D,failed after 3 attempts: Forbidden domain
108,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S5gIAw2%2F6q0q4O8pH4fhFcA%3D%3D,failed after 3 attempts: Forbidden domain
113,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SWuuDYfd%2BoqBhpSU4GrjCgw%3D%3D,failed after 3 attempts: Forbidden domain
31,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SkVx40ZKKzgoNRv63kcJgpg%3D%3D,failed after 3 attempts: Forbidden domain
100,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Skj5YgcdckDmeiGvjW%2FjDsw%3D%3D,failed after 3 attempts: Forbidden domain
69,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SFiqMq3B%2B169loCohFkn3Jw%3D%3D,failed after 3 attempts: Forbidden domain
10,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S%2B1jBfk2eKWwL%2B9dWPE1Wsg%3D%3D,failed after 3 attempts: Forbidden domain
9,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SGLNR%2BjfZS05KE5hWL9%2BIYA%3D%3D,failed after 3 attempts: Forbidden domain
102,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S21rBNyA9%2BVezCxHJkJE4Qw%3D%3D,failed after 3 attempts: Forbidden domain
68,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S4yWulbFyOlfy2s0JuRmPZg%3D%3D,failed after 3 attempts: Forbidden domain
114,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SyVwYbA4AUEhehM27SGPbIQ%3D%3D,failed after 3 attempts: Forbidden domain
