Serial,Link,Error
27,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SRGBAKkjkjV6TQYaxjU93VA%3D%3D,failed after 3 attempts: Forbidden domain
46,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SlCjA18Pr9uidGJPyeTWcxA%3D%3D,failed after 3 attempts: Forbidden domain
2,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SvPvy3nYlpxueyoQMP0fOVw%3D%3D,failed after 3 attempts: Forbidden domain
118,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SoEEbnkCn74%2FVzlz6MSrBGQ%3D%3D,failed after 3 attempts: Forbidden domain
7,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=ShRaGK%2FnwVJ3zQ6Ewg%2Flkog%3D%3D,failed after 3 attempts: Forbidden domain
106,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SWNsIP2hixj2nsltIHysPSw%3D%3D,failed after 3 attempts: Forbidden domain
93,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=STfWn7PX67Ju3BRq1do6xew%3D%3D,failed after 3 attempts: Forbidden domain
88,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SyzzkRiyZsaY%2FgGdw65G93Q%3D%3D,failed after 3 attempts: Forbidden domain
32,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SQlhG%2BYKxb6MIvVhxHeT8tg%3D%3D,failed after 3 attempts: Forbidden domain
120,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SAW6zQt3g9%2F7dRQvwFhA4YQ%3D%3D,failed after 3 attempts: Forbidden domain
35,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SXlvnOLdY21b2gekhfENViA%3D%3D,failed after 3 attempts: Forbidden domain
53,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SMNyfSn5P0hqLQiEIYuX6Ig%3D%3D,failed after 3 attempts: Forbidden domain
5,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SUZbXHyhn1iZBpWF4LffCwQ%3D%3D,failed after 3 attempts: Forbidden domain
94,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SZN0XV6qvYu4c19ZAof2xSQ%3D%3D,failed after 3 attempts: Forbidden domain
73,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S4YkYbvbL9l2OqLdUyR6OFQ%3D%3D,failed after 3 attempts: Forbidden domain
44,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S2vRl%2BR1iYnEERIGMAfNUfA%3D%3D,failed after 3 attempts: Forbidden domain
25,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SZ67ZlUCblnq6A65%2BZckr0A%3D%3D,failed after 3 attempts: Forbidden domain
