Serial,Link,Error
110,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SRIctxmFnBP4T2%2BV0ee%2Ftfg%3D%3D,failed after 3 attempts: Forbidden domain
23,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sb53nQ%2BWuVbHXT2toUSiO6w%3D%3D,failed after 3 attempts: Forbidden domain
103,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SCEq%2BKyYbz%2FBEmHoR7cQcAA%3D%3D,failed after 3 attempts: Forbidden domain
114,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SwzyhK7h0WfuNouTJzPJglw%3D%3D,failed after 3 attempts: Forbidden domain
57,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Su%2FvdFu6uEd4NwdZxNRig8g%3D%3D,failed after 3 attempts: Forbidden domain
24,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S%2FizCB3KO8mu57VSMNVhVow%3D%3D,failed after 3 attempts: Forbidden domain
38,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SZ3AiTKCeXgUSbPfFdtUE5Q%3D%3D,failed after 3 attempts: Forbidden domain
62,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SSh4b62YokqMaCFec8y9FpA%3D%3D,failed after 3 attempts: Forbidden domain
117,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S0Dg%2BTS0GFwyiZavbfIcPlg%3D%3D,failed after 3 attempts: Forbidden domain
75,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Spsq27CZ%2BjeBTzCfLe4WvJQ%3D%3D,failed after 3 attempts: Forbidden domain
28,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SdgvXIfbbtC2RrF94ML7V7A%3D%3D,failed after 3 attempts: Forbidden domain
106,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S3d0LT7hOvCI8ApDe3FPqDQ%3D%3D,failed after 3 attempts: Forbidden domain
92,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=ShDZ0RB9SCLrNadFnKDel%2Bg%3D%3D,failed after 3 attempts: Forbidden domain
61,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Su6v8%2Fcfjj6ga31YtBsAopw%3D%3D,failed after 3 attempts: Forbidden domain
26,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S96tLTYYSJ9X6BE190Fdplw%3D%3D,failed after 3 attempts: Forbidden domain
39,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Seix8euHkijgRwaMagSmSYQ%3D%3D,failed after 3 attempts: Forbidden domain
18,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SUQiP2rlZl9I1nr3ltdRGqQ%3D%3D,failed after 3 attempts: Forbidden domain
91,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SqfoecEHz%2Blz2%2B57JJzmc%2BQ%3D%3D,failed after 3 attempts: Forbidden domain
2,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SzEhqCYnitHaTbu%2BZ7vuDIA%3D%3D,failed after 3 attempts: Forbidden domain
32,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SeXdXV3idkG6zhjWwnDPyng%3D%3D,failed after 3 attempts: Forbidden domain
119,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S0IjErfudad4N0ChCyDviqQ%3D%3D,failed after 3 attempts: Forbidden domain
80,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S%2BiChjjA0XxpcJ0ZGXqxQ3Q%3D%3D,failed after 3 attempts: Forbidden domain
43,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SYd6e%2FzM7vqvJL%2BTwAP6JsA%3D%3D,failed after 3 attempts: Forbidden domain
45,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SFVflidax98q2rGBGVgyIXw%3D%3D,failed after 3 attempts: Forbidden domain
46,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SNMK3dmPVA2dEFpT4XTQvEw%3D%3D,failed after 3 attempts: Forbidden domain
