S.No,e-Published Date,Closing Date,Opening Date,Title,TenderID,Link,Organisation Chain
281,17-Sep-2025 03:00 PM,27-Sep-2025 11:00 AM,29-Sep-2025 11:00 AM,[WORK NO. 11 OUT OF 111 NIRMAN WORKS.],[NNMV/60/NIRMAN/01-111][2025_DOLBU_1073980_11],https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SAGgIi6lp7JDfDzH93cfo8Q%3D%3D,Directorate of Local Bodies UP||Mathura Municipal Corporation
282,17-Sep-2025 03:00 PM,27-Sep-2025 11:00 AM,29-Sep-2025 11:00 AM,[WORK NO. 04 OUT OF 111 NIRMAN WORKS.],[NNMV/60/NIRMAN/01-111][2025_DOLBU_1073980_4],https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SdedQm4s0CQIuCJaGleom5g%3D%3D,Directorate of Local Bodies UP||Mathura Municipal Corporation
283,17-Sep-2025 03:00 PM,27-Sep-2025 11:00 AM,29-Sep-2025 11:00 AM,[WORK NO. 09 OUT OF 111 NIRMAN WORKS.],[NNMV/60/NIRMAN/01-111][2025_DOLBU_1073980_9],https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SfE4Y4%2BzTyoZXImoQcdFJFw%3D%3D,Directorate of Local Bodies UP||Mathura Municipal Corporation
284,17-Sep-2025 03:00 PM,27-Sep-2025 11:00 AM,29-Sep-2025 11:00 AM,[WORK NO. 05 OUT OF 111 NIRMAN WORKS.],[NNMV/60/NIRMAN/01-111][2025_DOLBU_1073980_5],https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sx72gRbufrC9q%2BCJMornsEg%3D%3D,Directorate of Local Bodies UP||Mathura Municipal Corporation
285,17-Sep-2025 03:00 PM,27-Sep-2025 11:00 AM,29-Sep-2025 11:00 AM,[WORK NO. 06 OUT OF 111 NIRMAN WORKS.],[NNMV/60/NIRMAN/01-111][2025_DOLBU_1073980_6],https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SbTkXgcGGU4Yb2ki03TSZyQ%3D%3D,Directorate of Local Bodies UP||Mathura Municipal Corporation
286,17-Sep-2025 03:00 PM,27-Sep-2025 11:00 AM,29-Sep-2025 11:00 AM,[WORK NO. 02 OUT OF 111 NIRMAN WORKS.],[NNMV/60/NIRMAN/01-111][2025_DOLBU_1073980_2],https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SsPLfRGc56Pi2tiutS7M6kg%3D%3D,Directorate of Local Bodies UP||Mathura Municipal Corporation
287,17-Sep-2025 03:00 PM,27-Sep-2025 11:00 AM,29-Sep-2025 11:00 AM,[WORK NO. 13 OUT OF 111 NIRMAN WORKS.],[NNMV/60/NIRMAN/01-111][2025_DOLBU_1073980_13],https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SO9KZL53N8thBWOgTZFYUEw%3D%3D,Directorate of Local Bodies UP||Mathura Municipal Corporation
288,17-Sep-2025 03:00 PM,27-Sep-2025 11:00 AM,29-Sep-2025 11:00 AM,[WORK NO. 12 OUT OF 111 NIRMAN WORKS.],[NNMV/60/NIRMAN/01-111][2025_DOLBU_1073980_12],https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SFNdhDYe39k6EW23EW9ySWg%3D%3D,Directorate of Local Bodies UP||Mathura Municipal Corporation
289,17-Sep-2025 03:00 PM,27-Sep-2025 11:00 AM,29-Sep-2025 11:00 AM,[WORK NO. 07 OUT OF 111 NIRMAN WORKS.],[NNMV/60/NIRMAN/01-111][2025_DOLBU_1073980_7],https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S34PqyxEnD%2B8AULHohCznsw%3D%3D,Directorate of Local Bodies UP||Mathura Municipal Corporation
290,17-Sep-2025 03:00 PM,27-Sep-2025 11:00 AM,29-Sep-2025 11:00 AM,[WORK NO. 08 OUT OF 111 NIRMAN WORKS.],[NNMV/60/NIRMAN/01-111][2025_DOLBU_1073980_8],https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SzE3RnXyyhaUP52tWKuw0bw%3D%3D,Directorate of Local Bodies UP||Mathura Municipal Corporation
