Serial Number,Tender ID,Page Number,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_DOCUL_1074799_1,1,[Selection of an agency for arrangement of accommodation and food for artists],18-Sep-2025 09:00 AM,Directorate of Culture,25-Sep-2025 12:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SSqvu9GcVUH1OEwGUaxJWGw%3D%3D
2,2025_UPHDB_1074810_1,1,[Construction of 100 Bedded Girls and 100 Bedded Boys Hostel at HBTU Kanpur],18-Sep-2025 09:00 AM,U.P. Housing and Development Board||SE - Kanpur||CD Kanpur-02,30-Sep-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S2gYeOr7OmuLherkELehwjQ%3D%3D
3,2025_DOCUL_1074497_1,1,"[Selection of an agency to Conceptualize, Design, Fabricate and Display of Tableau at Deepotsav 2025, Ayodhya]",17-Sep-2025 11:30 AM,Directorate of Culture,22-Sep-2025 12:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SdrCmZ39T%2BQqG%2Baziz%2F4Q%2Fw%3D%3D
4,2025_UPIDC_1073737_7,1,[Boundary wall Palwal],17-Sep-2025 11:00 AM,U P Irrigation Department (Civil)||Chief Engineer ( Yamuna) Okhla||S E Irrigation Works Circle III Agra||E E Upper Division Agra Canal Mathura,23-Sep-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sl1TZGxPG4nM9%2BM56tC5M%2BQ%3D%3D
5,2025_UPIDC_1073737_1,1,[Boundary wall Indana Ih],17-Sep-2025 11:00 AM,U P Irrigation Department (Civil)||Chief Engineer ( Yamuna) Okhla||S E Irrigation Works Circle III Agra||E E Upper Division Agra Canal Mathura,23-Sep-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=STnMaWMbjTCyN9lTXsddXEw%3D%3D
6,2025_UPIDC_1073737_5,1,[Boundary wall Manpur Bhatta],17-Sep-2025 11:00 AM,U P Irrigation Department (Civil)||Chief Engineer ( Yamuna) Okhla||S E Irrigation Works Circle III Agra||E E Upper Division Agra Canal Mathura,23-Sep-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SuwpyEulyRghH8qkIbk7fwA%3D%3D
7,2025_UPIDC_1073737_2,1,[Boundary wall Seeha Ih],17-Sep-2025 11:00 AM,U P Irrigation Department (Civil)||Chief Engineer ( Yamuna) Okhla||S E Irrigation Works Circle III Agra||E E Upper Division Agra Canal Mathura,23-Sep-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SHWQMMk4Aqpf5AWjF7l%2BPxg%3D%3D
8,2025_UPIDC_1073737_3,1,[Boundary wall Kushak Bhatta],17-Sep-2025 11:00 AM,U P Irrigation Department (Civil)||Chief Engineer ( Yamuna) Okhla||S E Irrigation Works Circle III Agra||E E Upper Division Agra Canal Mathura,23-Sep-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SAQpSrbIM%2BWrhxYEow87hag%3D%3D
9,2025_UPIDC_1073737_6,1,[Boundary wall Punhana IH],17-Sep-2025 11:00 AM,U P Irrigation Department (Civil)||Chief Engineer ( Yamuna) Okhla||S E Irrigation Works Circle III Agra||E E Upper Division Agra Canal Mathura,23-Sep-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SCVV0dsADqsYPWaJsNKt9hA%3D%3D
10,2025_UPIDC_1073737_4,1,[Boundary wall Manpur IH],17-Sep-2025 11:00 AM,U P Irrigation Department (Civil)||Chief Engineer ( Yamuna) Okhla||S E Irrigation Works Circle III Agra||E E Upper Division Agra Canal Mathura,23-Sep-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S8wbiTwtcjWNXBruA1bj97w%3D%3D
11,2025_UPTCL_1074330_1,1,[10 ETD-III(V)2025-26 For Providing and Retrofitting of 01 No. Numerical Relay (REF Relay) and other associated works at 220 KV Substation Sahupuri under Electricity Transmission Division-III Sahupuri],16-Sep-2025 02:50 PM,"UP Power Transmission Corp.Ltd (Operation)||Chief Engineer (TE) East Allahabad||S.E.  ETC  Varanasi||E.E., ETD-III, Sahupuri",27-Sep-2025 02:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sr87HfKUp7I9t6%2BQoDXyqJg%3D%3D
12,2025_UPIDC_1074200_5,1,[Lot-05],16-Sep-2025 01:00 PM,U P Irrigation Department (Civil)||Chief Engineer ( Yamuna) Okhla||S E Irrigation works Circle Saharanpur,22-Sep-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sp6ylQ49Cce3qeONcfzov5g%3D%3D
