Serial Number,Tender ID,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_BEL_98203_1,[Modernization of Display hall at PDIC ],24-Sep-2025 04:30 PM,Bharat Electronics Limited||Bangalore Unit - BEL||PDIC,06-Oct-2025 02:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SDX%2F7vvsXMRH812CnpZQzoA%3D%3D
2,2025_BEL_98221_1,[PROPOSED CANTEEN FOR CRL AT BE GAD.],27-Sep-2025 10:00 AM,Bharat Electronics Limited||Gaziabad Unit - BEL||CS - BEL||Contracts-CS - BEL,07-Oct-2025 04:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S1n9x0kRGzW4u1bvUHoMkYQ%3D%3D
3,2025_BEL_98122_1,[Up gradation of Weigh Bridge digital system],13-Sep-2025 02:00 PM,Bharat Electronics Limited||Bangalore Unit - BEL||ES - BEL||Purchase-ES - BEL,06-Oct-2025 11:00 AM,https://eprocurebel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sn%2F3M5BF35qhOhCqqzcyLjQ%3D%3D
4,2025_BEL_97990_1,[2104113324/UNIVERSAL LENGTH MEASURING M/C],20-Aug-2025 02:00 PM,Bharat Electronics Limited||Bangalore Unit - BEL||CMS - BEL||Purchase-CMS - BEL,10-Oct-2025 04:00 PM,https://eprocurebel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SRIYPThIBC9LoU9BfFHRPzQ%3D%3D
5,2025_BEL_98136_1,"[Supplying and Erection of Modular Work Station etc., in First and Second Floor of Tacticom  Building for NS-II (Phase-II) inside the Factory at BE-BG.]",16-Sep-2025 03:00 PM,Bharat Electronics Limited||Bangalore Unit - BEL||ES - BEL||Contracts-ES - BEL,06-Oct-2025 11:00 AM,https://eprocurebel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SOMW%2Fe8xdw2JJ3R7WB6Hr8A%3D%3D
6,2025_BEL_98179_1,"[SUPPLY, INSTALLATION, TESTING and COMMISSIONING OF AIR CONDITIONING SYSTEM FOR PROPOSED FIRST FLOOR FOR DandE BUILDING, BE-KOT ]",23-Sep-2025 10:00 AM,Bharat Electronics Limited||Kotdwara Unit - BEL||Contracts-Kotdwara - BEL,03-Oct-2025 02:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SAU7am9kxQaQFzfw2NTwRgA%3D%3D
7,2025_BEL_98184_1,[Term Contract for Communication and Networks inside BE Factory and Estate.],22-Sep-2025 06:00 PM,Bharat Electronics Limited||Bangalore Unit - BEL||ES - BEL||Contracts-ES - BEL,07-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sp7BfwAVx2AwTZgEt7Yp5Cw%3D%3D
8,2025_BEL_98216_1,"[Design, Project Management Consultancy (PMC) Services and Construction of New Corporate Office at  BEL, Bangalore.]",26-Sep-2025 10:00 AM,Bharat Electronics Limited||Bangalore Unit - BEL||ES - BEL||Contracts-ES - BEL,10-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SeqiPkzaCYW5aE1WIZ%2F6UhQ%3D%3D
9,2025_BEL_98226_1,[Expression of Interest for Vendor Empanelment in BEL for ERP development],27-Sep-2025 05:00 PM,Bharat Electronics Limited||Bangalore Unit - BEL||Software||Purchase,06-Oct-2025 10:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SUe5suqPuqxsl3meB8C5fGg%3D%3D
10,2025_BEL_98115_1,[Renovation of shed at back side of ESP at BEL Factory Pune.],12-Sep-2025 06:00 PM,Bharat Electronics Limited||Pune Unit - BEL||Contracts-Pune - BEL,29-Sep-2025 10:00 AM,https://eprocurebel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SK33y69Jv%2Fd3fGoFKs0yVyg%3D%3D
