Serial Number,Tender ID,Page Number,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_BEL_98201_1,1,"[PROPOSED EARTH BUTT WITH EARTH TRAVERSE AND RETAINING   WALL AT TECH AREA TAKU, CPE, ITARSI FOR BE- PN]",25-Sep-2025 06:00 PM,Bharat Electronics Limited||Pune Unit - BEL||Contracts-Pune - BEL,06-Oct-2025 10:00 AM,https://eprocurebel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SgmfkNpoLVlyOLJQKbjoczA%3D%3D
2,2025_BEL_98196_1,1,[PAN INDIA FTL ROAD TRANSPORT CONTRACT-2025],24-Sep-2025 12:30 PM,Bharat Electronics Limited||Bangalore Unit - BEL||CMS - BEL||Purchase-CMS - BEL,06-Oct-2025 06:00 PM,https://eprocurebel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SjEGZhKVNVpJPKKK%2Bp7WKdg%3D%3D
3,2025_BEL_98163_1,1,[Renovation of Toilets at Assembly/Production building at BEL - CHN],19-Sep-2025 06:00 PM,Bharat Electronics Limited||Chennai Unit - BEL||Contracts-Chennai - BEL,04-Oct-2025 06:00 PM,https://eprocurebel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S8XjIaar0l6knr7E9YsztGQ%3D%3D
4,2025_BEL_98168_1,1,[Maintenance of BEL Transit Accommodation situated in Building No E1 and E2 at Sector 18 CIDCO Colony New Panvel],19-Sep-2025 05:45 PM,Bharat Electronics Limited||Navi Mumbai - BEL||Contracts-Navi Mumbai - BEL,29-Sep-2025 09:00 AM,https://eprocurebel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SoLzdNP4CTmiXzgDm1dwo2A%3D%3D
5,2025_BEL_98148_1,1,[Renting out proposed Shed No.B-05 in Industrial Estate.],18-Sep-2025 10:30 AM,Bharat Electronics Limited||Bangalore Unit - BEL||ES - BEL||Purchase-ES - BEL,04-Oct-2025 06:00 PM,https://eprocurebel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SOttvVM1xLDmBP%2B%2BPxRhWCg%3D%3D
6,2025_BEL_98140_1,1,"[Proposed Building for NMDA in IMAC Complex at Gurugram, New Delhi.]",17-Sep-2025 11:00 AM,Bharat Electronics Limited||Bangalore Unit - BEL||ES - BEL||Contracts-ES - BEL,06-Oct-2025 03:00 PM,https://eprocurebel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SrDn%2Fy16F50BiUgn5axSyqw%3D%3D
7,2025_BEL_98141_1,1,[2104174111/AMPLIFIER],17-Sep-2025 11:00 AM,Bharat Electronics Limited||Bangalore Unit - BEL||CMS - BEL||Purchase-CMS - BEL,07-Oct-2025 06:00 PM,https://eprocurebel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=ScJQ%2Bx06RFQV0j%2BeOqZuyaQ%3D%3D
8,2025_BEL_98136_1,1,"[Supplying and Erection of Modular Work Station etc., in First and Second Floor of Tacticom  Building for NS-II (Phase-II) inside the Factory at BE-BG.]",16-Sep-2025 03:00 PM,Bharat Electronics Limited||Bangalore Unit - BEL||ES - BEL||Contracts-ES - BEL,06-Oct-2025 11:00 AM,https://eprocurebel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SOMW%2Fe8xdw2JJ3R7WB6Hr8A%3D%3D
9,2025_BEL_98123_1,1,"[Procurement of Air Filter Element for Air Compressor Plant, BEL Bangalore]",13-Sep-2025 05:00 PM,Bharat Electronics Limited||Bangalore Unit - BEL||ES - BEL||Purchase-ES - BEL,06-Oct-2025 11:00 AM,https://eprocurebel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SM%2BZRdvRPT4NLOY11BlCyCA%3D%3D
10,2025_BEL_98122_1,1,[Up gradation of Weigh Bridge digital system],13-Sep-2025 02:00 PM,Bharat Electronics Limited||Bangalore Unit - BEL||ES - BEL||Purchase-ES - BEL,06-Oct-2025 11:00 AM,https://eprocurebel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sn%2F3M5BF35qhOhCqqzcyLjQ%3D%3D
