S.No,Page No,e-Published Date,Closing Date,Opening Date,Title,TenderID,Link,Organisation Chain
1,1,27-Sep-2025 05:00 PM,06-Oct-2025 10:00 AM,06-Oct-2025 12:00 PM,[Expression of Interest for Vendor Empanelment in BEL for ERP development],"[Expression of Interest for Vendor Empanelment in BEL for ERP development]
																				[BEL/Software/800016161][2025_BEL_98226_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SUe5suqPuqxsl3meB8C5fGg%3D%3D,Bharat Electronics Limited||Bangalore Unit - BEL||Software||Purchase
2,1,27-Sep-2025 03:00 PM,13-Oct-2025 11:00 AM,13-Oct-2025 03:00 PM,[Supply of Manpower for Watch and Ward Services on Contract basis for BEL Panchkula],"[Supply of Manpower for Watch and Ward Services on Contract basis for BEL Panchkula]
																				[HR/Contract_S17_2025/PK][2025_BEL_98224_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sy%2FNZ4S3UtWyp5v7uqj1Ctg%3D%3D,Bharat Electronics Limited||Panchakula Unit - BEL||Contracts-Panchakula - BEL
3,1,27-Sep-2025 02:00 PM,07-Oct-2025 04:00 PM,08-Oct-2025 10:00 AM,[Additional Infrastructure Development with Ancillary Services at HAL Facility Bangalore and Nashik Division],"[Additional Infrastructure Development with Ancillary Services at HAL Facility Bangalore and Nashik Division]
																				[2025-BELGAD-INFRANCS-012][2025_BEL_98223_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SekmCzdBq75VcUxy1FVjzIw%3D%3D,Bharat Electronics Limited||Gaziabad Unit - BEL||NCS - BEL
4,1,27-Sep-2025 02:00 PM,07-Oct-2025 04:00 PM,08-Oct-2025 10:00 AM,[Additional Infrastructure Development with Ancillary Services at HAL Facility Bangalore and Nashik Division],"[Additional Infrastructure Development with Ancillary Services at HAL Facility Bangalore and Nashik Division]
																				[2025-BELGAD-INFRANCS-011][2025_BEL_98222_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S%2BaTzhkayKctz8YQBVEF9sg%3D%3D,Bharat Electronics Limited||Gaziabad Unit - BEL||NCS - BEL
5,1,27-Sep-2025 10:00 AM,07-Oct-2025 04:00 PM,08-Oct-2025 12:00 PM,[PROPOSED CANTEEN FOR CRL AT BE GAD.],"[PROPOSED CANTEEN FOR CRL AT BE GAD.]
																				[2025_BELGAD_ES_27092025_001][2025_BEL_98221_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S1n9x0kRGzW4u1bvUHoMkYQ%3D%3D,Bharat Electronics Limited||Gaziabad Unit - BEL||CS - BEL||Contracts-CS - BEL
6,1,26-Sep-2025 05:00 PM,06-Oct-2025 10:00 AM,06-Oct-2025 03:00 PM,[RENOVATION AND FACELIFT OF OLD BLOCK CRL GAD],"[RENOVATION AND FACELIFT OF OLD BLOCK CRL GAD]
																				[2025_BELGAD_ES_26092025_001][2025_BEL_98190_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SHXQwGUHrLZf8r%2B01Vzh5rQ%3D%3D,Bharat Electronics Limited||Gaziabad Unit - BEL||CS - BEL||Contracts-CS - BEL
7,1,26-Sep-2025 10:00 AM,10-Oct-2025 03:00 PM,11-Oct-2025 11:00 AM,"[Design, Project Management Consultancy (PMC) Services and Construction of New Corporate Office at  BEL, Bangalore.]","[Design, Project Management Consultancy (PMC) Services and Construction of New Corporate Office at  BEL, Bangalore.]
																				[09/000026/2025][2025_BEL_98216_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SeqiPkzaCYW5aE1WIZ%2F6UhQ%3D%3D,Bharat Electronics Limited||Bangalore Unit - BEL||ES - BEL||Contracts-ES - BEL
8,1,25-Sep-2025 06:00 PM,06-Oct-2025 10:00 AM,06-Oct-2025 02:00 PM,"[PROPOSED EARTH BUTT WITH EARTH TRAVERSE AND RETAINING   WALL AT TECH AREA TAKU, CPE, ITARSI FOR BE- PN]","[PROPOSED EARTH BUTT WITH EARTH TRAVERSE AND RETAINING   WALL AT TECH AREA TAKU, CPE, ITARSI FOR BE- PN]
																				[ 01/000016/2025/BEL PN ][2025_BEL_98201_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SgmfkNpoLVlyOLJQKbjoczA%3D%3D,Bharat Electronics Limited||Pune Unit - BEL||Contracts-Pune - BEL
9,1,25-Sep-2025 11:00 AM,06-Oct-2025 05:00 PM,07-Oct-2025 12:00 PM,"[Procurement of PCB CLEANING MACHINE, Qty 01 No]","[Procurement of PCB CLEANING MACHINE, Qty 01 No]
																				[BEL_KOT/PUR/2025-26/186 ][2025_BEL_98194_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=ST%2F5wpthSClelxwo1tD8jLg%3D%3D,Bharat Electronics Limited||Kotdwara Unit - BEL||Contracts-Kotdwara - BEL
10,1,24-Sep-2025 04:30 PM,06-Oct-2025 02:00 PM,06-Oct-2025 02:30 PM,[Modernization of Display hall at PDIC ],"[Modernization of Display hall at PDIC ]
																				[EOI for modernization of display hall at pdic][2025_BEL_98203_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SDX%2F7vvsXMRH812CnpZQzoA%3D%3D,Bharat Electronics Limited||Bangalore Unit - BEL||PDIC
