Serial Number,Tender ID,Page Number,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_CCL_344732_1,1,[Repairing of roller circle by replacement of track bar and 15 nos. roller of EKG5A Shovel Sl. No. HMB562 of Urimari OCP.],27-Sep-2025 10:00 AM,Central Coalfields Limited||Barka Syal,11-Oct-2025 06:00 PM,https://coalindiatenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SFsKGxOhWajZNtfcuB3S0YA%3D%3D
2,2025_WCL_344751_1,1,"[Renovation of Walni Hospital by providing APP, Damp Proof Painting, New Pipe Line Water Tank, Aluminium Windows, Doors and other Required Miscellaneous Civil Works or APP in B type Walni under Silewara Sub Area.]",26-Sep-2025 06:00 PM,Western Coalfields Limited||NGP||NGP_Civil,15-Oct-2025 11:30 AM,https://coalindiatenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SZgwcQIZ2dXMpkIEvpzgydQ%3D%3D
3,2025_MCL_344477_1,1,[Laying of 03 Nos new pipelines vertically on OB Benches towards the North side of the mine from Main Sump at SOCP Mine.],22-Sep-2025 06:30 PM,Mahanadi Coalfields Limited||IB VALLEY AREA||IBV_E AND M||E AND M,03-Oct-2025 05:00 PM,https://coalindiatenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SFlivDgrPIr5Ytj%2FqedWQOA%3D%3D
4,2025_CCL_344424_1,1,[On site repairing and maintenance 3 MVA11kV/3.3KV and 160KVA 3.3KV/440V transformer under Urimari OCP],22-Sep-2025 06:00 PM,Central Coalfields Limited||Barka Syal,03-Oct-2025 03:00 PM,https://coalindiatenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SToy7Y7RZPWmoCJEi88BMkw%3D%3D
5,2025_CCL_344479_1,1,[Installation ofInstallation of Five (05) Nos. charging station port at GM unit Rajhara Area],22-Sep-2025 05:00 PM,Central Coalfields Limited||Rajhara,07-Oct-2025 05:00 PM,https://coalindiatenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SKK7UX5JiXuLVwDamzfFB5A%3D%3D
6,2025_CCL_344432_1,1,"[Repairing of End bit cutting edge, Blade assembly, both side push arm, trunnion, lift and tilt (LH and RH) cylinder of wheel dozer 834K sl. no. 0745 at Tapin North OCP]",22-Sep-2025 09:00 AM,Central Coalfields Limited||Hazaribag,06-Oct-2025 06:00 PM,https://coalindiatenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SM%2BwIolEjs%2Fi59O%2FYkYZmZw%3D%3D
7,2025_CCL_344433_1,1,"[Repairing of Both sides (LHS and RHS) Bull Pinion, Bull Gear, drive shaft and Drive Sprocket of EKG Shovel sl. no. - 563 at Tapin North OCP]",22-Sep-2025 09:00 AM,Central Coalfields Limited||Hazaribag,06-Oct-2025 06:00 PM,https://coalindiatenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SJ%2FDvzsLLngEQimnVFqOR3A%3D%3D
8,2025_CCL_344343_1,1,[Construction of Executive office at Pit office under AKKOCP of BnK Area],19-Sep-2025 06:00 PM,Central Coalfields Limited||B&K,29-Sep-2025 04:00 PM,https://coalindiatenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SEff1kI1WwJO%2FS1Hq%2FiMnMQ%3D%3D
9,2025_CCL_344347_1,1,[Construction of workshop boundary wall under AKKOCP of BnK Area.],19-Sep-2025 06:00 PM,Central Coalfields Limited||B&K,29-Sep-2025 04:00 PM,https://coalindiatenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SvocEmOzWOz9sWDx8z3wJow%3D%3D
10,2025_CCL_344342_1,1,[Construction of Staff rooms at Excavation workshop under AKKOCP of BnK Area],19-Sep-2025 06:00 PM,Central Coalfields Limited||B&K,29-Sep-2025 04:00 PM,https://coalindiatenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SSVj43NIdXPUJSJnONdUyhQ%3D%3D
11,2025_CCL_344342_1,1,[Construction of Staff rooms at Excavation workshop under AKKOCP of BnK Area],19-Sep-2025 06:00 PM,Central Coalfields Limited||B&K,29-Sep-2025 04:00 PM,https://coalindiatenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SSVj43NIdXPUJSJnONdUyhQ%3D%3D
12,2025_CCL_344347_1,1,[Construction of workshop boundary wall under AKKOCP of BnK Area.],19-Sep-2025 06:00 PM,Central Coalfields Limited||B&K,29-Sep-2025 04:00 PM,https://coalindiatenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SvocEmOzWOz9sWDx8z3wJow%3D%3D
13,2025_SECL_344298_1,1,[Stacking and levelling /dozing of received coal from other unit at CHP/surface bunker by Mechanical means at Rajnagar RO Colliery of Hasdeo Area.],19-Sep-2025 10:00 AM,South Eastern Coalfields Limited||Hasdeo Area,03-Oct-2025 05:00 PM,https://coalindiatenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SVzOquz1o%2Fg%2B4oiIA6ELXHw%3D%3D
14,2025_SECL_344292_1,1,[Construction of 32 nos RCC sectionalization stopping to isolate development panel in Seam-C (30Nos) and Seam D (02Nos)at Bijuri Colliery of Hasdeo Area],19-Sep-2025 10:00 AM,South Eastern Coalfields Limited||Hasdeo Area,11-Oct-2025 05:00 PM,https://coalindiatenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SIi6Dyu8gsyCcvHPauGVEUQ%3D%3D
15,2025_SECL_344294_1,1,[Cleaning of 35 L/ 2 Dip sump in seam A at Kurja UG Mine.],19-Sep-2025 10:00 AM,South Eastern Coalfields Limited||Hasdeo Area,03-Oct-2025 05:00 PM,https://coalindiatenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SFx%2FCljhzl4zot20cdvM75w%3D%3D
16,2025_SECL_344296_1,1,[Cleaning of coal/debris/malma near and around the loading point place of tipper along road within CHP premises and at weigh bridge for smooth coal transportation for one year at West Jhgrakhand Colliery],19-Sep-2025 10:00 AM,South Eastern Coalfields Limited||Hasdeo Area,03-Oct-2025 05:00 PM,https://coalindiatenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SZXv8RJtwxb9q6xSsA3njgw%3D%3D
17,2025_MCL_344260_1,1,"[Repairing with replacement of 200 Mtr. 150 mm M.S. pipe and providing and welding 150mm M.S. flange for high head 01 pump pipe line for supply of drinking water to colonies of Orient Area at Mine No-3, OSA]",18-Sep-2025 06:00 PM,Mahanadi Coalfields Limited||ORIENT AREA||ORIEN_MINING||MINING,29-Sep-2025 05:00 PM,https://coalindiatenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SxZLnQwxI21Nd0T7q6QID6Q%3D%3D
