S.No,Page No,e-Published Date,Closing Date,Opening Date,Title,TenderID,Link,Organisation Chain
1,1,27-Sep-2025 09:00 AM,06-Oct-2025 02:30 PM,06-Oct-2025 04:00 PM,[Repair and maintenance work to existing Primary School building at Naroli Panchayat DNH 2025-26],"[Repair and maintenance work to existing Primary School building at Naroli Panchayat DNH 2025-26]
																				[E TENDER NOTICE NUMBER 31 OF 2025-2026 ][2025_UTDNH_7737_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SCYWOWwymlNjB86hFuyLXjw%3D%3D,UT Administration of Dadra and Nagar Haveli||District Panchayat - UTDNH||PWD III Irrigation Division - UTDNH
2,1,27-Sep-2025 09:00 AM,06-Oct-2025 02:30 PM,06-Oct-2025 04:00 PM,[Repair and maintenance work to existing Primary School building at Samarvarni Panchayat DNH 2025-26],"[Repair and maintenance work to existing Primary School building at Samarvarni Panchayat DNH 2025-26]
																				[E TENDER NOTICE NUMBER 31 OF 2025-2026 ][2025_UTDNH_7738_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SfcCs%2FDhNa9RZrRlU4jROyQ%3D%3D,UT Administration of Dadra and Nagar Haveli||District Panchayat - UTDNH||PWD III Irrigation Division - UTDNH
3,1,27-Sep-2025 09:00 AM,06-Oct-2025 02:30 PM,06-Oct-2025 04:00 PM,[Repair and maintenance work to existing Primary School building at Sayli Panchayat DNH 2025-26],"[Repair and maintenance work to existing Primary School building at Sayli Panchayat DNH 2025-26]
																				[E TENDER NOTICE NUMBER 31 OF 2025-2026 ][2025_UTDNH_7739_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S%2BUCHXceQFeHEPapeB20apw%3D%3D,UT Administration of Dadra and Nagar Haveli||District Panchayat - UTDNH||PWD III Irrigation Division - UTDNH
4,1,26-Sep-2025 06:55 PM,06-Oct-2025 02:30 PM,06-Oct-2025 04:00 PM,[Repair and maintenance work to existing Primary School building at Rakholi Panchayat DNH 2025-26],"[Repair and maintenance work to existing Primary School building at Rakholi Panchayat DNH 2025-26]
																				[E TENDER NOTICE NUMBER 30 OF 2025-2026 ][2025_UTDNH_7734_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sz5Bq%2F8RcAYlKb1WRlStklA%3D%3D,UT Administration of Dadra and Nagar Haveli||District Panchayat - UTDNH||PWD III Irrigation Division - UTDNH
5,1,26-Sep-2025 06:55 PM,06-Oct-2025 02:30 PM,06-Oct-2025 04:00 PM,[Repair and maintenance work to existing Primary School building at Masat Panchayat DNH 2025-26],"[Repair and maintenance work to existing Primary School building at Masat Panchayat DNH 2025-26]
																				[E TENDER NOTICE NUMBER 30 OF 2025-2026 ][2025_UTDNH_7736_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SaaL41pvOXnIsrT31DxDXKQ%3D%3D,UT Administration of Dadra and Nagar Haveli||District Panchayat - UTDNH||PWD III Irrigation Division - UTDNH
6,1,26-Sep-2025 06:55 PM,06-Oct-2025 02:30 PM,06-Oct-2025 04:00 PM,[Repair and maintenance work to existing Primary School building at Kharadpada Panchayat DNH 2025-26],"[Repair and maintenance work to existing Primary School building at Kharadpada Panchayat DNH 2025-26]
																				[E TENDER NOTICE NUMBER 30 OF 2025-2026 ][2025_UTDNH_7733_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SweSdiSsxp3rV8j1SUjYmuQ%3D%3D,UT Administration of Dadra and Nagar Haveli||District Panchayat - UTDNH||PWD III Irrigation Division - UTDNH
7,1,26-Sep-2025 06:55 PM,06-Oct-2025 02:30 PM,06-Oct-2025 04:00 PM,[Repair and maintenance work to existing Primary School building at Dadra Panchayat DNH 2025-26],"[Repair and maintenance work to existing Primary School building at Dadra Panchayat DNH 2025-26]
																				[E TENDER NOTICE NUMBER 30 OF 2025-2026 ][2025_UTDNH_7735_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Swtj8NYf4w3Bk7Rdk7WT2HQ%3D%3D,UT Administration of Dadra and Nagar Haveli||District Panchayat - UTDNH||PWD III Irrigation Division - UTDNH
8,1,25-Sep-2025 06:00 PM,03-Oct-2025 02:00 PM,03-Oct-2025 04:00 PM,"[Construction of retaining wall (RCC and Gabion ) at Tourist resort Dudhani, Dadra and Nagar Haveli (S.H Providing Twenty Nos of Bore holes along Gabion wall and retaining wall aligment at Dudhani Jetty, Silvassa.) (2nd Call)]","[Construction of retaining wall (RCC and Gabion ) at Tourist resort Dudhani, Dadra and Nagar Haveli (S.H Providing Twenty Nos of Bore holes along Gabion wall and retaining wall aligment at Dudhani Jetty, Silvassa.) (2nd Call)]
																				[E-TENDER NOTICE NO.27 OF 2025-26 (BLDG)][2025_UTDNH_7727_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SrNQOiJImpadIVSRG1L7%2B9g%3D%3D,UT Administration of Dadra and Nagar Haveli||Public Works Department - UTDNH
9,1,25-Sep-2025 06:00 PM,03-Oct-2025 02:00 PM,03-Oct-2025 04:00 PM,[Special repairs to IHM and CT Hostel Campus at Karad.(2nd Call)],"[Special repairs to IHM and CT Hostel Campus at Karad.(2nd Call)]
																				[E-TENDER NOTICE NO.27 OF 2025-26 (BLDG)][2025_UTDNH_7726_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SDY3bcdQbXCglc4%2BQueow7w%3D%3D,UT Administration of Dadra and Nagar Haveli||Public Works Department - UTDNH
10,1,25-Sep-2025 06:00 PM,14-Oct-2025 01:00 PM,14-Oct-2025 04:00 PM,[Erection of new 66 KV Multi Circuit tower line from 220/66 KV Vaghchhipa Sub-station to Tapping point on 66 KV Dadra line at village Lavachha(IInd Call)],"[Erection of new 66 KV Multi Circuit tower line from 220/66 KV Vaghchhipa Sub-station to Tapping point on 66 KV Dadra line at village Lavachha(IInd Call)]
																				[23/2025-26/564][2025_UTDNH_7729_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SDo85LFPaVNgP61iR1%2FU7IA%3D%3D,UT Administration of Dadra and Nagar Haveli||DNH Power Distribution Corporation LTD - UTDNH||Off.of Exec.engineer-Power Distribution corp-UTDNH
