S.No,Page No,e-Published Date,Closing Date,Opening Date,Title,TenderID,Link,Organisation Chain
1,1,27-Sep-2025 05:55 PM,07-Oct-2025 02:00 PM,07-Oct-2025 04:00 PM,"[Construction of underground sump at the Jawahar Navoday School Premises Dunetha, Nani Daman. (2nd Call) (E-11687).]","[Construction of underground sump at the Jawahar Navoday School Premises Dunetha, Nani Daman. (2nd Call) (E-11687).]
																				[97/2025-26][2025_DAMAN_4482_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SmHpKYA7iejteB7pWchbeXg%3D%3D,Daman District||Public Works Department - Daman||Executive Engineer-PWD - Daman
2,1,26-Sep-2025 06:15 PM,16-Oct-2025 06:00 PM,17-Oct-2025 12:00 PM,"[RFP FOR SELECTION OF CONSULTING FIRM FOR ASSET MONETIZATION OF VARIOUS PROPERTIES OF DEPARTMENT OF TOURISM, UT OF DNH AND DD]","[RFP FOR SELECTION OF CONSULTING FIRM FOR ASSET MONETIZATION OF VARIOUS PROPERTIES OF DEPARTMENT OF TOURISM, UT OF DNH AND DD]
																				[3/110/DT/DNHDD/PPP/2425/PT/556][2025_DAMAN_4479_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SJCwgusN4TRd6k9rJivRS%2Fw%3D%3D,Daman District||Tourism Department - Daman||Dy. Director of Tourism-Nani - Daman
3,1,26-Sep-2025 05:30 PM,07-Oct-2025 02:00 PM,07-Oct-2025 04:00 PM,[Providing Furniture and other Interior work of Nani Daman Police Station.(2nd call)  ],"[Providing Furniture and other Interior work of Nani Daman Police Station.(2nd call)  ]
																				[Tender Notice No.96/2025-26][2025_DAMAN_4481_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SXrnKtA6XGBQK%2BRcS4Ppl6g%3D%3D,Daman District||Public Works Department - Daman||Executive Engineer-PWD - Daman
4,1,26-Sep-2025 12:55 PM,01-Oct-2025 03:00 PM,03-Oct-2025 04:00 PM,[Selection of a Concessionaire for Implementation Operation and Maintenance of Smart Parking Management System with Self Exist QR Code Entry Exit Mobile app Integration and Monthly Pass facility at Daman.],"[Selection of a Concessionaire for Implementation Operation and Maintenance of Smart Parking Management System with Self Exist QR Code Entry Exit Mobile app Integration and Monthly Pass facility at Daman.]
																				[04/2025-26/DMC][2025_DAMAN_4478_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S2FWVSnxcdX63ivYLb9sdiA%3D%3D,Daman District||Municipal Council - Daman||CO-Daman Municipal Council-Moti - Daman
5,1,26-Sep-2025 12:30 PM,01-Oct-2025 03:00 PM,03-Oct-2025 04:00 PM,[Providing and installation of LED Screen at Multilevel Parking  Night Market  Nani Daman.],"[Providing and installation of LED Screen at Multilevel Parking  Night Market  Nani Daman.]
																				[05/2025-26/DMC][2025_DAMAN_4480_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S3y%2BPDZj4nCWldDCnZzoLHQ%3D%3D,Daman District||Municipal Council - Daman||CO-Daman Municipal Council-Moti - Daman
6,1,25-Sep-2025 06:10 PM,01-Oct-2025 03:00 PM,03-Oct-2025 04:00 PM,[Selection of a Consultancy firm to provide programme management services for Atal Mission for Rejuvination and Urban Transformation 2.0 (AMRUT 2.0).],"[Selection of a Consultancy firm to provide programme management services for Atal Mission for Rejuvination and Urban Transformation 2.0 (AMRUT 2.0).]
																				[03/2025-26/DMC][2025_DAMAN_4477_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S23sZ8USoN4If2ffgc2A%2FuA%3D%3D,Daman District||Municipal Council - Daman||CO-Daman Municipal Council-Moti - Daman
7,1,25-Sep-2025 02:00 PM,06-Oct-2025 02:00 PM,06-Oct-2025 04:00 PM,"[Furnishing and other allied works at Old Collectorate Building, Fort Area, Moti Daman. (3rd call) (E-30460)]","[Furnishing and other allied works at Old Collectorate Building, Fort Area, Moti Daman. (3rd call) (E-30460)]
																				[Tender Notice No.94/2025-26][2025_DAMAN_4476_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SydXWXuaZF5OpmRzNeQqJmw%3D%3D,Daman District||Public Works Department - Daman||Executive Engineer-PWD - Daman
8,1,25-Sep-2025 12:20 PM,03-Oct-2025 02:00 PM,03-Oct-2025 04:00 PM,"[Regarding to Provide Mechanised Housekeeping and Facility Management Services at Government House, Fort Area, Moti Daman for One Year. (4th Call) (E-47620).]","[Regarding to Provide Mechanised Housekeeping and Facility Management Services at Government House, Fort Area, Moti Daman for One Year. (4th Call) (E-47620).]
																				[93/2025-26][2025_DAMAN_4475_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=StonQPSEFJZ3u%2Bv4c9UJNxA%3D%3D,Daman District||Public Works Department - Daman||Executive Engineer-PWD - Daman
9,1,22-Sep-2025 05:00 PM,07-Oct-2025 03:00 PM,07-Oct-2025 04:00 PM,"[Construction of R.C.C. culvert at Amratbhai Lallubhai Patel House in Patlara Gram Panchayat, Moti Daman.(8th Call)]","[Construction of R.C.C. culvert at Amratbhai Lallubhai Patel House in Patlara Gram Panchayat, Moti Daman.(8th Call)]
																				[27/2025-26][2025_DAMAN_4465_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SDoc2XiMlXyHfgjvRae%2BIaA%3D%3D,Daman District||Public Works Department - Daman||EE-PWD-SD-III-Dist. Panchayat-Dholar Moti Daman
10,1,22-Sep-2025 05:00 PM,07-Oct-2025 03:00 PM,07-Oct-2025 04:00 PM,"[Construction of R.C.C. box culvert at zari ashramshala in Magarwada Gram Group panchayat, Daman.(4th Call)]","[Construction of R.C.C. box culvert at zari ashramshala in Magarwada Gram Group panchayat, Daman.(4th Call)]
																				[27/2025-26][2025_DAMAN_4462_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SbTpr5MDwm5soFfZyh074hw%3D%3D,Daman District||Public Works Department - Daman||EE-PWD-SD-III-Dist. Panchayat-Dholar Moti Daman
11,1,22-Sep-2025 05:00 PM,07-Oct-2025 03:00 PM,07-Oct-2025 04:00 PM,"[Construction of Culvert at Chadav Falia, Magarwada, Moti Daman. (4th Call)]","[Construction of Culvert at Chadav Falia, Magarwada, Moti Daman. (4th Call)]
																				[27/2025-26][2025_DAMAN_4463_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SKCUKMDu3n%2B3WSHNhKx4rdw%3D%3D,Daman District||Public Works Department - Daman||EE-PWD-SD-III-Dist. Panchayat-Dholar Moti Daman
