S.No,Page No,e-Published Date,Closing Date,Opening Date,Title,TenderID,Link,Organisation Chain
1,1,26-Sep-2025 01:00 PM,07-Oct-2025 12:00 PM,08-Oct-2025 02:00 PM,[NCM/IMP/ADA/ST/Dummy Feet Fasteners Seal/ET-3302],"[NCM/IMP/ADA/ST/Dummy Feet Fasteners Seal/ET-3302]
																				[NCM/IMP/ADA/ST/Dummy Feet Fasteners Seal/ET-3302][2025_GRSE_98220_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SWfckGjMiwFq0YnSl%2FBc2mQ%3D%3D,Garden Reach Shipbuilders and Engineers Ltd.||Main Unit - GRSE||NCM Dept. - GRSE
2,1,26-Sep-2025 10:00 AM,08-Oct-2025 12:00 PM,09-Oct-2025 02:00 PM,[SCC/AKD/ND/ST/INTEGRATED FACILITY/131/ET-3286],"[SCC/AKD/ND/ST/INTEGRATED FACILITY/131/ET-3286]
																				[SCC/AKD/ND/ST/INTEGRATED FACILITY/131/ET-3286][2025_GRSE_98215_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SZRf1Ds%2F727SXVv8g8WtUjg%3D%3D,Garden Reach Shipbuilders and Engineers Ltd.||GRSE Main - ND
3,1,24-Sep-2025 06:25 PM,08-Oct-2025 12:00 PM,11-Oct-2025 12:00 PM,[NCM/IMP/RKS/LT/NEPHELOMETER/ ORV/3041/ET-3301],"[NCM/IMP/RKS/LT/NEPHELOMETER/ ORV/3041/ET-3301]
																				[NCM/IMP/RKS/LT/NEPHELOMETER/ ORV/3041/ET-3301][2025_GRSE_98206_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SlVpXDhWBsFIsqiQ%2Fw%2FiIuQ%3D%3D,Garden Reach Shipbuilders and Engineers Ltd.||Main Unit - GRSE||NCM Dept. - GRSE
4,1,24-Sep-2025 05:10 PM,07-Oct-2025 12:00 PM,08-Oct-2025 02:00 PM,[DEP/VSM/IMP/ST/DIESEL ENGINE OBS/ARS/ET-3288],"[DEP/VSM/IMP/ST/DIESEL ENGINE OBS/ARS/ET-3288]
																				[DEP/VSM/IMP/ST/DIESEL ENGINE OBS/ARS/ET-3288][2025_GRSE_98204_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SNxJBROKVxj9dgWxF6JLYZA%3D%3D,Garden Reach Shipbuilders and Engineers Ltd.||Main Unit - GRSE||NCM Dept. - GRSE
5,1,24-Sep-2025 02:00 PM,15-Oct-2025 04:00 PM,16-Oct-2025 12:00 PM,[SCC/DC/NIC/OT(P)/Sub Station/KPDD/126/ ET-3295],"[SCC/DC/NIC/OT(P)/Sub Station/KPDD/126/ ET-3295]
																				[SCC/DC/NIC/OT(P)/Sub Station/KPDD/126/ ET-3295][2025_GRSE_98199_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SZYGLwg1HZs5JepWbIfGTQw%3D%3D,Garden Reach Shipbuilders and Engineers Ltd.||Main Unit - GRSE||Contract Cell - GRSE
6,1,23-Sep-2025 04:30 PM,24-Oct-2025 02:00 PM,24-Oct-2025 02:15 PM,[FIN/GI/BRI/ORV/3041/03],"[FIN/GI/BRI/ORV/3041/03]
																				[FIN/GI/BRI/ORV/3041/03][2025_GRSE_98177_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SfV32KLG2s6rUi7l8x77oQw%3D%3D,Garden Reach Shipbuilders and Engineers Ltd.||GRSE Main - ND
7,1,23-Sep-2025 10:00 AM,08-Oct-2025 12:00 PM,11-Oct-2025 12:00 PM,[NCM/IMP/RKS/LT/Combined SVP CTD/ORV/3041/ET-3297],"[NCM/IMP/RKS/LT/Combined SVP CTD/ORV/3041/ET-3297]
																				[NCM/IMP/RKS/LT/Combined SVP CTD/ORV/3041/ET-3297][2025_GRSE_98186_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SEn3TsyBn4%2BSjYiDJFwm%2BPQ%3D%3D,Garden Reach Shipbuilders and Engineers Ltd.||Main Unit - GRSE||NCM Dept. - GRSE
8,1,23-Sep-2025 10:00 AM,08-Oct-2025 12:00 PM,11-Oct-2025 12:00 PM,[NCM/IMP/RKS/ST/ADCP LOWERED/ORV/3041/ET-3296],"[NCM/IMP/RKS/ST/ADCP LOWERED/ORV/3041/ET-3296]
																				[NCM/IMP/RKS/ST/ADCP LOWERED/ORV/3041/ET-3296][2025_GRSE_98183_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SfAlgapvNipUs2pCDpf9J3A%3D%3D,Garden Reach Shipbuilders and Engineers Ltd.||Main Unit - GRSE||NCM Dept. - GRSE
9,1,19-Sep-2025 04:45 PM,10-Oct-2025 04:00 PM,11-Oct-2025 12:00 PM,[SCC/AKD/OT/FEASIBILITY STUDY/139/ET-3293],"[SCC/AKD/OT/FEASIBILITY STUDY/139/ET-3293]
																				[SCC/AKD/OT/FEASIBILITY STUDY/139/ET-3293][2025_GRSE_98161_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SryovFlocrHAi%2F5sDhqxglA%3D%3D,Garden Reach Shipbuilders and Engineers Ltd.||Main Unit - GRSE||Contract Cell - GRSE
10,1,19-Sep-2025 04:30 PM,03-Oct-2025 12:00 PM,07-Oct-2025 02:00 PM,[NCM/AKB/ST/Washing Machine/ASWSWC/ET-3294],"[NCM/AKB/ST/Washing Machine/ASWSWC/ET-3294]
																				[NCM/AKB/ST/Washing Machine/ASWSWC/ET-3294][2025_GRSE_98160_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SmgOMmHhya2294kegFfgddQ%3D%3D,Garden Reach Shipbuilders and Engineers Ltd.||Main Unit - GRSE||NCM Dept. - GRSE
