S.No,Page No,e-Published Date,Closing Date,Opening Date,Title,TenderID,Link,Organisation Chain
1,1,26-Sep-2025 05:00 PM,06-Oct-2025 11:00 AM,06-Oct-2025 03:00 PM,[Overhauling of Emergency generator for ORV Sagar kanya],"[Overhauling of Emergency generator for ORV Sagar kanya]
																				[20 /22022/ 207 /overhauling of emergency generator /2025-26][2025_HSL_98170_2]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S90GKCXkgswWPIJbjPx4bYw%3D%3D,Hindustan Shipyard Limited||DRY DOCK and SHIP REPAIRS
2,1,26-Sep-2025 03:00 PM,01-Oct-2025 11:00 AM,01-Oct-2025 03:00 PM,[Hiring of 125 KVA step down transformer as per attached scope of work for RV Sindhu Sankalp],"[Hiring of 125 KVA step down transformer as per attached scope of work for RV Sindhu Sankalp]
																				[20 / 22046 / 218 / Hiring of 125 KVA step down transformer / 2025-2026][2025_HSL_98219_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S5OQv9ob8qcugz2DEQ9cuaQ%3D%3D,Hindustan Shipyard Limited||DRY DOCK and SHIP REPAIRS
3,1,26-Sep-2025 03:00 PM,01-Oct-2025 11:00 AM,01-Oct-2025 03:00 PM,[Hiring of 125 KVA DG Set as per attached scope of work for RV Sindhu Sankalp],"[Hiring of 125 KVA DG Set as per attached scope of work for RV Sindhu Sankalp]
																				[20 / 22046 / 209 / Hiring of 125 KVA DG Set / 2025-2026 ][2025_HSL_98218_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SbhOgNVxjoaSCw1Dv6rC5Rg%3D%3D,Hindustan Shipyard Limited||DRY DOCK and SHIP REPAIRS
4,1,25-Sep-2025 04:00 PM,29-Sep-2025 11:00 AM,29-Sep-2025 03:00 PM,[Procurement of Electrical Wiring Material for K10 Qtr.],"[Procurement of Electrical Wiring Material for K10 Qtr.]
																				[MP/3000000116/25-26 DTD 25.09.2025][2025_HSL_98213_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S0z9JKo1ajQYIwH%2B%2F%2BKVHow%3D%3D,Hindustan Shipyard Limited||MAIN PURCHASE
5,1,25-Sep-2025 12:00 PM,29-Sep-2025 11:00 AM,29-Sep-2025 03:00 PM,[EMERGENCY CABLE CONNECTORS for SRC PROJECT SR-22040],"[EMERGENCY CABLE CONNECTORS for SRC PROJECT SR-22040]
																				[3700002221][2025_HSL_98209_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S1p7EuP90ljsWFypD8m2byA%3D%3D,Hindustan Shipyard Limited||DRY DOCK and SHIP REPAIRS
6,1,24-Sep-2025 12:00 PM,29-Sep-2025 11:00 AM,29-Sep-2025 03:00 PM,[Procurement of Sanitary fittings for INS Jamuna],"[Procurement of Sanitary fittings for INS Jamuna]
																				[3700002241][2025_HSL_98195_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S2S470D5xGjqWxFGjFAtJ9A%3D%3D,Hindustan Shipyard Limited||DRY DOCK and SHIP REPAIRS
7,1,23-Sep-2025 06:00 PM,08-Oct-2025 11:00 AM,08-Oct-2025 03:00 PM,"[Provision of Project Management Consultancy (PMC) services for Refurbishment/ Upgradation of Outfitting Jetty, Crane Track, and Associated Services at HSL.]","[Provision of Project Management Consultancy (PMC) services for Refurbishment/ Upgradation of Outfitting Jetty, Crane Track, and Associated Services at HSL.]
																				[CD/OS/1614/PMC/OUTFIT JETTY/2025 dtd 23 Sep 2025][2025_HSL_98193_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sh0LCsPK1UhDxg33H3rP6FA%3D%3D,Hindustan Shipyard Limited||SHIP BUILDING OUTSOURCING
8,1,23-Sep-2025 05:00 PM,30-Sep-2025 11:00 AM,30-Sep-2025 03:00 PM,[Overhauling of Air bottle  on ORV Sindhu sankalp],"[Overhauling of Air bottle  on ORV Sindhu sankalp]
																				[20 /22046/ 214 /Overhauling of Air bottle /2025-2026 ][2025_HSL_98191_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SUEXCAKsxFeke2KlpICRFtw%3D%3D,Hindustan Shipyard Limited||DRY DOCK and SHIP REPAIRS
9,1,23-Sep-2025 05:00 PM,30-Sep-2025 11:00 AM,30-Sep-2025 03:00 PM,[Repair works of Anchor shank on ORV Sagar Kanya],"[Repair works of Anchor shank on ORV Sagar Kanya]
																				[20 /22022/ 216 /Anchor shank /2025-2026 ][2025_HSL_98192_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Stk3TCQd46PWCjXT8ju1xsQ%3D%3D,Hindustan Shipyard Limited||DRY DOCK and SHIP REPAIRS
10,1,23-Sep-2025 02:00 PM,04-Oct-2025 11:00 AM,04-Oct-2025 03:00 PM,"[To Establish Rate Contract (RC) with an experienced classification society for availing the services in Ship Building,Submarine an Ship repairs in carrying out the inspections/surveys in the yard as well as in NABL Labs and OEM Premises in Vizag]","[To Establish Rate Contract (RC) with an experienced classification society for availing the services in Ship Building,Submarine an Ship repairs in carrying out the inspections/surveys in the yard as well as in NABL Labs and OEM Premises in Vizag]
																				[CD/OS/1613/SB-QC-RC-Third Party Inspection/407/2025, 23 Sep 2025.][2025_HSL_98189_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SPk1YkmyDBjhHxhKmNIg3VQ%3D%3D,Hindustan Shipyard Limited||SHIP BUILDING OUTSOURCING
11,1,23-Sep-2025 12:00 PM,30-Sep-2025 11:00 AM,30-Sep-2025 03:00 PM,[Works of Alarm monitoring system on ORV Sindhu sankalp],"[Works of Alarm monitoring system on ORV Sindhu sankalp]
																				[	20 /22046/ 211 /Alarm monitoring system /2025-2026)][2025_HSL_98187_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sl5op7ckA%2Bjd3S1qILwXe3A%3D%3D,Hindustan Shipyard Limited||DRY DOCK and SHIP REPAIRS
12,1,22-Sep-2025 05:30 PM,30-Sep-2025 11:00 AM,30-Sep-2025 03:00 PM,[Procurement of Ultrasonic antifouling system for Sindhu Sankalp],"[Procurement of Ultrasonic antifouling system for Sindhu Sankalp]
																				[3700002239][2025_HSL_98181_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=So6syGyw%2FLJzwWAbmNf5CFQ%3D%3D,Hindustan Shipyard Limited||DRY DOCK and SHIP REPAIRS
13,1,22-Sep-2025 05:00 PM,29-Sep-2025 11:00 AM,29-Sep-2025 03:00 PM,[Renewal of Relays on ORV Sindhu sankalp],"[Renewal of Relays on ORV Sindhu sankalp]
																				[20 /22046/ 208 /Renewal of Relays /2025-2026)][2025_HSL_98180_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S07Br6bFtcVQ22WbnGzgmrw%3D%3D,Hindustan Shipyard Limited||DRY DOCK and SHIP REPAIRS
