S.No,Page No,e-Published Date,Closing Date,Opening Date,Title,TenderID,Link,Organisation Chain
61,4,27-Sep-2025 04:00 PM,06-Oct-2025 05:00 PM,07-Oct-2025 10:00 AM,"[Repair of various damaged streets, drains,nallah and patches in Ward No.15, Municipal Corporation, Karnal(Only for L/C Societies)]","[Repair of various damaged streets, drains,nallah and patches in Ward No.15, Municipal Corporation, Karnal(Only for L/C Societies)]
																				[20254321EEA4 B73A 415A AF2F 182F064D9026747ULB][2025_HRY_475102_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SPlMB3s4YJDQHihf8HK1wsA%3D%3D,Haryana Government||Urban Local Bodies||MC Karnal
62,4,27-Sep-2025 04:00 PM,06-Oct-2025 05:00 PM,07-Oct-2025 10:00 AM,"[Beautification of Pond in Village Kailash, Ward no. 1, M.C. Karnal.(Only for L/C Societies)]","[Beautification of Pond in Village Kailash, Ward no. 1, M.C. Karnal.(Only for L/C Societies)]
																				[2025372A1D5C 0FEC 4D0C B5FB 57265EFF68D8747ULB][2025_HRY_475085_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SMZwnoQCM1yq7avy6VyVYtw%3D%3D,Haryana Government||Urban Local Bodies||MC Karnal
63,4,27-Sep-2025 04:00 PM,06-Oct-2025 05:00 PM,07-Oct-2025 10:00 AM,"[Repair of various damaged I.P.B. streets, drains, and parks in ward no. 13, Municipal Corporation Karnal.(Only for L/C Societies)]","[Repair of various damaged I.P.B. streets, drains, and parks in ward no. 13, Municipal Corporation Karnal.(Only for L/C Societies)]
																				[2025D8D9D8AC 4E9F 4F0D B3CD F39BBE7BB7BD747ULB][2025_HRY_475095_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sw6flFr5H533CtKAvhTF9og%3D%3D,Haryana Government||Urban Local Bodies||MC Karnal
64,4,27-Sep-2025 04:00 PM,06-Oct-2025 03:00 PM,06-Oct-2025 05:00 PM,"[Capturing and Transportation of Stray Animals in Zone-IV,  Municipal Corporation, Gurugram]","[Capturing and Transportation of Stray Animals in Zone-IV,  Municipal Corporation, Gurugram]
																				[EE-SBM/MCG/2025/Spl-1][2025_HRY_475096_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S3fgfX4bXQk0%2FfDnQKW%2FI0g%3D%3D,Haryana Government||Urban Local Bodies||MC Gurgaon
65,4,27-Sep-2025 04:00 PM,06-Oct-2025 05:00 PM,07-Oct-2025 10:00 AM,"[Strengthening of various bituminous roads of Lakker Mandi, Ward no. 13, M.C. Karnal.(Only for L/C Societies)]","[Strengthening of various bituminous roads of Lakker Mandi, Ward no. 13, M.C. Karnal.(Only for L/C Societies)]
																				[20252BC3E5DE 1814 4EFF 93F7 63F00EE446B5747ULB][2025_HRY_475091_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SKiksAaLyKYW8itAkQXsiyA%3D%3D,Haryana Government||Urban Local Bodies||MC Karnal
66,4,27-Sep-2025 04:00 PM,06-Oct-2025 12:00 PM,06-Oct-2025 03:00 PM,[Supply of Riksha Rehri for Sanitation Purpose in all 4 zones under Municipal Corporation Gurugram.],"[Supply of Riksha Rehri for Sanitation Purpose in all 4 zones under Municipal Corporation Gurugram.]
																				[EE-SBM/MCG/2025/Spl-1][2025_HRY_475079_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SDrx%2BLAxtG60Bg6zc2Lx9hw%3D%3D,Haryana Government||Urban Local Bodies||MC Gurgaon
67,4,27-Sep-2025 03:15 PM,06-Oct-2025 05:00 PM,07-Oct-2025 09:00 AM,[Construction. of IPB Streer...],"[Construction. of IPB Streer...]
																				[2025A1252FC8 4A5A 4877 87E1 19A7A188C4B5347ULB][2025_HRY_475073_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sc%2Fl1oQDrqLCKGr3Ft4Suyg%3D%3D,Haryana Government||Urban Local Bodies||MC Uklana
68,4,27-Sep-2025 03:00 PM,04-Oct-2025 03:00 PM,04-Oct-2025 03:15 PM,[A/Mtc. water Supply Scheme ...],"[A/Mtc. water Supply Scheme ...]
																				[202528B6B806 026B 4921 940C 5DCB4CC67FEB561PUH][2025_HRY_475061_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sxl9SI6TcYLu%2BT1UwPw1mdw%3D%3D,Haryana Government||Engineer- in- Chief PHED Panchkula||Palwal Circle||Palwal PHED No.3
69,4,27-Sep-2025 03:00 PM,04-Oct-2025 03:00 PM,04-Oct-2025 03:15 PM,[Hodal- Estimate for Disman...],"[Hodal- Estimate for Disman...]
																				[20259D0AF7E4 C7E9 4589 A41A A48F1207C196561PUH][2025_HRY_475062_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Shq4ArQ4knBj%2BxVoIUx%2FDRA%3D%3D,Haryana Government||Engineer- in- Chief PHED Panchkula||Palwal Circle||Palwal PHED No.3
70,4,27-Sep-2025 03:00 PM,04-Oct-2025 03:00 PM,04-Oct-2025 03:15 PM,[A/Mtc. Water Supply Scheme ...],"[A/Mtc. Water Supply Scheme ...]
																				[2025EBBEB4FE 7E45 43EB ABE1 B8B42CCA4CDB561PUH][2025_HRY_475065_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SYq4M0jV4yYaIyZioT34MKg%3D%3D,Haryana Government||Engineer- in- Chief PHED Panchkula||Palwal Circle||Palwal PHED No.3
