Serial Number,Tender ID,Page Number,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_HPIPH_115957_1,1,[Construction and improvement of LWSS Jaral kotli Badyar in GP Kotli in Tehsil kotli Distt Mandi HP ],26-Sep-2025 10:00 AM,"HP Irrigation and Public Health||S  Nagar Circle,Irrigation and Public Health,HP||Mandi,Irrigation and Public Health,HP",06-Oct-2025 09:00 AM,https://hptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S1Ho%2FFxWkyMFcPMt3y5GRwg%3D%3D
2,2025_PWD_115782_1,1,[ Restoration Of Rain Damages  on  Shoghi Mehli Junga Sadhupul road  Km 12/375 to 48/925],25-Sep-2025 10:00 AM,PWD,03-Oct-2025 04:00 PM,https://hptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SkX5Ro4awtZ1ayWSbPReF%2BQ%3D%3D
3,2025_HPSEB_115807_1,1,[SEOP-19/2025-26],24-Sep-2025 04:00 PM,HPSEBL||CE (OP) North||SE (OP) Kangra,03-Oct-2025 11:30 AM,https://hptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SIsk31HDCr4ZK41rJKrTPBw%3D%3D
4,2025_PWD_115672_1,1,[Restoration of rain damages on  Bambira Kaziyara road km. 0/0 to 14/0 ],24-Sep-2025 10:30 AM,PWD,29-Sep-2025 06:00 PM,https://hptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SOu67gd3KEocVOnfx9lldCQ%3D%3D
5,2025_PWD_115693_6,1,[Restoration of Rain Damages on Millah Bakras Road Km 0/0 to 12/075. (SH. C/O R/wall in PCC 1.4.8 at RD 11/660 to 11/680 and 11/315 to 11/345).Under PDNA],24-Sep-2025 10:30 AM,PWD,30-Sep-2025 05:00 PM,https://hptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SNaWzgaxuQoOlpDXsCkf9Ag%3D%3D
6,2025_PWD_115717_12,1,[Restoration of rain damages on Hamirpur Galore road Km 0/0 to 18/165],24-Sep-2025 09:00 AM,PWD,03-Oct-2025 10:30 AM,https://hptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S9n1JInxbb9ZwTl669ebORA%3D%3D
7,2025_PWD_115714_1,1,"[Construction of Shopping Office Complex at Sabji Mandi for M.C. Shimla  Construction of Type-II  Type III blocks for M.C residential Colony at Pashu Padaw near Boileauganj SH C O Type II  Type III blocks for M.C. residential Colony at Pashu Padaw, ]",24-Sep-2025 09:00 AM,PWD,01-Oct-2025 09:00 AM,https://hptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SjDPb8oCVr032iEW1UR8NkQ%3D%3D
8,2025_PWD_115717_27,1,[Restoration of rain damages on Sasan baleta Road KM 0/00 to 8/00],24-Sep-2025 09:00 AM,PWD,03-Oct-2025 10:30 AM,https://hptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SyIt6gJJG8J5Qo0aPDdLAmA%3D%3D
9,2025_PWD_115717_32,1,[Restoration of rain damages on Tal Chamned road km 0/0 to 7/500],24-Sep-2025 09:00 AM,PWD,03-Oct-2025 10:30 AM,https://hptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SnEw6QXbuJL4de0l0kLJ13w%3D%3D
10,2025_PWD_115717_25,1,[Restoration of rain damages on Daruhi Burnwar road Km 0/00 to  2/400],24-Sep-2025 09:00 AM,PWD,03-Oct-2025 10:30 AM,https://hptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sv68ab41um%2BTpDhxMZ1reng%3D%3D
11,2025_PWD_115717_11,1,[Restoration of rain damages on Hamirpur Galore road Km 0/0 to 18/165 ],24-Sep-2025 09:00 AM,PWD,03-Oct-2025 10:30 AM,https://hptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SHiQx81tl61jsEoleutek%2BQ%3D%3D
12,2025_PWD_115717_26,1,[Restoration of rain damages on Daruhi Burnwar road Km 0/00 to  2/400],24-Sep-2025 09:00 AM,PWD,03-Oct-2025 10:30 AM,https://hptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SgYUFYl3shCMsYl05YquPRA%3D%3D
13,2025_PWD_115717_19,1,[Restoration of rain damages on Masyana Bhatwara road KM 0/00 to 5/500],24-Sep-2025 09:00 AM,PWD,03-Oct-2025 10:30 AM,https://hptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SlIJT22vQtxU0ptFhWBfdOQ%3D%3D
14,2025_PWD_115717_30,1,[Restoration of rain damages on Kudhiar Masyana road km 0/0 to 12/0],24-Sep-2025 09:00 AM,PWD,03-Oct-2025 10:30 AM,https://hptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SIKV69x70lcF7gJrbLAwwLg%3D%3D
15,2025_PWD_115717_25,1,[Restoration of rain damages on Daruhi Burnwar road Km 0/00 to  2/400],24-Sep-2025 09:00 AM,PWD,03-Oct-2025 10:30 AM,https://hptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sv68ab41um%2BTpDhxMZ1reng%3D%3D
16,2025_PWD_115717_12,1,[Restoration of rain damages on Hamirpur Galore road Km 0/0 to 18/165],24-Sep-2025 09:00 AM,PWD,03-Oct-2025 10:30 AM,https://hptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S9n1JInxbb9ZwTl669ebORA%3D%3D
17,2025_PWD_115717_20,1,[Restoration of rain damages on Masyana Bhatwara via Kushwar  road KM 0/00 to 5/500],24-Sep-2025 09:00 AM,PWD,03-Oct-2025 10:30 AM,https://hptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SCV21prMI1bLVHRSUUyrj%2BQ%3D%3D
