S.No,Page No,e-Published Date,Closing Date,Opening Date,Title,TenderID,Link,Organisation Chain
1,1,27-Sep-2025 06:55 PM,06-Oct-2025 06:55 PM,06-Oct-2025 06:55 PM,[CONSTRUCTION OF PROTECTION BUND THE HOUSE OF TARIQ AHMAD LONE AT NEW COLONY HARD MALPORA (DDC-527)],"[CONSTRUCTION OF PROTECTION BUND THE HOUSE OF TARIQ AHMAD LONE AT NEW COLONY HARD MALPORA (DDC-527)]
																				[59_NIT_2025-26_OF_BUDGAM	][2025_RDPR_289908_21]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S%2BbmGleylp%2FCo4WtYqldNxQ%3D%3D,Rural Development and Panchayati Raj||RURAL DEVELOPMENT DEPARTMENT KASHMIR||Superintending Engineer REW Kashmir||XEN REW Budgam
2,1,27-Sep-2025 06:55 PM,06-Oct-2025 06:55 PM,06-Oct-2025 06:55 PM,[CONSTRUCTION OF PROTECTION BUND AT DIFFERENT SPOTS NEAR THE HOUSE OF MOHD YOUSUF LONE AT GOBAL BIT KHUL NEAR THE HOUSE OF SHOWKET AHMAD PEER AND HOUSE OF ABDUL AHAD LONE (DDC-532)],"[CONSTRUCTION OF PROTECTION BUND AT DIFFERENT SPOTS NEAR THE HOUSE OF MOHD YOUSUF LONE AT GOBAL BIT KHUL NEAR THE HOUSE OF SHOWKET AHMAD PEER AND HOUSE OF ABDUL AHAD LONE (DDC-532)]
																				[59_NIT_2025-26_OF_BUDGAM	][2025_RDPR_289908_31]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sw5MKT6xKc%2BKvXrL0Bu6zEA%3D%3D,Rural Development and Panchayati Raj||RURAL DEVELOPMENT DEPARTMENT KASHMIR||Superintending Engineer REW Kashmir||XEN REW Budgam
3,1,27-Sep-2025 06:55 PM,06-Oct-2025 06:55 PM,06-Oct-2025 06:55 PM,[CONSTRUCTION OF 2 NO. FOOT BRIDGE AT HANJI LAWAYPORA NEAR HOUSE OF AB RASHID TANTRAY AND MUSHTAQ AHMAD (DDC-524)],"[CONSTRUCTION OF 2 NO. FOOT BRIDGE AT HANJI LAWAYPORA NEAR HOUSE OF AB RASHID TANTRAY AND MUSHTAQ AHMAD (DDC-524)]
																				[59_NIT_2025-26_OF_BUDGAM	][2025_RDPR_289908_29]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SW87fkMmPo6PyTsn4IOJlNg%3D%3D,Rural Development and Panchayati Raj||RURAL DEVELOPMENT DEPARTMENT KASHMIR||Superintending Engineer REW Kashmir||XEN REW Budgam
4,1,27-Sep-2025 06:55 PM,06-Oct-2025 06:55 PM,06-Oct-2025 06:55 PM,"[DEVELOPMENT OF DIFFERENT DRAINS GARIWAN DRAIN,NADIM DRAIN,CHILLBUTH DRAIN AND DRAIN FROM MAIN ROAD TO H/O BILAL MIR AZIZ AND OTHERS AT MEERIPORA B (PRI-2464)]","[DEVELOPMENT OF DIFFERENT DRAINS GARIWAN DRAIN,NADIM DRAIN,CHILLBUTH DRAIN AND DRAIN FROM MAIN ROAD TO H/O BILAL MIR AZIZ AND OTHERS AT MEERIPORA B (PRI-2464)]
																				[59_NIT_2025-26_OF_BUDGAM	][2025_RDPR_289908_14]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SbkDfZjNxMfDiFIdoWB9oCw%3D%3D,Rural Development and Panchayati Raj||RURAL DEVELOPMENT DEPARTMENT KASHMIR||Superintending Engineer REW Kashmir||XEN REW Budgam
5,1,27-Sep-2025 06:55 PM,06-Oct-2025 06:55 PM,06-Oct-2025 06:55 PM,[FENCING OF GRAVEYARD AT HANJI (PRI-2515],"[FENCING OF GRAVEYARD AT HANJI (PRI-2515]
																				[59_NIT_2025-26_OF_BUDGAM	][2025_RDPR_289908_20]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sa3QJBThY2ogjBihkxglo9A%3D%3D,Rural Development and Panchayati Raj||RURAL DEVELOPMENT DEPARTMENT KASHMIR||Superintending Engineer REW Kashmir||XEN REW Budgam
6,1,27-Sep-2025 06:55 PM,06-Oct-2025 06:55 PM,06-Oct-2025 06:55 PM,[CONSTRUCTION OF PROTECTION BUND NEAR THE HOUSE OF BILAL AHMAD MIR AT MACHIHAMA MALPORA (DDC-531)],"[CONSTRUCTION OF PROTECTION BUND NEAR THE HOUSE OF BILAL AHMAD MIR AT MACHIHAMA MALPORA (DDC-531)]
																				[59_NIT_2025-26_OF_BUDGAM	][2025_RDPR_289908_22]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Slyr1n3IN6WESW%2BkV0Ev9XA%3D%3D,Rural Development and Panchayati Raj||RURAL DEVELOPMENT DEPARTMENT KASHMIR||Superintending Engineer REW Kashmir||XEN REW Budgam
7,1,27-Sep-2025 06:55 PM,06-Oct-2025 06:55 PM,06-Oct-2025 06:55 PM,[CONSTRUCTION OF BOREWELL AT BUN MALPORA NEAR DISPENSARY (PRI-2517)],"[CONSTRUCTION OF BOREWELL AT BUN MALPORA NEAR DISPENSARY (PRI-2517)]
																				[59_NIT_2025-26_OF_BUDGAM	][2025_RDPR_289908_27]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sz6dYzsrBuZS1tngJ6Poiiw%3D%3D,Rural Development and Panchayati Raj||RURAL DEVELOPMENT DEPARTMENT KASHMIR||Superintending Engineer REW Kashmir||XEN REW Budgam
8,1,27-Sep-2025 06:55 PM,06-Oct-2025 06:55 PM,06-Oct-2025 06:55 PM,[CONSTRUCTION OF P BUND ON DAVESKUTH DARA NEAR THE HOUSE OF AB GANI SHEIKH AND CONSTRUCTION OF P BUND ON DAVESKUTH DARA NEAR THE LAND OF AB RASHID MIR AND OTHERS AND CONSTRUCTION OF P BUND ON DAVESKUTH ROAD NEAR THE LAND OF GH HASSAN BHAT AT CHEWDARA ],"[CONSTRUCTION OF P BUND ON DAVESKUTH DARA NEAR THE HOUSE OF AB GANI SHEIKH AND CONSTRUCTION OF P BUND ON DAVESKUTH DARA NEAR THE LAND OF AB RASHID MIR AND OTHERS AND CONSTRUCTION OF P BUND ON DAVESKUTH ROAD NEAR THE LAND OF GH HASSAN BHAT AT CHEWDARA ]
																				[59_NIT_2025-26_OF_BUDGAM	][2025_RDPR_289908_2]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SMabx7526AmKHbrc9cP85nQ%3D%3D,Rural Development and Panchayati Raj||RURAL DEVELOPMENT DEPARTMENT KASHMIR||Superintending Engineer REW Kashmir||XEN REW Budgam
9,1,27-Sep-2025 06:55 PM,08-Oct-2025 06:55 PM,09-Oct-2025 10:00 AM,[CONSTT.OF VERMI COMPOST PIT NEAR L/O IMTIYAZ AHMAD LONE AT WARAGAM],"[CONSTT.OF VERMI COMPOST PIT NEAR L/O IMTIYAZ AHMAD LONE AT WARAGAM]
																				[60_NIT_2025-26_OF_BUDGAM][2025_RDPR_289918_15]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SjYdspm1mBnHx1ZHmX%2Fe1Vg%3D%3D,Rural Development and Panchayati Raj||RURAL DEVELOPMENT DEPARTMENT KASHMIR||Superintending Engineer REW Kashmir||XEN REW Budgam
10,1,27-Sep-2025 06:55 PM,03-Oct-2025 06:55 PM,04-Oct-2025 09:00 AM,[RDDDC2526101455-(CO PATH AND TILING OF GROUND FOR PS KUMHAR MOHALLA AND CO LANE PATH NEAR HANFIA MASJID ADITRAG SANGERWANI B (BLOCK ACHGOZA))],"[RDDDC2526101455-(CO PATH AND TILING OF GROUND FOR PS KUMHAR MOHALLA AND CO LANE PATH NEAR HANFIA MASJID ADITRAG SANGERWANI B (BLOCK ACHGOZA))]
																				[e- NIT No. 73/2025-26 Dated 29-08-2025][2025_RDPR_286034_66]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sws1rTH7mFXu7rvWptiFfMw%3D%3D,Rural Development and Panchayati Raj||RURAL DEVELOPMENT DEPARTMENT KASHMIR||Superintending Engineer REW Kashmir||XEN REW Pulwama
