S.No,Page No,e-Published Date,Closing Date,Opening Date,Title,TenderID,Link,Organisation Chain
41,3,27-Sep-2025 04:00 PM,07-Oct-2025 09:00 AM,09-Oct-2025 02:00 PM,"[Construction of 495 ft PCC Road  Tumadaha idgah gali,G.P.-Bandarchua Block- Narayanpur, Dist- Jamtara, Dist- Jamtara, Gr. No.-30]","[Construction of 495 ft PCC Road  Tumadaha idgah gali,G.P.-Bandarchua Block- Narayanpur, Dist- Jamtara, Dist- Jamtara, Gr. No.-30]
																				[RDD/SD/JAMTARA/03/2025-26][2025_RDSPL_105216_31]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sfp1N8aJaAn6AyqHxLsPpFw%3D%3D,RDD Special Division||RDD SPL CE RANCHI||RDD SPL SE Dumka||RDD SPL EE Jamtara
42,3,27-Sep-2025 04:00 PM,13-Oct-2025 03:00 PM,14-Oct-2025 03:00 PM,"[(SVS-03) Construction of rural water supply Scheme with 1.0 HP DC Solar motor pump complete set AND Deep T/W of 125/115mm Dia,60mtrs deep Drilled Tube Well for Tolas/Village/Areas which is not included in MVS.]","[(SVS-03) Construction of rural water supply Scheme with 1.0 HP DC Solar motor pump complete set AND Deep T/W of 125/115mm Dia,60mtrs deep Drilled Tube Well for Tolas/Village/Areas which is not included in MVS.]
																				[DWSD/SKL/SVS/05/2025-26(2ND CALL)][2025_DWSD_105271_3]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SwjJkHnEcoLy%2F2whh88Lknw%3D%3D,DWSD EinC||DWSD CE RANCHI||DWSD SE Chaibasa||DWSD EE Saraikela
43,3,27-Sep-2025 04:00 PM,13-Oct-2025 03:00 PM,14-Oct-2025 03:00 PM,"[(SVS-02) Construction of rural water supply Scheme with 1.0 HP DC Solar motor pump complete set AND Deep T/W of 125/115mm Dia,60mtrs deep Drilled Tube Well for Tolas/Village/Areas which is not included in MVS.]","[(SVS-02) Construction of rural water supply Scheme with 1.0 HP DC Solar motor pump complete set AND Deep T/W of 125/115mm Dia,60mtrs deep Drilled Tube Well for Tolas/Village/Areas which is not included in MVS.]
																				[DWSD/SKL/SVS/05/2025-26(2ND CALL)][2025_DWSD_105271_2]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S%2FO1OmLvvBR6AjTszNHFm3g%3D%3D,DWSD EinC||DWSD CE RANCHI||DWSD SE Chaibasa||DWSD EE Saraikela
44,3,27-Sep-2025 04:00 PM,16-Oct-2025 02:00 PM,17-Oct-2025 03:30 PM,[205/PR/JBVNL2025-26],"[205/PR/JBVNL2025-26]
																				[205/PR/JBVNL/2025-26][2025_JSEB_105294_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SCbbbT0rh8XK%2FcDPpQq7Kyg%3D%3D,"JSEB||JBVNL||GM (TECHNICAL), ESA, RANCHI, JBVNL."
45,3,27-Sep-2025 04:00 PM,13-Oct-2025 03:00 PM,14-Oct-2025 03:00 PM,"[(SVS-06) Construction of rural water supply Scheme with 1.0 HP DC Solar motor pump complete set AND Deep T/W of 125/115mm Dia,60mtrs deep Drilled Tube Well for Tolas/Village/Areas which is not included in MVS]","[(SVS-06) Construction of rural water supply Scheme with 1.0 HP DC Solar motor pump complete set AND Deep T/W of 125/115mm Dia,60mtrs deep Drilled Tube Well for Tolas/Village/Areas which is not included in MVS]
																				[DWSD/SKL/SVS/05/2025-26(2ND CALL)][2025_DWSD_105271_6]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S5n2bneBFvHv7tF%2BmIjCl2g%3D%3D,DWSD EinC||DWSD CE RANCHI||DWSD SE Chaibasa||DWSD EE Saraikela
46,3,27-Sep-2025 04:00 PM,13-Oct-2025 03:00 PM,14-Oct-2025 03:00 PM,"[(SVS-05) Construction of rural water supply Scheme with 1.0 HP DC Solar motor pump complete set AND Deep T/W of 125/115mm Dia,60mtrs deep Drilled Tube Well for Tolas/Village/Areas which is not included in MVS.]","[(SVS-05) Construction of rural water supply Scheme with 1.0 HP DC Solar motor pump complete set AND Deep T/W of 125/115mm Dia,60mtrs deep Drilled Tube Well for Tolas/Village/Areas which is not included in MVS.]
																				[DWSD/SKL/SVS/05/2025-26(2ND CALL)][2025_DWSD_105271_5]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Soi7EOnrqMZU9OZh0lgtYkw%3D%3D,DWSD EinC||DWSD CE RANCHI||DWSD SE Chaibasa||DWSD EE Saraikela
47,3,27-Sep-2025 04:00 PM,13-Oct-2025 03:00 PM,14-Oct-2025 03:00 PM,"[(SVS-04) Construction of rural water supply Scheme with 1.0 HP DC Solar motor pump complete set AND Deep T/W of 125/115mm Dia,60mtrs deep Drilled Tube Well for Tolas/Village/Areas which is not included in MVS]","[(SVS-04) Construction of rural water supply Scheme with 1.0 HP DC Solar motor pump complete set AND Deep T/W of 125/115mm Dia,60mtrs deep Drilled Tube Well for Tolas/Village/Areas which is not included in MVS]
																				[DWSD/SKL/SVS/05/2025-26(2ND CALL)][2025_DWSD_105271_4]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SCsUCB7fRmchIOoyVsmoFBA%3D%3D,DWSD EinC||DWSD CE RANCHI||DWSD SE Chaibasa||DWSD EE Saraikela
48,3,27-Sep-2025 04:00 PM,07-Oct-2025 05:00 PM,09-Oct-2025 02:00 PM,"[Construction of  930 ft PCC Road from Pandani masjid to saharpur ,G.P.-Sabanpur, Block-Narayanpur, Dist- Jamtara, Gr. No.-31]","[Construction of  930 ft PCC Road from Pandani masjid to saharpur ,G.P.-Sabanpur, Block-Narayanpur, Dist- Jamtara, Gr. No.-31]
																				[RDD/SD/JAMTARA/03/2025-26][2025_RDSPL_105216_32]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SYSCg%2BGSKcJvIAa91uFBI%2BA%3D%3D,RDD Special Division||RDD SPL CE RANCHI||RDD SPL SE Dumka||RDD SPL EE Jamtara
49,3,27-Sep-2025 04:00 PM,07-Oct-2025 05:00 PM,09-Oct-2025 02:00 PM,"[Construction of PCC Road From The main Road Sitalpur to U.M.School Sitalpur Pond At- Sitalpur G.P-Alagchuan Block-Karmatar Dist-Jamtara, Gr.No.-26]","[Construction of PCC Road From The main Road Sitalpur to U.M.School Sitalpur Pond At- Sitalpur G.P-Alagchuan Block-Karmatar Dist-Jamtara, Gr.No.-26]
																				[RDD/SD/JAMTARA/03/2025-26][2025_RDSPL_105216_26]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SycEWE8%2F%2FvX8f39o0BptLFA%3D%3D,RDD Special Division||RDD SPL CE RANCHI||RDD SPL SE Dumka||RDD SPL EE Jamtara
50,3,27-Sep-2025 04:00 PM,13-Oct-2025 03:00 PM,14-Oct-2025 03:00 PM,"[(SVS-08) Construction of rural water supply Scheme with 1.0 HP DC Solar motor pump complete set AND Deep T/W of 125/115mm Dia,60mtrs deep Drilled Tube Well for Tolas/Village/Areas which is not included in MVS]","[(SVS-08) Construction of rural water supply Scheme with 1.0 HP DC Solar motor pump complete set AND Deep T/W of 125/115mm Dia,60mtrs deep Drilled Tube Well for Tolas/Village/Areas which is not included in MVS]
																				[DWSD/SKL/SVS/05/2025-26(2ND CALL)][2025_DWSD_105271_8]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Svk6xo%2FBEAY4RtH1Nc6UV9Q%3D%3D,DWSD EinC||DWSD CE RANCHI||DWSD SE Chaibasa||DWSD EE Saraikela
