S.No,Page No,e-Published Date,Closing Date,Opening Date,Title,TenderID,Link,Organisation Chain
1,1,27-Sep-2025 06:55 PM,07-Oct-2025 10:00 AM,09-Oct-2025 11:00 AM,[Concreting of Veliyabra- Varakukalayil Lane ],"[Concreting of Veliyabra- Varakukalayil Lane ]
																				[KLRA/MGNREGA/01/ET/2025-26][2025_DP_803448_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S9qexbongp9VlDJ6sjHCGMQ%3D%3D,Directorate of Panchayat||Deputy Director of Panchayats Kottayam||Kottayam Kallara Grama Panchayat
2,1,27-Sep-2025 06:55 PM,08-Oct-2025 06:55 PM,10-Oct-2025 11:30 AM,[Slab construction at Anandapuram CHC lab-Annual plan 2025-26 Irinjalakuda BP Pro.no.127/25-26-General Civil Work],"[Slab construction at Anandapuram CHC lab-Annual plan 2025-26 Irinjalakuda BP Pro.no.127/25-26-General Civil Work]
																				[ET3/AE/LSGD/IJK/25-26 pr no 127/26][2025_LSGD_803436_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SLMG%2F9R5pC%2FGMilKEWerfyQ%3D%3D,Local Self Government Department||Thrissur||Block Panchayath Sub Division Office TRCHR||O/O Asst. Exec Engg Irinjalakkuda Block Panchayath
3,1,27-Sep-2025 06:55 PM,06-Oct-2025 05:00 PM,09-Oct-2025 10:30 AM,[GENERAL-PVIP Action Plan 2025-26- Rectification of Kizhakkambalam Branch Canal between ch 6.300 km and 6.700 km for the year 2025-26-General Civil Work],"[GENERAL-PVIP Action Plan 2025-26- Rectification of Kizhakkambalam Branch Canal between ch 6.300 km and 6.700 km for the year 2025-26-General Civil Work]
																				[IRR/PII/3101/2025-2026][2025_Irrig_803449_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S3Ph%2FzerPyFFklH4g2%2BPYJA%3D%3D,"Irrigation Department||CE,P II, TVPM||SE,Proj.Cir., Piravom||EE,PVIP Div.II, Aluva"
4,1,27-Sep-2025 06:55 PM,06-Oct-2025 06:55 PM,09-Oct-2025 10:30 AM,[GENERAL-PVIP-Mazhuvannoor Branch Canal-Reconstruction of Damaged foot bridge at ch4/200m and leakage arresting of syphon at ch10/576m for the year 2025-26-General Civil Work],"[GENERAL-PVIP-Mazhuvannoor Branch Canal-Reconstruction of Damaged foot bridge at ch4/200m and leakage arresting of syphon at ch10/576m for the year 2025-26-General Civil Work]
																				[IRR/PII/3092/2025-2026][2025_Irrig_803415_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SlzHupQ4lQ70yd4nHbFoDBg%3D%3D,"Irrigation Department||CE,P II, TVPM||SE,Proj.Cir., Piravom||EE,PVIP Div.II, Aluva"
5,1,27-Sep-2025 06:55 PM,04-Oct-2025 06:55 PM,06-Oct-2025 11:30 AM,[LAC-ADS-MLA-ADS -2025-26-KyIP-Thayyattupoyil -Edoli- Viruppil Canal road(Construction of road between Ch.0/560Km to 0/810Km of Chevarambalam Sub Dty)-General Civil Work],"[LAC-ADS-MLA-ADS -2025-26-KyIP-Thayyattupoyil -Edoli- Viruppil Canal road(Construction of road between Ch.0/560Km to 0/810Km of Chevarambalam Sub Dty)-General Civil Work]
																				[IRR/PI/TR/7701/2024_5_1_1/1][2025_Irrig_797301_2]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sq70RfkF0QpWrOXhWVKFLsA%3D%3D,"Irrigation Department||CE,P1,KZKD||SE,Proj. Cir.,KNR||EE,KYIP Div.,Perambra"
6,1,27-Sep-2025 06:50 PM,07-Oct-2025 06:00 PM,09-Oct-2025 11:00 AM,"[GENERAL-Running Maintenance Contract of EI in OPDBlock,Blood Bank MCH-Annual Maintenance Contract of Electrical Installations installed in the OPD Block and Blood Bank at medical college Thiruvananthapuram for 6 months(second Half) of 2024-2025-Gener]","[GENERAL-Running Maintenance Contract of EI in OPDBlock,Blood Bank MCH-Annual Maintenance Contract of Electrical Installations installed in the OPD Block and Blood Bank at medical college Thiruvananthapuram for 6 months(second Half) of 2024-2025-Gener]
																				[ESDT/ET-141/2025-26][2025_PWD_803408_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S7iop6pm%2FiyByWi5oE3isiw%3D%3D,"PWD||Chief Engineer (Buildings)||SE (Electrical)||EE Elect (TVM)||AEE,Electrical SD, Thiruvananthapuram"
7,1,27-Sep-2025 06:50 PM,06-Oct-2025 05:00 PM,09-Oct-2025 10:30 AM,[GENERAL-Action Plan 2025-26-PVIP-Annual maintenance of Kalamboor MD between ch 0 and 2.400km for the year 2025-26-General Civil Work],"[GENERAL-Action Plan 2025-26-PVIP-Annual maintenance of Kalamboor MD between ch 0 and 2.400km for the year 2025-26-General Civil Work]
																				[IRR/PII/3083/2025-2026][2025_Irrig_803428_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S0Z%2FgWo0nwhIBzCdzWifwSw%3D%3D,"Irrigation Department||CE,P II, TVPM||SE,Proj.Cir., Piravom||EE,PVIP Div.II, Aluva"
8,1,27-Sep-2025 06:50 PM,07-Oct-2025 06:00 PM,09-Oct-2025 11:00 AM,"[GENERAL-Construction of Govt. Model Pre-primary school, Attingal-Balance Work-Phase-II-Construction of Govt. Model Pre-primary school, Attingal-Balance Work-Phase-II-General Electrical Work]","[GENERAL-Construction of Govt. Model Pre-primary school, Attingal-Balance Work-Phase-II-Construction of Govt. Model Pre-primary school, Attingal-Balance Work-Phase-II-General Electrical Work]
																				[ESDT/ET-138/2025-26][2025_PWD_803177_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SBEHqHD7TPxAYPcpmkYn1hw%3D%3D,"PWD||Chief Engineer (Buildings)||SE (Electrical)||EE Elect (TVM)||AEE,Electrical SD, Thiruvananthapuram"
9,1,27-Sep-2025 06:50 PM,07-Oct-2025 06:00 PM,09-Oct-2025 11:00 AM,[ GENERAL-Renovation of C-2-05 Quarters-Renovation of C-05 quarters attached to Sainik School Kazhakuttom Thiruvananthapuram-General Electrical Work],"[ GENERAL-Renovation of C-2-05 Quarters-Renovation of C-05 quarters attached to Sainik School Kazhakuttom Thiruvananthapuram-General Electrical Work]
																				[ESDT/ET-139/2025-26][2025_PWD_803278_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SoGWzb8yAqkwkiA8iEmWZwA%3D%3D,"PWD||Chief Engineer (Buildings)||SE (Electrical)||EE Elect (TVM)||AEE,Electrical SD, Thiruvananthapuram"
10,1,27-Sep-2025 06:40 PM,15-Oct-2025 05:00 PM,18-Oct-2025 11:00 AM,[Contract service of landscaping and gardening at Kinfra International Apparel Parks Ltd Kazhakkoottam Thiruvananthapuram],"[Contract service of landscaping and gardening at Kinfra International Apparel Parks Ltd Kazhakkoottam Thiruvananthapuram]
																				[KIAP/eTender/09/2025-26][2025_KINFR_803439_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SPOVUv%2BKZC40vZD23v%2BPb5g%3D%3D,Kerala Industrial Infrastructure Development Corp||KINFRA International Apparel Park
