S.No,Page No,e-Published Date,Closing Date,Opening Date,Title,TenderID,Link,Organisation Chain
2661,138,16-Sep-2025 06:00 PM,30-Sep-2025 05:00 PM,03-Oct-2025 10:30 AM,[PWSS DULHAR],"[PWSS DULHAR]
																				[PHE KHANDWA NIT 18/2025-26][2025_PHED_452106_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SugumZX82Pml1uif%2FCZYvRw%3D%3D,Public Health Engineering- O/o Engineer In Chief||Chief Engineer Indore - PHED||Superintending Engineer Khargone - PHED||Executive Engineer-Khandwa - PHED
2662,138,16-Sep-2025 06:00 PM,03-Oct-2025 05:30 PM,06-Oct-2025 02:00 PM,"[GROUND FLOOR SHOP IN UNDER CONSTRUCTION COMPLEX, MAIN ROAD IN WARD NO. 05, BAIL BAZAR AREA CHHINDWARA_SHOP NO. 24]","[GROUND FLOOR SHOP IN UNDER CONSTRUCTION COMPLEX, MAIN ROAD IN WARD NO. 05, BAIL BAZAR AREA CHHINDWARA_SHOP NO. 24]
																				[117/R.Sh./NP/2022][2022_UAD_199515_5]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=StKq3iCPE8GuJFgXubupzqg%3D%3D,Directorate Urban Administration and Development||Join Director-Jabalpur Division - UAD||Chhindwara-Nagar Parishad Chand - UAD
2663,138,16-Sep-2025 06:00 PM,01-Oct-2025 06:00 PM,03-Oct-2025 11:00 AM,"[CONST. OF R.C.C. DRAIN AT SARVDHARAM D SECTOR, W-80, Z-18.]","[CONST. OF R.C.C. DRAIN AT SARVDHARAM D SECTOR, W-80, Z-18.]
																				[2025200717][2025_UAD_452126_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SilBp9RNsPX4R%2Bep%2B2zwoww%3D%3D,Directorate Urban Administration and Development||Muncipal Corporations - UAD||Muncipal Corporation-Bhopal - UAD||Civil - MC Bhopal- UAD
2664,138,16-Sep-2025 06:00 PM,03-Oct-2025 05:30 PM,06-Oct-2025 02:00 PM,"[GROUND FLOOR SHOP IN UNDER CONSTRUCTION COMPLEX, MAIN ROAD IN WARD NO. 05, BAIL BAZAR AREA CHHINDWARA_SHOP NO. 23]","[GROUND FLOOR SHOP IN UNDER CONSTRUCTION COMPLEX, MAIN ROAD IN WARD NO. 05, BAIL BAZAR AREA CHHINDWARA_SHOP NO. 23]
																				[117/R.Sh./NP/2022][2022_UAD_199514_5]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S6FEKm0rtKRq0HGPwx%2FyOvA%3D%3D,Directorate Urban Administration and Development||Join Director-Jabalpur Division - UAD||Chhindwara-Nagar Parishad Chand - UAD
2665,138,16-Sep-2025 06:00 PM,03-Oct-2025 05:30 PM,06-Oct-2025 02:00 PM,"[GROUND FLOOR SHOP IN UNDER CONSTRUCTION COMPLEX, MAIN ROAD IN WARD NO. 05, BAIL BAZAR AREA CHHINDWARA_SHOP NO. 22]","[GROUND FLOOR SHOP IN UNDER CONSTRUCTION COMPLEX, MAIN ROAD IN WARD NO. 05, BAIL BAZAR AREA CHHINDWARA_SHOP NO. 22]
																				[117/R.Sh./NP/2022][2022_UAD_199512_5]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S0Nz8TjW0lrsITjlbPc6TIg%3D%3D,Directorate Urban Administration and Development||Join Director-Jabalpur Division - UAD||Chhindwara-Nagar Parishad Chand - UAD
2666,138,16-Sep-2025 06:00 PM,29-Sep-2025 04:30 PM,01-Oct-2025 09:00 AM,[ANNUAL MAINTENATCE CONTERACT  OF EXISTING  02 No CANON MAKE PHOTOCOPY MACHINE AT RAJGARH DISISION  Year 2025-26],"[ANNUAL MAINTENATCE CONTERACT  OF EXISTING  02 No CANON MAKE PHOTOCOPY MACHINE AT RAJGARH DISISION  Year 2025-26]
																				[45/ 25-26][2025_PHED_450123_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SgAc5QS7tvQjsrlpcTa8ciQ%3D%3D,Public Health Engineering- O/o Engineer In Chief||Chief Engineer Bhopal - PHED||Superintending Engineer Bhopal - PHED||Executive Engineer-Rajgarh - PHED
2667,138,16-Sep-2025 06:00 PM,01-Oct-2025 05:30 PM,03-Oct-2025 01:00 PM,[Construction of Payjal pyau Room at Charodi Shamsanghat Betma  (3rd Call)],"[Construction of Payjal pyau Room at Charodi Shamsanghat Betma  (3rd Call)]
																				[432/E-Tender/G3/2025][2025_UAD_415710_3]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S%2BAZ77Frhg0c2dgrw6C%2BBaQ%3D%3D,Directorate Urban Administration and Development||Join Director-Indore Division - UAD||Indore-Nagar Parishad Betma  - UAD
2668,138,16-Sep-2025 06:00 PM,03-Oct-2025 06:00 PM,06-Oct-2025 12:00 PM,[SELL OF SHOP NUMBER-09 (SECOND FLOOR) IN GANDHI COMPLEX-C BLOCK ],"[SELL OF SHOP NUMBER-09 (SECOND FLOOR) IN GANDHI COMPLEX-C BLOCK ]
																				[824/E-Auction/Revenue/RMC/2025 Date- 15.09.2025][2025_UAD_451719_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SICpe5RKwqZpOJpgXYnj2Jw%3D%3D,Directorate Urban Administration and Development||Muncipal Corporations - UAD||Muncipal Corporation - Rewa - UAD||Revenue Deptt. - MC Rewa - UAD
2669,138,16-Sep-2025 06:00 PM,03-Oct-2025 06:00 PM,06-Oct-2025 12:00 PM,[SELL OF SHOP NUMBER-08 (SECOND FLOOR) IN GANDHI COMPLEX-C BLOCK ],"[SELL OF SHOP NUMBER-08 (SECOND FLOOR) IN GANDHI COMPLEX-C BLOCK ]
																				[824/E-Auction/Revenue/RMC/2025 Date- 15.09.2025][2025_UAD_451718_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Si%2Bv8t3DtJjdPIJX41Gwyeg%3D%3D,Directorate Urban Administration and Development||Muncipal Corporations - UAD||Muncipal Corporation - Rewa - UAD||Revenue Deptt. - MC Rewa - UAD
2670,138,16-Sep-2025 06:00 PM,15-Oct-2025 06:00 PM,16-Oct-2025 06:00 PM,[Regarding laying of drainage line on branch road in front of lanes of Mishra wala road under zone number 15 ward number 02.],"[Regarding laying of drainage line on branch road in front of lanes of Mishra wala road under zone number 15 ward number 02.]
																				[61/EE/WWD/25-26/E-TENDER-G-6][2025_UAD_451992_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SOfytDLzkMDpTq9sbLaWYvw%3D%3D,Directorate Urban Administration and Development||Muncipal Corporations - UAD||Muncipal Corporation-Indore - UAD||Jal Yantralaya  - MC Indore - UAD
