Serial Number,Tender ID,Page Number,Title,E-Published Date,Organisation,Closing Date,Link
1,,1,"[Design and Supply of Distribution Transformers of 11/0.433 KV 25KVA, 63KVA, 100KVA, 200KVA, 250KVA and 500KVA for reputed Firms. For Startup Firms only  25KVA and 63KVA]",08-Sep-2025 05:20 PM,Meghalaya Energy Corporation Limited||Director(Distribution) MePDCL - MeECL||Chief Engineer (Distribution)-MePDCL-MeECl,10-Oct-2025 03:00 PM,https://meghalayatenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SH7VEYpoIPJCOUSqv%2BXxOPQ%3D%3D
2,2025_UAD_1789_1,1,"[CONSTRUCTION OF HELIPORT AT SHILLONG INCLUDING INFRASTRUCTURE ON ENGINEERING, PROCUREMENT AND CONSTRUCTION (EPC MODE 3) BASIS IN NEW SHILLONG TOWNSHIP, MEGHALAYA, UNDER RCS UDAN]",03-Sep-2025 11:50 AM,Urban Affairs Department,30-Sep-2025 02:00 PM,https://meghalayatenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S32oBNWEbwhgFNn3fQhEj%2Fg%3D%3D
3,2025_UAD_1788_1,1,"[CONSTRUCTION OF HELIPORT AT TURA INCLUDING INFRASTRUCTURE ON ENGINEERING, PROCUREMENT AND CONSTRUCTION (EPC MODE 3) BASIS AT DOLDEGRE,TURA, MEGHALAYA, UNDER RCS UDAN]",03-Sep-2025 11:40 AM,Urban Affairs Department,30-Sep-2025 02:00 PM,https://meghalayatenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Syteiu0lTJkRUK%2B3hAvw9Ug%3D%3D
4,,1,"[Annual Maintenance of Myntdu Leshka (3 x 42 MW) Stage-I, Power Station,  MePGCL, Suchen, East Jaintia Hills, Meghalaya.]",02-Sep-2025 05:00 PM,Meghalaya Energy Corporation Limited||Director (Generation) MePGCL - MeECL||Chief Engineer (Generation)-MePGCL-MeECL,03-Oct-2025 12:00 PM,https://meghalayatenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Si3bHgDo6rrQaBRYLnNId5A%3D%3D
5,2025_MIDFC_1782_1,1,[CONSULTANCY SERVICES FOR PREPARATION OF FEASIBILITY STUDY AND DETAILED PROJECT REPORT FOR CONSTRUCTION AND IMPROVEMENT OF ROADS IN THE STATE OF MEGHALAYA (WEST MEGHALAYA) PHASE-II FOR MEGHALAYA LOGISTICS AND CONNECTIVITY IMPROVEMENT PROJECT (MLCIP) ],29-Aug-2025 09:00 AM,Meghalaya Infrastructure Development Finance Corporation  - World Bank Tenders||Meghalaya Infrastructure Development Finance Corporation Shillong,06-Oct-2025 04:00 PM,https://meghalayatenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sq7bn980Ht%2BJjsZD%2Fy4S%2F%2Bg%3D%3D
6,2025_MIDFC_1781_1,1,[Consultancy Services for Preparation of Feasibility Study and Detailed Project Report for construction and improvement of roads in the state of Meghalaya (East Meghalaya) Phase-II for Meghalaya Logistics and Connectivity Improvement Project (MLCIP) ],29-Aug-2025 09:00 AM,Meghalaya Infrastructure Development Finance Corporation  - World Bank Tenders||Meghalaya Infrastructure Development Finance Corporation Shillong,06-Oct-2025 04:00 PM,https://meghalayatenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S5KGkt8f49mJ7PFxdwkZP%2FA%3D%3D
7,,1,[Re-conductoring and strengthening of 132 KV S/C Line by HTLS conductors and related services in Meghalaya (Line Length 10.41 ckt.km).],25-Aug-2025 03:00 PM,Meghalaya Energy Corporation Limited||Director (Transmission) MePTCL - MeECL||Additional Chief Engineer (T and T)-MePTCL-MeECL,29-Sep-2025 11:00 AM,https://meghalayatenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SXmPPyhAvjQhYtW9E5ch6lQ%3D%3D
8,2025_SWADB_1780_1,1,[Procurement of Eggs in Khasi Jaintia Ri Bhoi Region 1st Year 2nd Package Package Number PKG 049],25-Aug-2025 09:00 AM,Social Welfare Department-ADB||Meghalaya Early Childhood Development Mission (MECDM),15-Oct-2025 04:00 PM,https://meghalayatenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SNT9OnpgBcUlm5UJfprapHQ%3D%3D
9,2025_SWADB_1779_1,1,[Procurement of Eggs in Khasi Jaintia Ri Bhoi Region 1st Year 1st Package Package Number PKG 048],25-Aug-2025 09:00 AM,Social Welfare Department-ADB||Meghalaya Early Childhood Development Mission (MECDM),15-Oct-2025 03:30 PM,https://meghalayatenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SHbL75LdEF9KkX7%2B4ZJd6eg%3D%3D
10,2025_SWADB_1773_1,1,[Procurement of Eggs in Garo Hills Region 1st Year 1st Package Package Number PKG 047],19-Aug-2025 10:00 AM,Social Welfare Department-ADB||Meghalaya Early Childhood Development Mission (MECDM),15-Oct-2025 03:00 PM,https://meghalayatenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SUlE8HxPZuByoyqauSiPQpQ%3D%3D
