S.No,Page No,e-Published Date,Closing Date,Opening Date,Title,TenderID,Link,Organisation Chain
1,1,27-Sep-2025 05:30 PM,07-Oct-2025 04:00 PM,08-Oct-2025 10:30 AM,"[Construction of Compound Wall for Government Servant Quarters Campus Lawspet along the western side of college main road From R block to Z block Lawspet, Puducherry]","[Construction of Compound Wall for Government Servant Quarters Campus Lawspet along the western side of college main road From R block to Z block Lawspet, Puducherry]
																				[44/PW/BRC/25-26][2025_PWDC1_20044_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SuPZYE7NRqCbIG%2FUYAq6EPw%3D%3D,Public Works Department||CIRCLE I||Buildings and Roads(CENTRAL)
2,1,27-Sep-2025 05:15 PM,07-Oct-2025 04:00 PM,08-Oct-2025 10:30 AM,"[Improvements to the roads and drains at Kennady Nagar main road from Maraimalai Adigal salai to Arignar Anna Street in Ilango Nagar, Orlenapet Constituency, Puducherry]","[Improvements to the roads and drains at Kennady Nagar main road from Maraimalai Adigal salai to Arignar Anna Street in Ilango Nagar, Orlenapet Constituency, Puducherry]
																				[43/Pw/BRC/25-26][2025_PWDC1_20043_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SFd%2FxbvR7cV1pAa%2B36CfsmA%3D%3D,Public Works Department||CIRCLE I||Buildings and Roads(CENTRAL)
3,1,27-Sep-2025 05:00 PM,07-Oct-2025 04:00 PM,08-Oct-2025 10:30 AM,"[Improvements to the Road and drain at Pudhu theru  Kamaraj street in Govindasalai at Orleanpet, Puducherry]","[Improvements to the Road and drain at Pudhu theru  Kamaraj street in Govindasalai at Orleanpet, Puducherry]
																				[42/PW/BRC/25-26][2025_PWDC1_20042_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=ShQX4aa6G6sAg%2FJhtISGNkw%3D%3D,Public Works Department||CIRCLE I||Buildings and Roads(CENTRAL)
4,1,27-Sep-2025 04:20 PM,07-Oct-2025 04:00 PM,08-Oct-2025 11:00 AM,"[Sub Work Rewiring and replacement of damaged electrical fittings and fans in the first floor building located in the campus of Indira Gandhi Sports Complex, Uppalam, Puducherry for accommodating the Directorate of Sports and Youth Affairs.]","[Sub Work Rewiring and replacement of damaged electrical fittings and fans in the first floor building located in the campus of Indira Gandhi Sports Complex, Uppalam, Puducherry for accommodating the Directorate of Sports and Youth Affairs.]
																				[41/PW/SBD-II/2025-26][2025_PWDC2_20004_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SWO9CqFAZy1jRxNsR7Xq0oA%3D%3D,Public Works Department||CIRCLE II||Special Buildings Division-II
5,1,27-Sep-2025 04:10 PM,07-Oct-2025 04:00 PM,08-Oct-2025 11:00 AM,"[Renovation to the existing toilet block (south side) at Indira Gandhi Sports Complex, Uppalam, Puducherry.]","[Renovation to the existing toilet block (south side) at Indira Gandhi Sports Complex, Uppalam, Puducherry.]
																				[39/PW/SBD-II/2025-26][2025_PWDC2_20002_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Se0wJr76ec%2Fyi5Naozu4lZw%3D%3D,Public Works Department||CIRCLE II||Special Buildings Division-II
6,1,27-Sep-2025 04:00 PM,07-Oct-2025 04:00 PM,08-Oct-2025 10:30 AM,"[Improvements to the Road and drain at Anthoniyar Kovil street and Subramaniya siva street in Govindasalai, Puducherry]","[Improvements to the Road and drain at Anthoniyar Kovil street and Subramaniya siva street in Govindasalai, Puducherry]
																				[41/PW/BRC/25-26][2025_PWDC1_20041_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S9H1cb7H2Y2jgT8CCjnNedQ%3D%3D,Public Works Department||CIRCLE I||Buildings and Roads(CENTRAL)
7,1,27-Sep-2025 04:00 PM,07-Oct-2025 04:00 PM,08-Oct-2025 10:30 AM,"[Improvements to the Kannara street and Shanthi Nagar 2nd Main road, Puducherry]","[Improvements to the Kannara street and Shanthi Nagar 2nd Main road, Puducherry]
																				[39/PW/BRC/25-26][2025_PWDC1_20039_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S%2BsSEX5A1wTbn7VMEFTKqqw%3D%3D,Public Works Department||CIRCLE I||Buildings and Roads(CENTRAL)
8,1,27-Sep-2025 04:00 PM,07-Oct-2025 04:00 PM,08-Oct-2025 10:30 AM,"[Improvements to the  Pudhu Nagar Jayamkondan Mariamman Kovil Street to Newton theater,  Puducherry]","[Improvements to the  Pudhu Nagar Jayamkondan Mariamman Kovil Street to Newton theater,  Puducherry]
																				[40/PW/BRC/25-26][2025_PWDC1_20040_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SYQ1QRK1qkxG%2FvOLfAOeRqg%3D%3D,Public Works Department||CIRCLE I||Buildings and Roads(CENTRAL)
9,1,27-Sep-2025 01:50 PM,07-Oct-2025 04:00 PM,08-Oct-2025 11:00 AM,"[Renovation and rehabilitation work to the school building and construction of new toilet blocks at Government Primary School, Ariyankuppampet, Ariyankuppam Commune, Puducherry.]","[Renovation and rehabilitation work to the school building and construction of new toilet blocks at Government Primary School, Ariyankuppampet, Ariyankuppam Commune, Puducherry.]
																				[34/PW/SBD-II/2025-26][2025_PWDC2_19997_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SiLp4C0kbglTTOZrOimTLjg%3D%3D,Public Works Department||CIRCLE II||Special Buildings Division-II
10,1,27-Sep-2025 01:35 PM,07-Oct-2025 04:00 PM,08-Oct-2025 11:00 AM,"[Sub Work Renovation to the existing first floor of the SDAP building for Accommodating the Directorate of Sports and Youth Affairs in the campus of Indira Gandhi Sports Complex, Uppalam, Puducherry.]","[Sub Work Renovation to the existing first floor of the SDAP building for Accommodating the Directorate of Sports and Youth Affairs in the campus of Indira Gandhi Sports Complex, Uppalam, Puducherry.]
																				[33/PW/SBD-II/2025-26][2025_PWDC2_19996_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SpoRETiRsbkY75hhnXw4prA%3D%3D,Public Works Department||CIRCLE II||Special Buildings Division-II
