Serial Number,Tender ID,Page Number,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_DLG_150958_1,1,"[Integrated  Solid waste Management -Door to Door Collection, segregation, Processing  AND disposal of Solid wastefor MC Machhiwara]",27-Sep-2025 09:00 AM,Department of Local Government||Director - Local Government||Regional Deputy Director - Ludhiana||Municipal Council - Machiwara,23-Oct-2025 05:00 PM,https://eproc.punjab.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SIBixF5hyySwDBygOysIxxw%3D%3D
2,2025_DLG_150958_2,1,[WORK OF MECHANISED SWEEPING OF INTERNAL MAIN ROADS IN MUNICIPAL COUNCIL MACHHIWARA FOR 3 YEARS],27-Sep-2025 09:00 AM,Department of Local Government||Director - Local Government||Regional Deputy Director - Ludhiana||Municipal Council - Machiwara,23-Oct-2025 05:00 PM,https://eproc.punjab.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sac2ioneNAFE1wxJcaePNfg%3D%3D
3,2025_DOA_150959_1,1,[MKS-25-107],26-Sep-2025 06:00 PM,Department of Agriculture||Punjab Mandi Board||XEN - Civil - Sri Muktsar Sahib,09-Oct-2025 01:00 PM,https://eproc.punjab.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S%2F6sin96h0TgWbwMkJunnWQ%3D%3D
4,2025_DLG_150945_1,1,[Door to Door Collection. Segregation and Maintenance of Soild waste in City Jalalabad],26-Sep-2025 05:05 PM,Department of Local Government||Director - Local Government||ADC (UD) - Fazilka||Municipal Council - Jalalabad,22-Oct-2025 05:00 PM,https://eproc.punjab.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SNPbLe%2FpREW5IH07WaTcLcg%3D%3D
5,2025_WR_141287_4,1,[Estimate for Lining/Relining by laying UGPL of w/c of O/L RD 33190-L of Uppli Disty of Village Kattu Distt. Barnala (Laying and Jointing of RCC UGPL system and other allied works in construction watercourse)],26-Sep-2025 05:00 PM,Department of Water Resources||Punjab Water Resources Management and Development Corporation||DE - Lining Division No. - 2 - Mansa,02-Oct-2025 09:00 AM,https://eproc.punjab.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SywmGS1qX2fJWmcRgrQgXWQ%3D%3D
6,2025_DLG_150733_34,1,[Purchase of multi gym equipment ward No. 11 Bazigar basti Dhanaula],26-Sep-2025 09:00 AM,Department of Local Government||Director - Local Government||ADC (UD) - Barnala||Municipal Council - Dhanaula,10-Oct-2025 12:00 PM,https://eproc.punjab.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sgk9%2BwmHTdw%2B28vfuerEe0Q%3D%3D
7,2025_DOA_150769_1,1,[Modernization of Various Rural Link Road in MC Samana in Project Special Assistance to states for Capital Investment 202526 Distt  Patiala With 5 year Maintenance Work Code PTA25147],25-Sep-2025 04:40 PM,Department of Agriculture||Punjab Mandi Board||XEN - Civil - Patiala,08-Oct-2025 11:00 AM,https://eproc.punjab.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sd7cW1EU7HGmd9UOiNEI%2B9A%3D%3D
8,2025_DLG_150614_1,1,"[Door to Door Collection, Segregation and maintenance of Solid Waste in City Banga]",25-Sep-2025 11:00 AM,Department of Local Government||Director - Local Government||ADC (UD) - SBS Nagar||Municipal Council - Banga,18-Oct-2025 05:00 PM,https://eproc.punjab.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SJ78YjUuwugaVNlAzAzBgMw%3D%3D
9,2025_FCSCA_150653_1,1,[E-TENDER FOR TRANSPORTATION OF MID DAY MEAL UNDER PM POSHAN SCHEME- Ropar],25-Sep-2025 11:00 AM,Department of Food Civil Supplies and Consumer Affairs||PUNSUP||District Office - Ropar/Mohali,01-Oct-2025 10:00 AM,https://eproc.punjab.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SfXqGe5XHb8eaQB5%2BB11tNA%3D%3D
10,2025_DLG_150679_1,1,[Door to Door Collection Segregation and Maintenance of soild waste in City Garhshankar. ( Intergrated solid waste Management Door to Door collection and Transportation Processing and Disposal of Municipal Solid waste at MC Garhshankar)],25-Sep-2025 11:00 AM,Department of Local Government||Director - Local Government||ADC (UD) - Hoshiarpur||Municipal Council - Garhshankar,21-Oct-2025 05:00 PM,https://eproc.punjab.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SJ0GryWLZSYB3QJ9pheIAMw%3D%3D
