S.No,Page No,e-Published Date,Closing Date,Opening Date,Title,TenderID,Link,Organisation Chain
1,1,28-Sep-2025 06:55 PM,07-Oct-2025 06:00 PM,08-Oct-2025 03:00 PM,[Gravel road construction work for the way to Muktidham in village Bislai],"[Gravel road construction work for the way to Muktidham in village Bislai]
																				[EE PWD DIV. ITAWA NITNO-14/2025-26][2025_CEPWD_504418_9]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sd8hJrtVnp8QpzIOSEycDqg%3D%3D,PWD - CE AND AS||ACE - KOTA||SE-BUNDI||EE-NAINWA
2,1,28-Sep-2025 06:55 PM,07-Oct-2025 06:00 PM,08-Oct-2025 03:00 PM,[Muktidham development work in village Binayaka],"[Muktidham development work in village Binayaka]
																				[EE PWD DIV. ITAWA NITNO-14/2025-26][2025_CEPWD_504418_7]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SX0I8tiD5zYSHVowGCqWjMg%3D%3D,PWD - CE AND AS||ACE - KOTA||SE-BUNDI||EE-NAINWA
3,1,28-Sep-2025 06:55 PM,07-Oct-2025 06:00 PM,08-Oct-2025 03:00 PM,[Muktidham development work and C.C. interlocking road construction work in village Khedli Maharaja],"[Muktidham development work and C.C. interlocking road construction work in village Khedli Maharaja]
																				[EE PWD DIV. ITAWA NITNO-14/2025-26][2025_CEPWD_504418_5]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SMoj9rBGOLzo5KuXIOj3%2B5g%3D%3D,PWD - CE AND AS||ACE - KOTA||SE-BUNDI||EE-NAINWA
4,1,28-Sep-2025 06:55 PM,07-Oct-2025 06:00 PM,08-Oct-2025 03:00 PM,[Work of Muktidham development in village Chayavda],"[Work of Muktidham development in village Chayavda]
																				[EE PWD DIV. ITAWA NITNO-14/2025-26][2025_CEPWD_504418_10]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SUMXunuExDUL8Aiw4nzajRw%3D%3D,PWD - CE AND AS||ACE - KOTA||SE-BUNDI||EE-NAINWA
5,1,28-Sep-2025 06:55 PM,07-Oct-2025 06:00 PM,08-Oct-2025 03:00 PM,[Work of Muktidham development in village Nalavata],"[Work of Muktidham development in village Nalavata]
																				[EE PWD DIV. ITAWA NITNO-14/2025-26][2025_CEPWD_504418_6]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=St%2FZMPMugTFNgPQY6tYq6LQ%3D%3D,PWD - CE AND AS||ACE - KOTA||SE-BUNDI||EE-NAINWA
6,1,28-Sep-2025 06:55 PM,07-Oct-2025 06:00 PM,08-Oct-2025 03:00 PM,[Work of Muktidham development in village Ron],"[Work of Muktidham development in village Ron]
																				[EE PWD DIV. ITAWA NITNO-14/2025-26][2025_CEPWD_504418_11]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S8Zxylyp3j8ePw5rbngU0kQ%3D%3D,PWD - CE AND AS||ACE - KOTA||SE-BUNDI||EE-NAINWA
7,1,28-Sep-2025 06:55 PM,07-Oct-2025 06:00 PM,08-Oct-2025 03:00 PM,[Muktidham development work in Ganeshganj village],"[Muktidham development work in Ganeshganj village]
																				[EE PWD DIV. ITAWA NITNO-14/2025-26][2025_CEPWD_504418_8]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S50tPZ3LlyrJNO7nNXLUWGg%3D%3D,PWD - CE AND AS||ACE - KOTA||SE-BUNDI||EE-NAINWA
8,1,28-Sep-2025 06:50 PM,03-Oct-2025 11:00 AM,03-Oct-2025 02:00 PM,[NIT 22/2025-26 SMSA PACKAGE 18 ARDASH ANGANWADI DUNGARPUR],"[NIT 22/2025-26 SMSA PACKAGE 18 ARDASH ANGANWADI DUNGARPUR]
																				[NIT 22/2025-26 SMSA PACKAGE 18 ARDASH ANGANWADI DUNGARPUR][2025_RCSCE_504431_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SgHdTLiMXjMr9yvPQqSQjkQ%3D%3D,Rajasthan Council of School Education
9,1,28-Sep-2025 06:30 PM,03-Oct-2025 11:00 AM,03-Oct-2025 02:00 PM,[NIT 22/2025-26 SMSA PACKAGE 17 ARDASH ANGANWADI DUNGARPUR],"[NIT 22/2025-26 SMSA PACKAGE 17 ARDASH ANGANWADI DUNGARPUR]
																				[NIT 22/2025-26 SMSA PACKAGE 17 ARDASH ANGANWADI DUNGARPUR][2025_RCSCE_504430_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SJfST1OOCtTWdrfoGCrJEVw%3D%3D,Rajasthan Council of School Education
10,1,28-Sep-2025 06:20 PM,03-Oct-2025 11:00 AM,03-Oct-2025 02:00 PM,[NIT 22/2025-26 SMSA PACKAGE 16 ARDASH ANGANWADI DUNGARPUR],"[NIT 22/2025-26 SMSA PACKAGE 16 ARDASH ANGANWADI DUNGARPUR]
																				[NIT 22/2025-26 SMSA PACKAGE 16 ARDASH ANGANWADI DUNGARPUR][2025_RCSCE_504428_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SM52e2yNHXOLmZo%2Blz2nRdg%3D%3D,Rajasthan Council of School Education
