S.No,Page No,e-Published Date,Closing Date,Opening Date,Title,TenderID,Link,Organisation Chain
101,6,27-Sep-2025 05:30 PM,30-Sep-2025 03:00 PM,30-Sep-2025 03:30 PM,[213/2025 MP Fund],"[213/2025 MP Fund]
																				[213/2025][2025_DTP_609747_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SLpy0nQX6p045jcXAgxIu9w%3D%3D,"Directorate of Town Panchayats||Dindigul Zone||Aravakurichi Town Panchayat, Karur"
102,6,27-Sep-2025 05:30 PM,06-Oct-2025 03:00 PM,06-Oct-2025 04:00 PM,[ VELLORE DISTRICT Providing Cement Concrete  pavement at Kanagasamuthiram munieswaran koil street in Latheri Panchayat AT K.V.KUPPAM BLOCK MLACDS 2025-26 PACKAGE NO 01],"[ VELLORE DISTRICT Providing Cement Concrete  pavement at Kanagasamuthiram munieswaran koil street in Latheri Panchayat AT K.V.KUPPAM BLOCK MLACDS 2025-26 PACKAGE NO 01]
																				[A2/2540/2024 KVKM SEP 23-25][2025_RDTN_609754_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SYQtfuTDuU4JrxQ%2Bx%2BadL5w%3D%3D,"Rural Development and Panchayat Raj Department||Vellore,RD,TN||K.V.KUPPAM, VELLORE,RD,TN"
103,6,27-Sep-2025 05:30 PM,06-Oct-2025 03:00 PM,07-Oct-2025 04:00 PM,[Providing CC Road at Mariamman Kovil Street in S.Kuppanapuram Village in Seliyanallur Panchayat],"[Providing CC Road at Mariamman Kovil Street in S.Kuppanapuram Village in Seliyanallur Panchayat]
																				[A2/5647/2025][2025_RDTN_609759_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SJzR9mIil5xwEbSAclhxq%2BA%3D%3D,"Rural Development and Panchayat Raj Department||Tirunelveli,RD,TN||MANUR, TIRUNELVELI,RD,TN"
104,6,27-Sep-2025 05:30 PM,06-Oct-2025 03:00 PM,06-Oct-2025 04:00 PM,[CONSTRUCTION OF DRAINAGE AT AD COLONY  ANNAMALAI STREET (WELL STREET) JAYAVEL HOUSE TO KANAGARAJ HOUSE IN PASUMATHUR PANCHAYAT FOR K.V.KUPPAM BLOCK MLACDS 2025-26 PACKAGE NO 03],"[CONSTRUCTION OF DRAINAGE AT AD COLONY  ANNAMALAI STREET (WELL STREET) JAYAVEL HOUSE TO KANAGARAJ HOUSE IN PASUMATHUR PANCHAYAT FOR K.V.KUPPAM BLOCK MLACDS 2025-26 PACKAGE NO 03]
																				[A2/2540/2024 KVKM SEP 23-25][2025_RDTN_609765_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S5kjaegVaQlV1lhQvwBq9tg%3D%3D,"Rural Development and Panchayat Raj Department||Vellore,RD,TN||K.V.KUPPAM, VELLORE,RD,TN"
105,6,27-Sep-2025 05:30 PM,09-Oct-2025 03:00 PM,10-Oct-2025 03:30 PM,"[PROVIDING OUTDOOR SHUTTLE COURT , OPEN GYM APPARATUS AND OTHER FASILITY WORK TO THE THIRU NAGAR PARK AT THIRU NAGAR 20TH STREET IN DIV-95, UNIT-21, ZONE-8 (UNDER MLA FUND)]","[PROVIDING OUTDOOR SHUTTLE COURT , OPEN GYM APPARATUS AND OTHER FASILITY WORK TO THE THIRU NAGAR PARK AT THIRU NAGAR 20TH STREET IN DIV-95, UNIT-21, ZONE-8 (UNDER MLA FUND)]
																				[Z.O.VIII.C.NO.E1/7328/2025][2025_CoC_609738_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S6%2F8WXhUZX8aMi4sccVEEuQ%3D%3D,"Corporation of Chennai||Regional office Central ,CoC"
106,6,27-Sep-2025 05:30 PM,06-Oct-2025 03:00 PM,07-Oct-2025 04:00 PM,[Construction of Retaining Wall M.Kuppunapuram Burialground Road in Manur Panchayat],"[Construction of Retaining Wall M.Kuppunapuram Burialground Road in Manur Panchayat]
																				[A2/5647/2025][2025_RDTN_609715_5]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sy2HUpv6tb%2BSdY4FmkmrMwA%3D%3D,"Rural Development and Panchayat Raj Department||Tirunelveli,RD,TN||MANUR, TIRUNELVELI,RD,TN"
107,6,27-Sep-2025 05:25 PM,06-Oct-2025 03:00 PM,06-Oct-2025 04:00 PM,[VELLORE DISTRICT PROVIDING EXTENSION OF PIPE LINE KILALATHUR AD COLONY IN KILALATHUR PANCHAYAT KVKUPPAM BLOCK 15 CFC 2025-26 PACKAGE NO 03],"[VELLORE DISTRICT PROVIDING EXTENSION OF PIPE LINE KILALATHUR AD COLONY IN KILALATHUR PANCHAYAT KVKUPPAM BLOCK 15 CFC 2025-26 PACKAGE NO 03]
																				[A3/3000/2025 KVKM SEP 22-25][2025_RDTN_609757_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SryDzAtIfEF9p%2Fr%2FFzPWj2g%3D%3D,"Rural Development and Panchayat Raj Department||Vellore,RD,TN||K.V.KUPPAM, VELLORE,RD,TN"
108,6,27-Sep-2025 05:25 PM,30-Sep-2025 03:00 PM,30-Sep-2025 04:00 PM,[Vellore District Construction of  Kitchen Shed (Type-II) at  PUM School in Ananganallore Panchayat at Gudiyatham Block PRMGRST 2025-26 Package No 02],"[Vellore District Construction of  Kitchen Shed (Type-II) at  PUM School in Ananganallore Panchayat at Gudiyatham Block PRMGRST 2025-26 Package No 02]
																				[A5/3456/2025 GUD SEP 44-25][2025_RDTN_609761_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SNpWSWIhhFVZcRMTQDYQFCQ%3D%3D,"Rural Development and Panchayat Raj Department||Vellore,RD,TN||GUDIYATHAM - VP, VELLORE,RD,TN"
109,6,27-Sep-2025 05:20 PM,30-Sep-2025 03:00 PM,30-Sep-2025 04:00 PM,[Vellore District Construction of  Kitchen Shed (Type-II) at  PUM School in Erthangal Panchayat at Gudiyatham Block PRMGRST 2025-26 Package No 01],"[Vellore District Construction of  Kitchen Shed (Type-II) at  PUM School in Erthangal Panchayat at Gudiyatham Block PRMGRST 2025-26 Package No 01]
																				[A5/3456/2025 GUD SEP 44-25][2025_RDTN_609752_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sdt4T6yW0aLLHZcPv8kQVbg%3D%3D,"Rural Development and Panchayat Raj Department||Vellore,RD,TN||GUDIYATHAM - VP, VELLORE,RD,TN"
110,6,27-Sep-2025 05:15 PM,06-Oct-2025 03:00 PM,06-Oct-2025 04:00 PM,[VELLORE DISTRICT PROVIDING NEW PIPE LINE ARRANGEMENT AT PERIYANPATTI TO SEMMANKUTTAI IN MELMOIL PANCHAYAT KVKUPPAM BLOCK 15 CFC 2025-26 PACKAGE NO 02],"[VELLORE DISTRICT PROVIDING NEW PIPE LINE ARRANGEMENT AT PERIYANPATTI TO SEMMANKUTTAI IN MELMOIL PANCHAYAT KVKUPPAM BLOCK 15 CFC 2025-26 PACKAGE NO 02]
																				[A3/3000/2025 KVKM SEP 22-25][2025_RDTN_609750_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SIwLm5T1B5zDIXtJ3Qen2gw%3D%3D,"Rural Development and Panchayat Raj Department||Vellore,RD,TN||K.V.KUPPAM, VELLORE,RD,TN"
