S.No,Page No,e-Published Date,Closing Date,Opening Date,Title,TenderID,Link,Organisation Chain
1,1,27-Sep-2025 06:55 PM,20-Oct-2025 04:55 PM,22-Oct-2025 05:00 PM,[CONSTRUCTION OF NEW CC ROAD FROM SALBONA BIREN GHOSHS HOUSE TOWARDS AMAL SAHAS HOUSE MOUZASALBONA JL87],"[CONSTRUCTION OF NEW CC ROAD FROM SALBONA BIREN GHOSHS HOUSE TOWARDS AMAL SAHAS HOUSE MOUZASALBONA JL87]
																				[BDO/GZL/APAS- 16 (e) of 2025-26, Dated- 25.09.2025][2025_DMM_915632_28]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sh8vpbPJO5qf9L5iYJrK8ng%3D%3D,DISTRICT MAGISTRATE MALDA||SDO - SADAR||BDO - GAZOLE
2,1,27-Sep-2025 06:55 PM,20-Oct-2025 09:00 AM,22-Oct-2025 09:00 AM,[CONSTRUCTION OF PCC ROAD FROM NH TO THE PRADIP DEBNATHS HOUSE UNDER JOYHAT GP UNDER ITAHAR BLOCK],"[CONSTRUCTION OF PCC ROAD FROM NH TO THE PRADIP DEBNATHS HOUSE UNDER JOYHAT GP UNDER ITAHAR BLOCK]
																				[41/2025-26][2025_ZPHD_915217_5]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SpNjfQdHKewPOVscUsow3wQ%3D%3D,Zilla Parishad||Zilla Parishad||Uttar Dinajpur||ITAHAR
3,1,27-Sep-2025 06:55 PM,18-Oct-2025 01:00 PM,20-Oct-2025 02:00 PM,[03/25-26],"[03/25-26]
																				[NIT-03/25-26][2025_ZPHD_915148_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Se%2B7AkcIOPB8SCVEXyfv1yw%3D%3D,Zilla Parishad||Zilla Parishad||Birbhum||NANUR||KIRNAHAR-I
4,1,27-Sep-2025 06:55 PM,20-Oct-2025 04:55 PM,22-Oct-2025 05:00 PM,[Street Lighting 1. Boro Kardohil Jama Masjid 2. Choto Khardohil Jama Masjid 3. In front of Kar Dhohil Choto Masjid 4. Near Tetulpukur Masjid and 5. Near Parvej Alams house Mouza Khardohil JL73],"[Street Lighting 1. Boro Kardohil Jama Masjid 2. Choto Khardohil Jama Masjid 3. In front of Kar Dhohil Choto Masjid 4. Near Tetulpukur Masjid and 5. Near Parvej Alams house Mouza Khardohil JL73]
																				[BDO/GZL/APAS- 16 (e) of 2025-26, Dated- 25.09.2025][2025_DMM_915632_23]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SGtCABkfQJhzCcv3Gb%2BlOeQ%3D%3D,DISTRICT MAGISTRATE MALDA||SDO - SADAR||BDO - GAZOLE
5,1,27-Sep-2025 06:55 PM,29-Oct-2025 03:00 PM,31-Oct-2025 03:00 PM,"[NIT No- 589/PWD/ROAD/BMC , Dated-27/09/2025]","[NIT No- 589/PWD/ROAD/BMC , Dated-27/09/2025]
																				[NIT No-589/PWD/ROAD/BMC, Dated-27/09/2025][2025_MAD_915435_11]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SuQ2DUVkl7tfG1tHBAxLmrA%3D%3D,MUNICIPAL AFFAIRS DEPARTMENT||URBAN LOCAL BODIES||BIDHANNAGAR
6,1,27-Sep-2025 06:55 PM,20-Oct-2025 04:55 PM,22-Oct-2025 05:00 PM,[Repairing of Drain from Kardohil Madrasa to Fakirs house Mouza Khardohil JL73],"[Repairing of Drain from Kardohil Madrasa to Fakirs house Mouza Khardohil JL73]
																				[BDO/GZL/APAS- 16 (e) of 2025-26, Dated- 25.09.2025][2025_DMM_915632_26]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sm7ui%2FR66TkFUsSFcxHhkew%3D%3D,DISTRICT MAGISTRATE MALDA||SDO - SADAR||BDO - GAZOLE
7,1,27-Sep-2025 06:55 PM,20-Oct-2025 09:00 AM,22-Oct-2025 09:00 AM,[CONSTRUCTION OF PCC ROAD FROM MUSTAFA HOUSE TO MARSHAL UNDER JOYHAT GP UNDER ITAHAR BLOCK.],"[CONSTRUCTION OF PCC ROAD FROM MUSTAFA HOUSE TO MARSHAL UNDER JOYHAT GP UNDER ITAHAR BLOCK.]
																				[41/2025-26][2025_ZPHD_915217_15]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SR7IgS%2B6FA0wRMbgE7Cbb%2BA%3D%3D,Zilla Parishad||Zilla Parishad||Uttar Dinajpur||ITAHAR
8,1,27-Sep-2025 06:55 PM,18-Oct-2025 01:00 PM,25-Oct-2025 03:00 PM,"[NIT No- 584/PWD/ROAD/BMC , Dated- 26/09/2025]","[NIT No- 584/PWD/ROAD/BMC , Dated- 26/09/2025]
																				[NIT No- 584/PWD/ROAD/BMC, Dated- 26/09/2025][2025_MAD_915052_3]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S3O22QntdX3n874JJDmgEOQ%3D%3D,MUNICIPAL AFFAIRS DEPARTMENT||URBAN LOCAL BODIES||BIDHANNAGAR
9,1,27-Sep-2025 06:55 PM,18-Oct-2025 02:00 PM,25-Oct-2025 03:00 PM,"[NIT No- 583/PWD/ROAD/BMC , Dated- 26/09/2025]","[NIT No- 583/PWD/ROAD/BMC , Dated- 26/09/2025]
																				[NIT No- 583/PWD/ROAD/BMC, Dated- 26/09/2025][2025_MAD_915073_10]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=STiH88LRFIX8%2F8s9twoxBrQ%3D%3D,MUNICIPAL AFFAIRS DEPARTMENT||URBAN LOCAL BODIES||BIDHANNAGAR
10,1,27-Sep-2025 06:55 PM,20-Oct-2025 09:00 AM,22-Oct-2025 09:00 AM,[CONSTRUCTION OF PCC ROAD FROM SAKANI MORE TO SHOP OF JOYDEB UNDER JOYHAT GP UNDER ITAHAR BLOCK],"[CONSTRUCTION OF PCC ROAD FROM SAKANI MORE TO SHOP OF JOYDEB UNDER JOYHAT GP UNDER ITAHAR BLOCK]
																				[41/2025-26][2025_ZPHD_915217_11]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SXcdPpsDyhyi3EGhIGAy7PQ%3D%3D,Zilla Parishad||Zilla Parishad||Uttar Dinajpur||ITAHAR
