Serial Number,Tender ID,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_DHS_20043_1,[Supply of Dietary Articles for PHC TUGAPUR],23-Sep-2025 05:00 PM,Directorate of  Health Services||MS - Dr. RPH,30-Sep-2025 10:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S2zWAzU2TEqMUvFqyyJ7lAg%3D%3D
2,2025_AHVS_19830_1,[Repair and maintenance of departmental vehicle Mahindra Bolero Camper],04-Sep-2025 03:00 PM,Directorate of Animal Husbandry and Veterinary Services,15-Oct-2025 11:00 AM,https://eprocure.andamannicobar.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S6zYSwyvaACx3bIcgvMVNHg%3D%3D
3,2025_APWD_20044_1,"[R and M of water pumps under Sub Division-IV, CD, APWD, Diglipur during 2025-26 Sw- Supply of Batteries for operation of various engine driven water pumps]",23-Sep-2025 05:30 PM,Chief Engineer                      Andaman Public Works Department (APWD)||EE - CD - APWD - Diglipur,03-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SgXyOcz4wlv4UW03EeJT95g%3D%3D
4,2025_APWD_20084_1,"[Maintenance of IEI and EEI to NR Buildings of AH Department  Workshop Division, APWD   during 2024-25. Sw Supply of maintenance materials Section III of Sub Division II]",27-Sep-2025 03:00 PM,Chief Engineer                      Andaman Public Works Department (APWD)||EE (Workshop Division - APWD - Port Blair),09-Oct-2025 10:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SpXjN6QS%2BWlskqMF%2Fx6YSzA%3D%3D
5,2025_APWD_20013_1,"[Improvement of State Highway for a length of 4.00 km of different stretches from 0.00 km to 12.00 km under SD-III, CD, APWD, Diglipur. Sw- Supply of GI pipes and fittings]",22-Sep-2025 05:30 PM,Chief Engineer                      Andaman Public Works Department (APWD)||EE - CD - APWD - Diglipur,30-Sep-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S1hEl%2FkDso76rT9ZnFhdYmg%3D%3D
6,2025_APWD_19084_1,[Resurfacing and Improvement of road from South Point Masjid to Laxmi Narayan Temple 158.50 mtr],02-Jul-2025 04:00 PM,Chief Engineer                      Andaman Public Works Department (APWD)||EE  (SAD - APWD - Port Blair),09-Oct-2025 03:00 PM,https://eprocure.andamannicobar.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S8TLd%2BC%2FTstn4Y0idMpmgQQ%3D%3D
7,2025_DCFSL_19412_2,[Repair and Mainteanance of Ventilator of Japanese bunker at Chengappa Nagar Van under Silviculture Division Haddo],23-Sep-2025 10:40 AM,Department of Environment and Forests||Office of Deputy Conservator of Forests Silviculture,13-Oct-2025 06:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Seh1BgqXfGgpPbJ%2F6OWckZg%3D%3D
8,2025_APWD_20046_1,"[Improvement of rural road from Maintenance Section to Fish Market under SD-I, CD, APWD, Diglipur]",23-Sep-2025 05:30 PM,Chief Engineer                      Andaman Public Works Department (APWD)||EE - CD - APWD - Diglipur,03-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SccZ5UNZ3DmJllLLNvnIeyg%3D%3D
9,2025_AIMFL_19397_1,"[Development of 5-Star Eco-Tourism Resort at Long Island, ANI]",28-Jul-2025 10:00 AM,Andaman and Nicobar Islands Integrated Development Corporation Limited (ANIIDCO)||IMFL,06-Oct-2025 03:00 PM,https://eprocure.andamannicobar.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SDhCUTFU6cnbxsk%2B12sFz0A%3D%3D
10,2025_APWD_19781_1,"[Special Repair and Renovation of Room NO.103 (A) in Secretariat Main Building under SD-II,SVPSD, APWD, Sri Vijaya Puram]",02-Sep-2025 11:30 AM,Chief Engineer                      Andaman Public Works Department (APWD)||EE  (PBSD - APWD - Port Blair),10-Oct-2025 03:00 PM,https://eprocure.andamannicobar.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SSF%2FwJNqVBvBVQob3RtAuRg%3D%3D
