Serial Number,Tender ID,Page Number,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_SOVTE_20012_1,1,[TENDER FOR PROCUREMENT OF BACKUP AND RECOVERY SOLUTION ],20-Sep-2025 02:00 PM,Society for Promotion of Vocational and Technical Education (SOVTECH),14-Oct-2025 12:30 PM,https://eprocure.andamannicobar.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SVjjYqTl25v4I9uT3EgboWA%3D%3D
2,2025_APWD_19989_1,1,"[Acquisition of Stock under Store Division, APWD, Sri Vijaya Puram during 2025-26.]",18-Sep-2025 02:00 PM,Chief Engineer                      Andaman Public Works Department (APWD)||EE - Store Division - APWD - Port Blair,30-Sep-2025 10:00 AM,https://eprocure.andamannicobar.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SwNiZTI9iPIPmcSGw%2B4WxVQ%3D%3D
3,2025_APWD_19977_1,1,[2059 Suspense Stock SW Collection Handling and Transportation of None Electric Detonator and its accessories from Chennai Port to Sri Vijaya Puram Brookshabad],17-Sep-2025 12:00 PM,Chief Engineer                      Andaman Public Works Department (APWD)||EE  (SAD - APWD - Port Blair),08-Oct-2025 03:00 PM,https://eprocure.andamannicobar.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SzM3KrRtsKNh%2F%2B47m6ySaHg%3D%3D
4,2025_APWD_19962_1,1,"[ Renovation Modernization of existing District Library Building including painting of the exterior interior, IEI, EEI and providing Air Conditioners at Car Nicobar.]",15-Sep-2025 05:00 PM,Chief Engineer                      Andaman Public Works Department (APWD)||EE - CD - APWD - Car Nicobar,30-Sep-2025 03:00 PM,https://eprocure.andamannicobar.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S7mlTkDpKT54Fn1TPNbgwDw%3D%3D
5,2025_APWD_19897_1,1,"[Demolition and disposal of Old Boys Hostel Building at Middle Point, Port Blair (Without land)]",10-Sep-2025 10:00 AM,Chief Engineer                      Andaman Public Works Department (APWD)||EE (PBND - APWD - Port Blair),06-Oct-2025 03:00 PM,https://eprocure.andamannicobar.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S4oAA8%2FdkOkdGtOOrc5S9oQ%3D%3D
6,2025_AHVS_19830_1,1,[Repair and maintenance of departmental vehicle Mahindra Bolero Camper],04-Sep-2025 03:00 PM,Directorate of Animal Husbandry and Veterinary Services,15-Oct-2025 11:00 AM,https://eprocure.andamannicobar.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S6zYSwyvaACx3bIcgvMVNHg%3D%3D
7,2025_APWD_19781_1,1,"[Special Repair and Renovation of Room NO.103 (A) in Secretariat Main Building under SD-II,SVPSD, APWD, Sri Vijaya Puram]",02-Sep-2025 11:30 AM,Chief Engineer                      Andaman Public Works Department (APWD)||EE  (PBSD - APWD - Port Blair),10-Oct-2025 03:00 PM,https://eprocure.andamannicobar.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SSF%2FwJNqVBvBVQob3RtAuRg%3D%3D
8,2025_APWD_19771_1,1,"[Repair and Renovation of Gents Toilet Room at Division Office, SVPSD, Sri Vijaya Puram. Sub work - Civil Work]",02-Sep-2025 11:30 AM,Chief Engineer                      Andaman Public Works Department (APWD)||EE  (PBSD - APWD - Port Blair),10-Oct-2025 03:00 PM,https://eprocure.andamannicobar.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S0up1%2F11bJK9Wzluq7a1yGA%3D%3D
9,2025_APWD_19779_1,1,"[Tiles flooring at Garage and Outer Chequered Tiles and Other Works at Qtr No.G-58 under AE-II, SVPSD, Sri Vijaya Puram.]",02-Sep-2025 11:30 AM,Chief Engineer                      Andaman Public Works Department (APWD)||EE  (PBSD - APWD - Port Blair),10-Oct-2025 03:00 PM,https://eprocure.andamannicobar.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SLlxylI0uYyzNQEeuXfqamQ%3D%3D
10,2025_AIMFL_19395_1,1,"[Development of 5-Star Eco-Tourism Resort at Aves Island, ANI]",28-Jul-2025 10:00 AM,Andaman and Nicobar Islands Integrated Development Corporation Limited (ANIIDCO)||IMFL,06-Oct-2025 03:00 PM,https://eprocure.andamannicobar.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SWwGs6UlwWApA3xOW9X5tqQ%3D%3D
