Serial Number,Tender ID,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_DRDAP_2786_1,"[SUPPLY OF MATERIAL UNDER MGNREGA 2025-26, CD BLOCK CHAYANG TAJO]",25-Sep-2025 10:00 AM,RURAL DEVELOPMENT DEPARTMENT||DIRECTOR RURAL DEVELOPMENT GOVERNMENT OF ARUNACHAL PRADESH||PD EAST KAMENG,06-Oct-2025 11:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S6eq7zgK8FzgM0thDc3pCxw%3D%3D
2,2025_IMCAP_2783_1,"[1.Co Bore well, Bright Hill School at July Road, 2. Co 4. Nos Ring W ell at Various location under ward no.13 IMC, Naharlagun, 3. Co Ring well at residence of Shri. Puji Taguk Papu Nallah, Ward No. 13.]",24-Sep-2025 06:00 PM,Itanagar Muncipal Corporation Itanagar Arunachal Pradesh||Executive Engineer IMC (PT-II),30-Sep-2025 10:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SyNyp2f74mG8l15O1JpL6kw%3D%3D
3,2025_DHS_2709_1,[Establishment of a 100 seat Medical College and  augmentation of attached  100 bedded District  Hospital as per the NMC norms on PPP mode.],05-Sep-2025 12:00 PM,Directorate of Health Services||Department Of Health and Family Welfare,05-Nov-2025 03:00 PM,https://arunachaltenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SvXAr4ha3lxEAB4U2WLLgcw%3D%3D
4,2025_DRDAP_2784_1,[Supply of material under MGNREGA  2025-26 CD Block Bameng],25-Sep-2025 10:00 AM,RURAL DEVELOPMENT DEPARTMENT||DIRECTOR RURAL DEVELOPMENT GOVERNMENT OF ARUNACHAL PRADESH||PD EAST KAMENG,06-Oct-2025 11:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SsLsUflMhhCU3HNUJ3m3HzA%3D%3D
5,2025_APUDH_2792_1,"[Setting up of an organic Turmeric Processing unit cum packaging centre in New Lassum Patte, Dissing Passo Circle, Pakke Kessang District, Arunachal Pradesh]",26-Sep-2025 12:00 PM,Urban Development and Housing||CHIEF ENGINEER - Urban Development and Housing,03-Oct-2025 12:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SyQu9Wvrj5ja9n7uSEjg2Kw%3D%3D
6,2025_APUDH_2775_1,"[Construction of Permanent Campus at JNV, Shi Yomi, Arunachal Pradesh ]",18-Sep-2025 12:00 PM,Urban Development and Housing||CHIEF ENGINEER - Urban Development and Housing,13-Oct-2025 12:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SxraOYhEG0R0ghsaI1jL48A%3D%3D
7,2025_DHS_2710_1,"[Selection of PSU for Comprehensive service for setting up Mortuary Building at Pasighat, Daporijo. Tezu, Tawang and Shi Yomi locations in the state of Arunachal Pradesh]",05-Sep-2025 01:00 PM,Directorate of Health Services||Department Of Health and Family Welfare,08-Oct-2025 12:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SmlOKbSf0Ve4N5jUiMLv%2BBA%3D%3D
8,2025_DOP_2659_1,[Transaction advisory services for restructuring of various power utilities towards Public Private Partnership model],07-Aug-2025 10:00 AM,Department of Power||Transmission Planning and Monitoring Zone-DOP||Transmission Circle-Itanagar-DOP,23-Oct-2025 11:00 AM,https://arunachaltenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SqnNZ%2F43FiGflhVWY25ZxcA%3D%3D
9,2025_APUDH_2776_1,"[Construction of Permanent Campus at JNV, Siang, Arunachal Pradesh]",18-Sep-2025 12:00 PM,Urban Development and Housing||CHIEF ENGINEER - Urban Development and Housing,13-Oct-2025 12:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sn3GDR6qXGh7NGtMTRYVjzQ%3D%3D
10,2025_DRDAP_2790_1,[ Supply of material  under MGNREGA  2025-26 under CD Block Sawa],25-Sep-2025 10:00 AM,RURAL DEVELOPMENT DEPARTMENT||DIRECTOR RURAL DEVELOPMENT GOVERNMENT OF ARUNACHAL PRADESH||PD EAST KAMENG,06-Oct-2025 11:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S0xZPMgfjLvNhzYf%2BDzc5Zw%3D%3D
11,2025_APUDH_2781_1,"[Removal of Legacy Waste through Bioremediation and Bio-Mining Process to Reclaim the Existing Dump Yard situated at 6th Mile Bomdila on Design, Building, Finance, Own and Operate Model]",24-Sep-2025 12:00 PM,Urban Development and Housing||CHIEF ENGINEER - Urban Development and Housing,01-Oct-2025 12:00 PM,https://arunachaltenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SNyyNIwzaoswbG52YvgdyxQ%3D%3D
12,2025_CEO_2655_2,[Printing and Supply of personalized colour PVC Electors Photo Identity Card (EPIC) with hot stamping of hologram and printing of Voter Manual Kit including Envelop],18-Sep-2025 10:00 AM,Office of the Chief Electoral Officer,06-Oct-2025 04:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S66G0UBkmEUQ7HUgCdARxjg%3D%3D
13,2025_APUDH_2778_1,"[Design, Build, Construct and Commission of Sewage Treatment Plant (STP) along with Co-treatment of Faecal sludge-septage with 5 years of Operation and Maintenance in Jairampur towns of Arunachal Pradesh]",22-Sep-2025 12:00 PM,Urban Development and Housing||CHIEF ENGINEER - Urban Development and Housing,06-Oct-2025 12:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SUhRiJerpKhWfwVtf1uAc%2FQ%3D%3D
14,2025_APUDH_2782_1,"[Removal of Legacy Waste through Bioremediation and Bio-Mining Process to Reclaim the Existing Dump Yard situated near Khonpathar, Dirang on Design, Building, Finance, Own and Operate Model]",24-Sep-2025 12:00 PM,Urban Development and Housing||CHIEF ENGINEER - Urban Development and Housing,01-Oct-2025 12:00 PM,https://arunachaltenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SIur8HRqQFnreTHlWm5jHkA%3D%3D
15,2025_APUDH_2777_1,"[Design, Build, Construct and Commission of Sewage Treatment Plant along with Co-treatment of Faecal sludge-septage with 5 years of Operation and Maintenance in Namsai ULB of Arunachal Pradesh]",19-Sep-2025 12:00 PM,Urban Development and Housing||CHIEF ENGINEER - Urban Development and Housing,03-Oct-2025 12:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SheBmqsxaM03WYa4MEzcdTQ%3D%3D
16,2025_DRDAP_2789_1,[ Supply of material  under MGNREGA  2025-26 CD Block Pipu],25-Sep-2025 10:00 AM,RURAL DEVELOPMENT DEPARTMENT||DIRECTOR RURAL DEVELOPMENT GOVERNMENT OF ARUNACHAL PRADESH||PD EAST KAMENG,06-Oct-2025 11:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sv2EBXXkKjc5%2BPTII8%2Bndsg%3D%3D
17,2025_DRDAP_2788_1,[Supply of material  under MGNREGA  2025-26 CD Block Lada.],25-Sep-2025 10:00 AM,RURAL DEVELOPMENT DEPARTMENT||DIRECTOR RURAL DEVELOPMENT GOVERNMENT OF ARUNACHAL PRADESH||PD EAST KAMENG,06-Oct-2025 11:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Szf1wtjdYhAOkZxNtOwVJAA%3D%3D
