S.No,Page No,e-Published Date,Closing Date,Opening Date,Title,TenderID,Link,Organisation Chain
1,1,26-Sep-2025 12:00 PM,03-Oct-2025 12:00 PM,03-Oct-2025 02:30 PM,"[Setting up of an organic Turmeric Processing unit cum packaging centre in New Lassum Patte, Dissing Passo Circle, Pakke Kessang District, Arunachal Pradesh]","[Setting up of an organic Turmeric Processing unit cum packaging centre in New Lassum Patte, Dissing Passo Circle, Pakke Kessang District, Arunachal Pradesh]
																				[EE/UDH/LEMMI/NEC/67/2025-26][2025_APUDH_2792_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SyQu9Wvrj5ja9n7uSEjg2Kw%3D%3D,Urban Development and Housing||CHIEF ENGINEER - Urban Development and Housing
2,1,25-Sep-2025 10:00 AM,06-Oct-2025 11:00 AM,06-Oct-2025 02:00 PM,[ Supply of material  under MGNREGA  2025-26 CD Block Pipu],"[ Supply of material  under MGNREGA  2025-26 CD Block Pipu]
																				[DRD/SPA/MGNREGA/NIT-0 1/2025-26/6][2025_DRDAP_2789_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sv2EBXXkKjc5%2BPTII8%2Bndsg%3D%3D,RURAL DEVELOPMENT DEPARTMENT||DIRECTOR RURAL DEVELOPMENT GOVERNMENT OF ARUNACHAL PRADESH||PD EAST KAMENG
3,1,25-Sep-2025 10:00 AM,06-Oct-2025 11:00 AM,06-Oct-2025 02:00 PM,[Supply of material  under MGNREGA  2025-26 CD Block Lada.],"[Supply of material  under MGNREGA  2025-26 CD Block Lada.]
																				[DRD/SPA/MGNREGA/NIT-0 1/2025-26/5][2025_DRDAP_2788_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Szf1wtjdYhAOkZxNtOwVJAA%3D%3D,RURAL DEVELOPMENT DEPARTMENT||DIRECTOR RURAL DEVELOPMENT GOVERNMENT OF ARUNACHAL PRADESH||PD EAST KAMENG
4,1,25-Sep-2025 10:00 AM,06-Oct-2025 11:00 AM,06-Oct-2025 02:00 PM,[ Supply of material  under MGNREGA  2025-26 under CD Block Sawa],"[ Supply of material  under MGNREGA  2025-26 under CD Block Sawa]
																				[DRD/SPA/MGNREGA/NIT-0 1/2025-26/7][2025_DRDAP_2790_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S0xZPMgfjLvNhzYf%2BDzc5Zw%3D%3D,RURAL DEVELOPMENT DEPARTMENT||DIRECTOR RURAL DEVELOPMENT GOVERNMENT OF ARUNACHAL PRADESH||PD EAST KAMENG
5,1,25-Sep-2025 10:00 AM,06-Oct-2025 11:00 AM,06-Oct-2025 02:00 PM,[ Supply of material under MGNREGA 2025-26 under CD Block Seppa.],"[ Supply of material under MGNREGA 2025-26 under CD Block Seppa.]
																				[DRD/SPA/MGNREGA/NIT-0 1/2025-26/8][2025_DRDAP_2791_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SIPNnBnHZYbOzvJlnLQUdCA%3D%3D,RURAL DEVELOPMENT DEPARTMENT||DIRECTOR RURAL DEVELOPMENT GOVERNMENT OF ARUNACHAL PRADESH||PD EAST KAMENG
6,1,25-Sep-2025 10:00 AM,06-Oct-2025 11:00 AM,06-Oct-2025 02:00 PM,[Supply of material under MGNREGA  2025-26 CD Block Bameng],"[Supply of material under MGNREGA  2025-26 CD Block Bameng]
																				[RD/SPA/MGNREGA/NIT-1/2025-26/I][2025_DRDAP_2784_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SsLsUflMhhCU3HNUJ3m3HzA%3D%3D,RURAL DEVELOPMENT DEPARTMENT||DIRECTOR RURAL DEVELOPMENT GOVERNMENT OF ARUNACHAL PRADESH||PD EAST KAMENG
7,1,25-Sep-2025 10:00 AM,06-Oct-2025 11:00 AM,06-Oct-2025 02:00 PM,[Supply of material  under MGNREGA  2025-26 CD Block Bana],"[Supply of material  under MGNREGA  2025-26 CD Block Bana]
																				[RD/SPA/MGNREGA/NIT-1/2025-26/2][2025_DRDAP_2785_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SjmTsY%2Fy9e9thGrCQoTOQZw%3D%3D,RURAL DEVELOPMENT DEPARTMENT||DIRECTOR RURAL DEVELOPMENT GOVERNMENT OF ARUNACHAL PRADESH||PD EAST KAMENG
8,1,25-Sep-2025 10:00 AM,06-Oct-2025 11:00 AM,06-Oct-2025 02:00 PM,"[SUPPLY OF MATERIAL UNDER MGNREGA 2025-26, CD BLOCK CHAYANG TAJO]","[SUPPLY OF MATERIAL UNDER MGNREGA 2025-26, CD BLOCK CHAYANG TAJO]
																				[RD/SPA/MGNREGA/NIT-1/2025-26/3][2025_DRDAP_2786_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S6eq7zgK8FzgM0thDc3pCxw%3D%3D,RURAL DEVELOPMENT DEPARTMENT||DIRECTOR RURAL DEVELOPMENT GOVERNMENT OF ARUNACHAL PRADESH||PD EAST KAMENG
9,1,25-Sep-2025 10:00 AM,06-Oct-2025 11:00 AM,06-Oct-2025 02:00 PM,[SUPPLY OF MATERIAL UNDER MGNREGA 2025-26 CD BLOCK KHENEWA],"[SUPPLY OF MATERIAL UNDER MGNREGA 2025-26 CD BLOCK KHENEWA]
																				[DRD/SPA/MGNREGA/NIT-0 1/2025-26/4][2025_DRDAP_2787_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SHEvHkJYH6YAbThZ0CfOejg%3D%3D,RURAL DEVELOPMENT DEPARTMENT||DIRECTOR RURAL DEVELOPMENT GOVERNMENT OF ARUNACHAL PRADESH||PD EAST KAMENG
10,1,24-Sep-2025 06:00 PM,30-Sep-2025 10:00 AM,30-Sep-2025 11:00 AM,"[1.Co Bore well, Bright Hill School at July Road, 2. Co 4. Nos Ring W ell at Various location under ward no.13 IMC, Naharlagun, 3. Co Ring well at residence of Shri. Puji Taguk Papu Nallah, Ward No. 13.]","[1.Co Bore well, Bright Hill School at July Road, 2. Co 4. Nos Ring W ell at Various location under ward no.13 IMC, Naharlagun, 3. Co Ring well at residence of Shri. Puji Taguk Papu Nallah, Ward No. 13.]
																				[IMC/MEEPtII/XVFC/NIT1/202526/4][2025_IMCAP_2783_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SyNyp2f74mG8l15O1JpL6kw%3D%3D,Itanagar Muncipal Corporation Itanagar Arunachal Pradesh||Executive Engineer IMC (PT-II)
