Serial Number,Tender ID,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_SEEDE_47412_1,[Equipment for Drone Lab],10-Sep-2025 11:30 AM,Skill Employment and Entrepreneurship Department- Externally Aided Project||Assam Skill University Project- ADB Funded Tenders,07-Oct-2025 02:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=ShOaRWRlnHsB%2F%2FriyNnRnDw%3D%3D
2,2025_UDD_47283_1,[Convention Hall],05-Sep-2025 01:00 PM,Urban Development Department||Directorate of Municipality Administration - UDD||Morigaon Municipal Board,06-Oct-2025 02:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SNj0rnz0QJ%2Fn02u4jmHG%2FjA%3D%3D
3,2025_PWHE_47119_1,[Construction of Class Rooms under Assam School Education and Adolescent Well-Being Project (ASAP) under Haflong TBD for i. J.B. Hagjer Memorial High School ii. Thaijuwari High School iii. Dittock Cherra H.S. iv. Simtuiluong High School v. Sangbar Hig],30-Aug-2025 04:30 PM,Public Works Health and Education Department-Externally Aided Project||Public Works Health and Education Department-WB,06-Oct-2025 04:30 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S9KHy%2FsbhVyk1tQNHoHZLwQ%3D%3D
4,2025_GMC_47287_18,[Construction of Community Hall under Ward No-60],06-Sep-2025 01:00 PM,Guwahati Municipal Corporation,07-Oct-2025 02:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sr1oGiWelysgcvH47j%2F6BgQ%3D%3D
5,2025_PWD_47085_46,"[MMPPNA_RIDF_XXXI_25_26_479 Improvement of (i) L.K. road to L.K. road at Ishabeel Jungle line via Somshanghat, (ii) Longai Te zero mile ton Chipacherra Chakma basti at Ward no-06, (iii) P.K. road to Khilorbond under Mukhya Mantrir Paki Path Nirman Ach]",02-Sep-2025 06:00 PM,Public Works Roads Department,07-Oct-2025 02:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SzY1qsXmjqg3jmB8pd7uUSg%3D%3D
6,2025_AUIIP_44636_1,[SOUTH EAST GUWAHATI WATER SUPPLY PROJECT],30-May-2025 01:00 PM,Assam Urban Infrastructure Investment Program,07-Oct-2025 02:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SGuRF%2B%2BL1Is8fjrYtlijG5g%3D%3D
7,2025_DoWR_47405_1,"[Construction of New Embankment at RB of Dhansiri river from kopati to Shyampur, Package 1.]",09-Sep-2025 06:55 PM,Department of Water Resources||Chief Engineer - DoWR,04-Oct-2025 02:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S5mS46q3orEMLVnEK1iVfGw%3D%3D
8,2025_APDCL_47597_1,[Supply and installation of 9 unit and 13 unit indoor type VCB Panels at various 33/11 KV DSS],19-Sep-2025 10:00 AM,Assam Power Distribution Company Ltd||CGM(D) Upper Assam Region - APDCL,15-Oct-2025 12:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S578%2BA%2B5c3o%2FAa66ZIre4SA%3D%3D
9,2025_DOT_47723_1,"[Development, Operation and Management Contract for running the Wayside Amenity Centre at Dhekiajuli, Sonitpur]",26-Sep-2025 04:00 PM,Department of Tourism||Assam Tourism Development Corporation Ltd. - DOT||HO-Guwahati-ATDCL - DOT,10-Oct-2025 02:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=STdB7dkJxiZaUbWSC2Mrnlw%3D%3D
10,2025_DAASC_46353_1,[Development of Oil Palm Cultivation and Processing in the State of Assam under NMEO_OP],13-Aug-2025 03:00 PM,Directorate of Agriculture and Assam Seed Corporation,03-Oct-2025 05:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SD5NsrrE%2BNoi%2FiVlAKWJMhg%3D%3D
