Serial Number,Tender ID,Page Number,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_APDCL_47666_1,1,[Construction Dismantling and renovation of 33 kv Geleky Feeder],23-Sep-2025 05:00 PM,Assam Power Distribution Company Ltd||CGM(D) Upper Assam Region - APDCL,16-Oct-2025 02:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sc7KcsUgVDKgabWqVYy0LRg%3D%3D
2,2025_APDCL_47658_1,1,[Construction of New 11kV Line DTR SS alongwith dismantling and reconductoring of 11kV line],22-Sep-2025 05:00 PM,Assam Power Distribution Company Ltd||CGM(PP and D) - APDCL,03-Oct-2025 12:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sye7lPnThV8OsKmNVeZ%2BkDw%3D%3D
3,2025_PWBNH_47633_1,1,"[Infrastructure Development Works of Laokhowa High School, Nagaon]",20-Sep-2025 05:00 PM,Public Works Building and NH Department||Chief Engineer-Building - PWBNH,06-Oct-2025 02:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SYje6LXG1U0SzWRr%2BCUPAeA%3D%3D
4,2025_APDCL_47597_1,1,[Supply and installation of 9 unit and 13 unit indoor type VCB Panels at various 33/11 KV DSS],19-Sep-2025 10:00 AM,Assam Power Distribution Company Ltd||CGM(D) Upper Assam Region - APDCL,15-Oct-2025 12:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S578%2BA%2B5c3o%2FAa66ZIre4SA%3D%3D
5,2025_PWD_47585_8,1,[ASOM_MALA_3.0_25_26_13 Improvement and Upgradation of Road From Kakopather at NH-15 to Dangori at NH-115 via Boralli Gaon Under Sadiya LAC From Ch 0.00(Kakopather) to Ch 10.00(Lokhrong Gaon) under Asom Mala 3.0 for the year of 2025-26],18-Sep-2025 06:50 PM,Public Works Roads Department,07-Oct-2025 02:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SdtpFioAi9LFhUT9VTA4NHg%3D%3D
6,2025_PWD_47585_6,1,[ASOM_MALA_3.0_25_26_12 Improvement and Upgradation of Road From SKF Point(Tinsukia Town ) to Madhubon Tinali Road via Deohal Tinali From Ch-4.400K.m(Chototingrai) to Ch-14.400(Bordubi) under Asom Mala 3.0 for the year of 2025-26 ],18-Sep-2025 06:30 PM,Public Works Roads Department,07-Oct-2025 02:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SJOhaAtY2UXTxiQTtKBgT6A%3D%3D
7,2025_HFWD_47588_1,1,"[Supply of Equipments Media and Consumablesfor Embryology Laboratory at GMCH IVF Centre and IUI, HMS, GMCH, Guwahati, Assam]",18-Sep-2025 06:00 PM,Health and Family Welfare Department||Directorate of Medical Education-HFWD||Guwahati Medical College Hospital-HFWD,10-Oct-2025 02:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SsvNuYPNTYipAJQWt4XANVQ%3D%3D
8,2025_APDCL_47545_1,1,"[Electrification of Borong Krishnapur for electrification of the villages (Mecheki Chapori) of Jonai under N. Lakhimpur Elect. Circle, APDCL]",17-Sep-2025 03:00 PM,Assam Power Distribution Company Ltd||CGM(Rural Electrification) - APDCL,09-Oct-2025 12:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SxeJlcWfLKhvU1BL6Ms1tGg%3D%3D
9,2025_APDCL_47565_1,1,"[Selection of System Integrator for Supply, installation, commissioning, ATS and FMS support for Network Analysis Software at APDCL]",17-Sep-2025 03:00 PM,Assam Power Distribution Company Ltd||CGM(PP and D) - APDCL,03-Nov-2025 05:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SJrunGzcLjyPz56LPdMlCWw%3D%3D
10,2025_TDEP_47562_1,1,[Renovation and Refurbishment work of CIVIL PHE Electrical HVAC and allied works in existing IWT office building at Ulubari Guwahati 7 to be transferred to AIWCL],17-Sep-2025 02:00 PM,Transport Department- Externally Funded Projects||Assam Inland Water Transport Development Society- World Bank Tenders,15-Oct-2025 02:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=StYFZ%2B5xg4kpmhnwchWjaMg%3D%3D
11,2025_ID_47531_1,1,[INSTALLATION OF SOLAR SHALLOW TUBE WELL SCHEME AT TITABAR LAC OF JORHAT DISTRICT (4 POINTS) UNDER SOPD-G FOR THE YEAR 2025-26],16-Sep-2025 10:00 AM,Irrigation Department||Chief Engineer(Major)-Irrigation Dept||Jorhat Circle||Titabar Mariani Division,07-Oct-2025 12:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sg%2BWeY5M6Z%2BEeWzvOdJIqOw%3D%3D
12,2025_HFWD_47511_1,1,[Installation and Commissioning of CCTV ],15-Sep-2025 04:30 PM,Health and Family Welfare Department||Directorate of Medical Education-HFWD||Assam Medical College Hospital-Dibrugarh-HFWD,13-Oct-2025 01:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SJ95Gb94BWNioU%2Bmx2q1Cag%3D%3D
13,2025_PWBNH_47466_1,1,"[Construction of Museum and Convention Centre of Sonowal Kachari Community at Nigam Panch Ali, Tinthengia, Dibrugarh, Assam Ph-I]",12-Sep-2025 02:00 PM,Public Works Building and NH Department||Chief Engineer-Building - PWBNH,04-Oct-2025 02:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Szva%2FKJK1bvanU3uf7pyI%2Fw%3D%3D
14,2025_PWBNH_47481_1,1,[Construction of E Lab attached with main Building of ITI Nalbari Assam],11-Sep-2025 05:30 PM,Public Works Building and NH Department||Chief Engineer-Building - PWBNH||SE-Nalbari Building Circle PWBNH||Nalbari District Teritorial Building Division,03-Oct-2025 02:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S9iwOcZLeVWvMsAfcil0qdQ%3D%3D
15,2025_APDCL_47472_1,1,[Construction of 33kV Dedicated Feeder from 220 kV Salakati GSS to HPCL Project at Kamardanga under Basugaon ESD under Deposit Work Scheme on Full Turnkey Mode.],11-Sep-2025 04:00 PM,Assam Power Distribution Company Ltd||CGM(D) Lower Assam Region - APDCL,09-Oct-2025 04:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SxOBD1SovL94PWSMBwtxtwg%3D%3D
16,2025_HFWD_47468_1,1,"[supply of medicines and consumables etc for the department of O and G CS and Normal Delivery and Pediatrics NICU and PICU GMCH, Guwahati 32  ]",11-Sep-2025 04:00 PM,Health and Family Welfare Department||Directorate of Medical Education-HFWD||Guwahati Medical College Hospital-HFWD,06-Oct-2025 02:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SFsVR9AyySCWZhA%2FOBJ6MTA%3D%3D
17,2025_PWBNH_47469_1,1,[Repairing and Renovation works at Girls Hostel of Nalbari Polytechnic Painting works interior and exterior providing doors frame and doors panel and floor tiles work etc],11-Sep-2025 03:00 PM,Public Works Building and NH Department||Chief Engineer-Building - PWBNH||SE-Nalbari Building Circle PWBNH||Nalbari District Teritorial Building Division,03-Oct-2025 02:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SazqFKde37bB45l4yvksSYA%3D%3D
18,2025_DoWR_47452_1,1,"[Supply, Installation and Commissioning of USB Type External Solid State Drives (SSDs)]",10-Sep-2025 06:55 PM,Department of Water Resources||Chief Engineer - DoWR,04-Oct-2025 03:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SUEWW3nzdU4EZXGun9cErxg%3D%3D
19,2025_APDCL_47431_1,1,[Renovation of Tezpur Town DSS],10-Sep-2025 05:00 PM,Assam Power Distribution Company Ltd||CGM(PP and D) - APDCL,04-Oct-2025 12:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SgzQ2wtO003Qs9BZ5wVSUMw%3D%3D
20,2025_ACCF_47429_1,1,[ACCF/UtilityBlock/25-26/110],10-Sep-2025 03:00 PM,ASSAM CANCER CARE FOUNDATION,07-Oct-2025 03:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SjNSmvIpo0cSszuOk8FJ2ZA%3D%3D
