S.No,Page No,e-Published Date,Closing Date,Opening Date,Title,TenderID,Link,Organisation Chain
1,1,29-Sep-2025 11:00 AM,09-Oct-2025 12:00 PM,10-Oct-2025 11:00 AM,[Improvement of Road from NH 15 Bilotia Gaon to Morhani Gaon (CH.1300.00M to CH.3200M) including construction of one 3x3 Box Cell Culvert and repairing of one SPT Bridge under SOPD-G for the year 2025-26 of District Biswanath (72 No. Gohpur LAC)],"[Improvement of Road from NH 15 Bilotia Gaon to Morhani Gaon (CH.1300.00M to CH.3200M) including construction of one 3x3 Box Cell Culvert and repairing of one SPT Bridge under SOPD-G for the year 2025-26 of District Biswanath (72 No. Gohpur LAC)]
																				[SBRC/GOH/2025-26][2025_PWD_47743_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SFNDZumpErxTVDLrAZbt2AA%3D%3D,Public Works Roads Department
2,1,29-Sep-2025 10:00 AM,17-Oct-2025 02:00 PM,17-Oct-2025 04:00 PM,[Long Term Leasing out of existing Inland Water Commercial Vessels under AIWCL],"[Long Term Leasing out of existing Inland Water Commercial Vessels under AIWCL]
																				[AIWCL/03/2023/Pt-I/03 PT KUSHAL KONWAR][2025_TDA_47749_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SXFrlVRfGMhPssrqqGT31GA%3D%3D,Transport Department||Assam Inland Waterways Company Limited
3,1,29-Sep-2025 10:00 AM,17-Oct-2025 02:00 PM,17-Dec-2025 04:00 PM,[Long Term Leasing out of existing Inland Water Commercial Vessel PT BISHNURABHA],"[Long Term Leasing out of existing Inland Water Commercial Vessel PT BISHNURABHA]
																				[No.AIWCL/03/2023/Pt-I/03 PT BISHNU RABHA][2025_TDA_47751_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S7YuI6ixBcg3Qf09OZrDMpA%3D%3D,Transport Department||Assam Inland Waterways Company Limited
4,1,29-Sep-2025 10:00 AM,17-Oct-2025 02:00 PM,17-Oct-2025 04:00 PM,[Long Term Leasing out of existing Inland Water Commercial Vessels PT Maniram Dewan],"[Long Term Leasing out of existing Inland Water Commercial Vessels PT Maniram Dewan]
																				[AIWCL/03/2023/Pt-I/03 PT MANIRAM DEWAN][2025_TDA_47750_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SRhyM0QpZIUWdujfltXk9hQ%3D%3D,Transport Department||Assam Inland Waterways Company Limited
5,1,29-Sep-2025 09:00 AM,17-Oct-2025 02:00 PM,17-Oct-2025 04:00 PM,[Long Term Leasing out of existing Inland Water Commercial Vessel TF JOYSAGAR],"[Long Term Leasing out of existing Inland Water Commercial Vessel TF JOYSAGAR]
																				[AIWCL/03/2023/Pt-I/03 TF JOYSAGAR][2025_TDA_47761_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SIJWjFZWHUN8I6MkMOOY2kw%3D%3D,Transport Department||Assam Inland Waterways Company Limited
6,1,29-Sep-2025 09:00 AM,17-Oct-2025 02:00 PM,17-Oct-2025 04:00 PM,[Long Term Leasing out of existing Inland Water Commercial Vessel PT NARAKASUR],"[Long Term Leasing out of existing Inland Water Commercial Vessel PT NARAKASUR]
																				[AIWCL/03/2023/Pt-I/03 PT NARAKASUR][2025_TDA_47755_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S5vWObINKSTYPp%2B8PRCqOhg%3D%3D,Transport Department||Assam Inland Waterways Company Limited
7,1,29-Sep-2025 09:00 AM,17-Oct-2025 02:00 PM,17-Oct-2025 04:00 PM,[Long Term Leasing out of existing Inland Water Commercial Vessel PT GADAPANI],"[Long Term Leasing out of existing Inland Water Commercial Vessel PT GADAPANI]
																				[AIWCL/03/2023/Pt-I/03 PT GADAPANI][2025_TDA_47752_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S%2F98hgzG7WwHtiyk%2FZ4bjDA%3D%3D,Transport Department||Assam Inland Waterways Company Limited
8,1,29-Sep-2025 09:00 AM,17-Oct-2025 02:00 PM,17-Oct-2025 04:00 PM,[Long Term Leasing out of existing Inland Water Commercial Vessel PT GHATOTKOCH],"[Long Term Leasing out of existing Inland Water Commercial Vessel PT GHATOTKOCH]
																				[No.AIWCL/03/2023/Pt-I/03 PT GHATOTKOCH.][2025_TDA_47753_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SRhhUFwv7p4u3o0KlGyGo%2BQ%3D%3D,Transport Department||Assam Inland Waterways Company Limited
9,1,29-Sep-2025 09:00 AM,17-Oct-2025 02:00 PM,17-Oct-2025 04:00 PM,[Long Term Leasing out of existing Inland Water Commercial Vessel DLB JONBIRI],"[Long Term Leasing out of existing Inland Water Commercial Vessel DLB JONBIRI]
																				[AIWCL/03/2023/Pt-I/03 DLB JONBIRI][2025_TDA_47757_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sc%2BkQsKZwXfwA1RLopSLI2w%3D%3D,Transport Department||Assam Inland Waterways Company Limited
10,1,29-Sep-2025 09:00 AM,10-Oct-2025 02:00 PM,10-Oct-2025 04:00 PM,[REPAIRING WORKS FOR INLAND VESSELS HLB JONBIRI HLB BIDYAWATI PT GADAPANI PT GHATOTKOCH],"[REPAIRING WORKS FOR INLAND VESSELS HLB JONBIRI HLB BIDYAWATI PT GADAPANI PT GHATOTKOCH]
																				[AIWCL/89/2025/15][2025_TDA_47747_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SPLxEWkRUyL%2BGzlN6cre%2FJg%3D%3D,Transport Department||Assam Inland Waterways Company Limited
