Serial Number,Tender ID,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_BHEL_53165_1,[BUSCH MAKE ROOTS VACUUM PUMP MODEL PANDA WV 4500 B],25-Sep-2025 02:00 PM,Bharat Heavy Electricals Limited||HEP - Bhopal||Transformer Capacitor Bushings,06-Oct-2025 02:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SACCK%2BNt%2FUN8mQIPzhjgXLA%3D%3D
2,2025_BHEL_53172_1,[Rectification work of Boiler Foundation ],25-Sep-2025 03:40 PM,Bharat Heavy Electricals Limited||PSER||Subcontracts||SCT||SCT,30-Sep-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SZZVxRVJZ0ZA9LWkbQ5NZUA%3D%3D
3,2025_BHEL_52344_1,"[Supply, installation, testing, commissioning and maintenance of CCTV system for a period of 5 years on Financial Lease (Rental and Guarantee) followed by CAMC for 2 years (6th and 7th Year) basis in BHEL BAP Ranipet]",30-Aug-2025 10:00 AM,Bharat Heavy Electricals Limited||BAP - Ranipet||Purchase,04-Oct-2025 10:00 AM,https://eprocurebhel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SXeS3P8%2FKUV22XGfZEEjHhw%3D%3D
4,2025_BHEL_52923_1,"[2506097-Procurement of Mobile Storage Compactor including Supply and Installation at 210MW Khaparkheda Unit-1 and 4, Maharashtra on F.O.R. Destination Basis]",19-Sep-2025 10:00 AM,Bharat Heavy Electricals Limited||PSWR||Purchase||PUR||PUR,06-Oct-2025 01:00 PM,https://eprocurebhel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S0KU%2FIjquLIRoIIih3JWL%2FA%3D%3D
5,2025_BHEL_52954_1,[SUPPLY OF LEVEL  TRANSMITTER(GUIDED WAVE RADAR)],18-Sep-2025 04:00 PM,Bharat Heavy Electricals Limited||HPEP - Hyderabad,07-Oct-2025 06:00 PM,https://eprocurebhel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SN4JbPGB%2FOyuMKsCeY1Th4g%3D%3D
6,2025_BHEL_53062_1,[MACHINING OF AIR COOLER TUBE PLATES],22-Sep-2025 03:40 PM,Bharat Heavy Electricals Limited||HPEP - Hyderabad,03-Oct-2025 11:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SNwLDUzDXhQVguP2bOgpReA%3D%3D
7,2025_BHEL_53307_1,[E-19250087],29-Sep-2025 03:00 PM,"Bharat Heavy Electricals Limited||TP-Jhansi||TRANSFORMER,WEX -  MOD.||Transformer Material Management||26 - Mechanical Components",10-Oct-2025 01:15 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S6XRPQc5BRc0C0zE6ZDHxgg%3D%3D
8,2025_BHEL_53071_1,[HP OUTER CASING EXHAUST END],22-Sep-2025 06:00 PM,Bharat Heavy Electricals Limited||HEEP-Haridwar||AIX-Turbine,03-Oct-2025 01:45 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SmADKg%2Furl5P%2B3axRG3X%2Few%3D%3D
9,2025_BHEL_52699_1,[R0AYX00002],11-Sep-2025 12:00 PM,Bharat Heavy Electricals Limited||HPEP - Hyderabad||Switch Gear||Common Section,07-Oct-2025 02:00 PM,https://eprocurebhel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SPxhllMIWi5Wsh7b3OAJOHw%3D%3D
10,2025_BHEL_52423_1,[Supply of seamless pipes UNS N07740 ],02-Sep-2025 01:00 PM,Bharat Heavy Electricals Limited||BHEL Trichy||MM/RM,08-Oct-2025 11:00 AM,https://eprocurebhel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SbuO%2Fb7gd6%2FC2nflPSq2X8Q%3D%3D
