Serial Number,Tender ID,Page Number,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_BHEL_53275_1,1,[E5553037- RATE CONTRACT FOR SUPPLY OF FAN ASSY (FULL FINISHED) FOR AG3101 and AG2702],29-Sep-2025 09:00 AM,Bharat Heavy Electricals Limited||HEP - Bhopal||Transportation||354 - Material MGT-Tract. Machines,09-Oct-2025 02:00 PM,https://eprocurebhel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S5TiGicASuaAmj3y9ORcQJw%3D%3D
2,2025_BHEL_53233_1,1,[F9AYS00092-Machining of Bearing Box MDG455],27-Sep-2025 11:15 AM,Bharat Heavy Electricals Limited||HPEP - Hyderabad,30-Sep-2025 12:00 PM,https://eprocurebhel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SVuELAq1MwCyzSFtfVVpa3Q%3D%3D
3,2025_BHEL_53095_1,1,[CKGE001414],24-Sep-2025 03:25 PM,Bharat Heavy Electricals Limited||EDN - Bangalore||SAAS,30-Sep-2025 01:00 PM,https://eprocurebhel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=STY7UInhRuLujWiZmXj3ZEQ%3D%3D
4,2025_BHEL_53081_1,1,[CKGE001413],24-Sep-2025 03:20 PM,Bharat Heavy Electricals Limited||EDN - Bangalore||SAAS,30-Sep-2025 01:00 PM,https://eprocurebhel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SB6Zio2PCzEhSrLD5AZfN8Q%3D%3D
5,2025_BHEL_53107_1,1,[HYI2500099 SECUKINUMAB 150MG ML INJ],23-Sep-2025 05:00 PM,Bharat Heavy Electricals Limited||HPEP - Hyderabad||CMM,06-Oct-2025 11:00 AM,https://eprocurebhel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SMLiE%2Bs0fNicczs5G9Ts53g%3D%3D
6,2025_BHEL_53075_1,1,[BHEL/CPC/KOD/BOP/26/043],23-Sep-2025 10:00 AM,Bharat Heavy Electricals Limited||Central Procurement Cell,03-Oct-2025 10:00 AM,https://eprocurebhel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sm1rvNQ%2BmUuUE7TGfdHhOzw%3D%3D
7,2025_BHEL_52760_2,1,[E TS NO 3150],22-Sep-2025 05:00 PM,Bharat Heavy Electricals Limited||PSWR||Purchase||PUR||PUR,03-Oct-2025 01:00 PM,https://eprocurebhel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SwJi8zofHw3ypAFkJwtAcCA%3D%3D
8,2025_BHEL_53004_1,1,[ANGE000076],22-Sep-2025 03:00 PM,Bharat Heavy Electricals Limited||EDN - Bangalore,30-Sep-2025 03:00 PM,https://eprocurebhel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S0beuv7Bjt0OtHbm7EfEJMQ%3D%3D
9,2025_BHEL_53043_1,1,[CDC/T/25-26/003],22-Sep-2025 03:00 PM,"Bharat Heavy Electricals Limited||TP-Jhansi||TRANSFORMER,WEX -  MOD.||Transformer Material Management||17 - Porcelain Components",14-Oct-2025 12:00 PM,https://eprocurebhel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SefSH8mXcjf1RMm2UviSN9Q%3D%3D
10,2025_BHEL_53054_1,1,[ANGE000078],22-Sep-2025 03:00 PM,Bharat Heavy Electricals Limited||EDN - Bangalore,06-Oct-2025 01:30 PM,https://eprocurebhel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SZf%2FLeJX8iDvGz0oEkaEYag%3D%3D
