S.No,Page No,e-Published Date,Closing Date,Opening Date,Title,TenderID,Link,Organisation Chain
1,1,29-Sep-2025 04:15 PM,10-Oct-2025 03:30 PM,10-Oct-2025 04:00 PM,[MUPIROCIN 2 PERCENT OINTMENT (5GM/TUBE)],"[MUPIROCIN 2 PERCENT OINTMENT (5GM/TUBE)]
																				[178 H/ MDX/5/0178M1][2025_BHEL_53310_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SV9px1vlRKM1My0ZvQvbaLg%3D%3D,Bharat Heavy Electricals Limited||HEEP-Haridwar||Medical
2,1,29-Sep-2025 04:00 PM,09-Oct-2025 01:00 PM,09-Oct-2025 05:00 PM,[E TS NO 3162],"[E TS NO 3162]
																				[E TS 3162][2025_BHEL_53290_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SG3lNBLbwdz64i%2F0w0Sn2xw%3D%3D,Bharat Heavy Electricals Limited||PSWR||Purchase||PUR||PUR
3,1,29-Sep-2025 03:45 PM,09-Oct-2025 11:00 AM,09-Oct-2025 11:05 AM,[RACECADOTRIL 100MG TAB],"[RACECADOTRIL 100MG TAB]
																				[BPE2500311][2025_BHEL_53309_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SW1c9r1uDov0YadmEJNQEzg%3D%3D,Bharat Heavy Electricals Limited||HEP - Bhopal||Medical||795 - Medical
4,1,29-Sep-2025 03:00 PM,10-Oct-2025 01:15 PM,10-Oct-2025 02:00 PM,[E-19250087],"[E-19250087]
																				[E-19250087][2025_BHEL_53307_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S6XRPQc5BRc0C0zE6ZDHxgg%3D%3D,"Bharat Heavy Electricals Limited||TP-Jhansi||TRANSFORMER,WEX -  MOD.||Transformer Material Management||26 - Mechanical Components"
5,1,29-Sep-2025 03:00 PM,09-Oct-2025 10:00 AM,09-Oct-2025 05:00 PM,[BHEL PSSR SCT 2223],"[BHEL PSSR SCT 2223]
																				[BHEL PSSR SCT 2223][2025_BHEL_53306_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SluZW3DfKL%2BnIV146RPe24g%3D%3D,Bharat Heavy Electricals Limited||PSSR||SUBCONTRACTING||SCT||SCT
6,1,29-Sep-2025 02:00 PM,09-Oct-2025 02:00 PM,09-Oct-2025 02:30 PM,[Repair and modification of stair at various locations for roof  top solar project and Providing and fixing of mesh at copper  store at bay 4 of block 9 and associated civil work at the  other locations inside factory area],"[Repair and modification of stair at various locations for roof  top solar project and Providing and fixing of mesh at copper  store at bay 4 of block 9 and associated civil work at the  other locations inside factory area]
																				[FCX/25261026][2025_BHEL_53268_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SdAb9KtqTa11Kc85zDZEMMA%3D%3D,Bharat Heavy Electricals Limited||HEP - Bhopal
7,1,29-Sep-2025 02:00 PM,30-Sep-2025 02:00 PM,30-Sep-2025 03:00 PM,[SUPPLY OF ELECTROMECHANICAL COUNTER FOR ONBOARD KAVACH SYSTEM],"[SUPPLY OF ELECTROMECHANICAL COUNTER FOR ONBOARD KAVACH SYSTEM]
																				[12304441][2025_BHEL_53000_2]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sct37BfsZEBiVE0dAibb6Og%3D%3D,Bharat Heavy Electricals Limited||EPD - Bangalore
8,1,29-Sep-2025 02:00 PM,09-Oct-2025 10:00 AM,09-Oct-2025 04:00 PM,[T and C (Trading and Clearing) member for Natural Gas Procurement through IGX platform.],"[T and C (Trading and Clearing) member for Natural Gas Procurement through IGX platform.]
																				[FF/25/MPS/IGX/WC/05/028][2025_BHEL_53304_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SfRNz7jKk8nUD9xEnHrymdQ%3D%3D,Bharat Heavy Electricals Limited||CFFP - Haridwar||CFFP
9,1,29-Sep-2025 02:00 PM,03-Oct-2025 02:00 PM,03-Oct-2025 03:00 PM,[Reinstatement of 8 ANSYS HPC software licenses and AMC renewal till 31.03.2027],"[Reinstatement of 8 ANSYS HPC software licenses and AMC renewal till 31.03.2027]
																				[2652500007][2025_BHEL_53295_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SVFLYCEsP7PB%2FKo1kcuMNYA%3D%3D,Bharat Heavy Electricals Limited||BHEL Trichy||MM/SERVICES||FB M and S  Spares Cap||Two Hundred and Sixty Six - 266
10,1,29-Sep-2025 01:15 PM,10-Oct-2025 03:30 PM,10-Oct-2025 04:00 PM,[CELL PACK (20LTR/PK)],"[CELL PACK (20LTR/PK)]
																				[171 H/ MDX/5/0171L1][2025_BHEL_53300_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SPY9hZefU6BcBBo8JNqVK7w%3D%3D,Bharat Heavy Electricals Limited||HEEP-Haridwar||Medical
