Serial Number,Tender ID,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_DGMMC_10121_1,[Procurement of Spares for Thermofisher make ICP-AES],10-Sep-2025 06:15 PM,"CPCL,DGM(M and C)||CM - MATERIALS||Sr.Manager||Sr.Engr.Officer",04-Oct-2025 11:00 AM,https://cpcletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=ShIKdkLnPBsAS8EeRBA2wIg%3D%3D
2,2025_DGMMC_10152_1,[Procurement of Kirloskar Make Lube Oil (CPI-1519-(27 Drums) and CP 1516-GR-(17 Drums) - (In Drums)],27-Sep-2025 11:00 AM,"CPCL,DGM(M and C)||CM - MATERIALS||Sr.Manager||Sr.Engr.Officer",07-Oct-2025 11:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SebW07b72p2AeG6dqkgSVog%3D%3D
3,2025_DGMMC_10147_1,[Procurement of Spares for TBP and Potstill Apparatus],25-Sep-2025 04:35 PM,"CPCL,DGM(M and C)||CM - MATERIALS||Sr.Manager||Sr.Engr.Officer",06-Oct-2025 11:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SNTnTEkD7abump2%2BC6j5YQg%3D%3D
4,2025_DGMMC_10141_1,[SPARES FOR DCU BRIDGE CRANE],18-Sep-2025 11:30 AM,"CPCL,DGM(M and C)||CM - MATERIALS||Sr.Manager||Sr.Engr.Officer",10-Oct-2025 11:00 AM,https://cpcletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SZiKpGaIro19Ny5bfGhPshw%3D%3D
5,2025_DGMMC_10150_1,[CHILLER GASKET],26-Sep-2025 01:00 PM,"CPCL,DGM(M and C)||CM - MATERIALS||Sr.Manager||Sr.Engr.Officer",30-Sep-2025 11:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=ScOIewUU53rRohAJBd8njqg%3D%3D
6,2025_DGMMC_10148_1,[Procurement of Spares for LECO make Bomb Calorimeter],25-Sep-2025 05:15 PM,"CPCL,DGM(M and C)||CM - MATERIALS||Sr.Manager||Sr.Engr.Officer",06-Oct-2025 11:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SyZnS%2Byhiw5uZvRHtzkwObQ%3D%3D
7,2025_DGMMC_10100_1,"[PROCUREMENT OF RGC and ITS DRIVE TURBINE SPARES OF OHCU and DHDT (207K01, 211TUR02 and 211K02) OF M/s BHEL MAKE AT REF-III OF CPCL, MANALI]",02-Sep-2025 04:30 PM,"CPCL,DGM(M and C)||CM - MATERIALS||Sr.Manager||Sr.Engr.Officer",03-Oct-2025 11:00 AM,https://cpcletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SwihPy7ONfpfJRz%2BXWpKtNw%3D%3D
8,2025_DGMMC_10075_1,[PROCUREMENT OF BLOWERS 200-K-152A/B AND 200-K-153A FOR ETP-2 PLANT],19-Aug-2025 12:15 PM,"CPCL,DGM(M and C)||CM - MATERIALS||Sr.Manager||Sr.Engr.Officer",03-Oct-2025 11:00 AM,https://cpcletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S8Q2%2FeIQ1bvwdeqGEOX%2BbUg%3D%3D
9,2025_DGMMC_10127_1,[Procurement of Water Quality Analyser],12-Sep-2025 05:00 PM,"CPCL,DGM(M and C)||CM - MATERIALS||Sr.Manager||Sr.Engr.Officer",06-Oct-2025 11:00 AM,https://cpcletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SV1zRlpJDXRDwiyJGYhjxIQ%3D%3D
10,2025_DGMMC_10146_1,[Procurement of Auto Mini Pour Point Apparatus],25-Sep-2025 03:15 PM,"CPCL,DGM(M and C)||CM - MATERIALS||Sr.Manager||Sr.Engr.Officer",06-Oct-2025 11:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SPtFk9RrboGSh%2FwG6cgVRqQ%3D%3D
11,2025_DGMMC_10110_1,[Procurement of Energy Recovery Turbine and its Spares Required for Desalination Unit of CPCL],05-Sep-2025 03:15 PM,"CPCL,DGM(M and C)||CM - MATERIALS||Sr.Manager||Sr.Engr.Officer",30-Sep-2025 11:00 AM,https://cpcletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SJKpyF6V0O4Yg5eQU6PxQzg%3D%3D
12,2025_DGMMC_10149_1,"[Construction of COCO Retail Outlet at Mathur, Chennai]",25-Sep-2025 06:45 PM,"CPCL,DGM(M and C)||CM - CONTRACTS||Sr.MANAGER||Sr Engr Officer",03-Oct-2025 11:00 AM,https://cpcletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S0nfMi3YaU0kta8hbG56Xuw%3D%3D
13,2025_DGMMC_10125_1,"[New drain construction at Asphalt Tank Farm, Refinery-III Fire Water Reservoir and Day Tanks to DHDT at CPCL, Manali]",12-Sep-2025 03:40 PM,"CPCL,DGM(M and C)||CM - CONTRACTS||Sr.MANAGER||Sr Engr Officer",03-Oct-2025 11:00 AM,https://cpcletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SA2Z07TokWG9j5lDRbJnWxw%3D%3D
14,2025_DGMMC_10029_2,[PROCUREMENT OF TUBE BUNDLE ASSEMBLIES FOR 1ST AND 2ND STAGE INTER COOLERS OF AIR COMPRESSORS 232-K-102A/B],13-Aug-2025 04:15 PM,"CPCL,DGM(M and C)||CM - MATERIALS||Sr.Manager||Sr.Engr.Officer",30-Sep-2025 11:00 AM,https://cpcletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=St25AvcV2dTD6dBwZ4P6%2F5Q%3D%3D
15,2025_DGMMC_10130_1,"[Concertina Coil, Barbed Wire and Chain Link Fencing Works at various locations of CPCL Manali]",13-Sep-2025 04:00 PM,"CPCL,DGM(M and C)||CM - CONTRACTS||Sr.MANAGER||Sr Engr Officer",04-Oct-2025 11:00 AM,https://cpcletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sx4LCujGgM%2FNPbtChX0PXkg%3D%3D
16,2025_DGMMC_10120_1,[Procurement of Claus Catalyst for SRU along with Support Balls for Plant 210],11-Sep-2025 09:45 AM,"CPCL,DGM(M and C)||CM - MATERIALS||Sr.Manager||Sr.Engr.Officer",03-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SCp%2BrIuEW2fO6FEQK1tHQnw%3D%3D
17,2025_DGMMC_10115_1,"[Roof slab replacement and RCC repairs of Permeate Water Storage Tank in CPCL, Manali]",08-Sep-2025 04:45 PM,"CPCL,DGM(M and C)||CM - CONTRACTS||Sr.MANAGER||Sr Engr Officer",06-Oct-2025 11:00 AM,https://cpcletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SmCMsKLLen2ecOkAPSw6UPQ%3D%3D
18,2025_DGMMC_10133_1,"[Shed extension works in North side of Warehouse -II complex at CPCL, Manali]",13-Sep-2025 05:30 PM,"CPCL,DGM(M and C)||CM - CONTRACTS||Sr.MANAGER||Sr Engr Officer",04-Oct-2025 11:00 AM,https://cpcletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SO2iUuFE0JYltxPSn77RbGw%3D%3D
19,2025_DGMMC_10113_1,[SPARES REQUIRED FOR LOX PUMPS (232-G- 123A/B)],08-Sep-2025 11:00 AM,"CPCL,DGM(M and C)||CM - MATERIALS||Sr.Manager||Sr.Engr.Officer",03-Oct-2025 11:00 AM,https://cpcletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SB0byQKVh5%2FvL5ZWxjIUVBQ%3D%3D
20,2025_DGMMC_10057_1,[Procurement of Telescopic Seals],08-Aug-2025 04:40 PM,"CPCL,DGM(M and C)||CM - MATERIALS||Sr.Manager||Sr.Engr.Officer",30-Sep-2025 11:00 AM,https://cpcletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SCTzGtxaF5Tk0O3ekGGquZA%3D%3D
21,2025_DGMMC_10144_1,[Procurement of M/s. Rathi make coupling spares for the pumps],20-Sep-2025 03:45 PM,"CPCL,DGM(M and C)||CM - MATERIALS||Sr.Manager||Sr.Engr.Officer",30-Sep-2025 11:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SRDrs9FevfEXdr7JMhzRuzg%3D%3D
22,2025_DGMMC_10092_1,[Development and Implementation of Digital Logbooks for CPCL Manali],29-Aug-2025 01:20 PM,"CPCL,DGM(M and C)||CM - CONTRACTS||Sr.MANAGER||Sr Engr Officer",03-Oct-2025 11:00 AM,https://cpcletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Si06O5%2Fi0caiupphqRQmPMw%3D%3D
23,2025_DGMMC_10145_1,[Procurement of Resid acid gas flare tip (18 inch Dia Barrel Type) ],22-Sep-2025 12:15 PM,"CPCL,DGM(M and C)||CM - MATERIALS||Sr.Manager||Sr.Engr.Officer",03-Oct-2025 11:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S8G6v%2FQMA0YijFIoT5tCICg%3D%3D
24,2025_DGMMC_10134_1,[Procurement of Spares for Nabertherm make Muffle Furnace],13-Sep-2025 06:00 PM,"CPCL,DGM(M and C)||CM - MATERIALS||Sr.Manager||Sr.Engr.Officer",30-Sep-2025 11:00 AM,https://cpcletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SHPDLA2szFsUP5jIh8ZlyXA%3D%3D
25,2025_DGMMC_10138_1,[Annual Rate Contract for maintenance of Thermofisher make analysers at CPCL Manali],17-Sep-2025 12:00 PM,"CPCL,DGM(M and C)||CM - CONTRACTS||Sr.MANAGER||Sr Engr Officer",01-Oct-2025 11:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SQ6FMDTA%2F2dT1REDuU8Z4cA%3D%3D
26,2025_DGMMC_10107_1,[Procurement of Sulfur Guard Catalyst and Support Balls for ISOM Unit.],05-Sep-2025 11:10 AM,"CPCL,DGM(M and C)||CM - MATERIALS||Sr.Manager||Sr.Engr.Officer",06-Oct-2025 03:00 PM,https://cpcletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SysOjzybW3SJlUR%2FRN6mQ8g%3D%3D
27,2025_DGMMC_10151_1,[Pond-C deepening works at CPCL Manali],26-Sep-2025 05:45 PM,"CPCL,DGM(M and C)||CM - CONTRACTS||Sr.MANAGER||Sr Engr Officer",10-Oct-2025 11:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S%2Fvn5VFlgXKyvo%2FzOikXFpQ%3D%3D
