S.No,Page No,e-Published Date,Closing Date,Opening Date,Title,TenderID,Link,Organisation Chain
1,1,27-Sep-2025 11:00 AM,07-Oct-2025 11:00 AM,07-Oct-2025 02:00 PM,[Procurement of Kirloskar Make Lube Oil (CPI-1519-(27 Drums) and CP 1516-GR-(17 Drums) - (In Drums)],"[Procurement of Kirloskar Make Lube Oil (CPI-1519-(27 Drums) and CP 1516-GR-(17 Drums) - (In Drums)]
																				[C28C250048][2025_DGMMC_10152_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SebW07b72p2AeG6dqkgSVog%3D%3D,"CPCL,DGM(M and C)||CM - MATERIALS||Sr.Manager||Sr.Engr.Officer"
2,1,26-Sep-2025 05:45 PM,10-Oct-2025 11:00 AM,10-Oct-2025 02:00 PM,[Pond-C deepening works at CPCL Manali],"[Pond-C deepening works at CPCL Manali]
																				[CPCLS25424][2025_DGMMC_10151_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S%2Fvn5VFlgXKyvo%2FzOikXFpQ%3D%3D,"CPCL,DGM(M and C)||CM - CONTRACTS||Sr.MANAGER||Sr Engr Officer"
3,1,26-Sep-2025 01:00 PM,30-Sep-2025 11:00 AM,30-Sep-2025 02:00 PM,[CHILLER GASKET],"[CHILLER GASKET]
																				[C12A250096][2025_DGMMC_10150_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=ScOIewUU53rRohAJBd8njqg%3D%3D,"CPCL,DGM(M and C)||CM - MATERIALS||Sr.Manager||Sr.Engr.Officer"
4,1,25-Sep-2025 06:45 PM,03-Oct-2025 11:00 AM,03-Oct-2025 02:00 PM,"[Construction of COCO Retail Outlet at Mathur, Chennai]","[Construction of COCO Retail Outlet at Mathur, Chennai]
																				[CPCLS25419][2025_DGMMC_10149_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S0nfMi3YaU0kta8hbG56Xuw%3D%3D,"CPCL,DGM(M and C)||CM - CONTRACTS||Sr.MANAGER||Sr Engr Officer"
5,1,25-Sep-2025 05:15 PM,06-Oct-2025 11:00 AM,06-Oct-2025 02:00 PM,[Procurement of Spares for LECO make Bomb Calorimeter],"[Procurement of Spares for LECO make Bomb Calorimeter]
																				[C25C250096][2025_DGMMC_10148_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SyZnS%2Byhiw5uZvRHtzkwObQ%3D%3D,"CPCL,DGM(M and C)||CM - MATERIALS||Sr.Manager||Sr.Engr.Officer"
6,1,25-Sep-2025 04:35 PM,06-Oct-2025 11:00 AM,06-Oct-2025 02:00 PM,[Procurement of Spares for TBP and Potstill Apparatus],"[Procurement of Spares for TBP and Potstill Apparatus]
																				[C25C250095][2025_DGMMC_10147_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SNTnTEkD7abump2%2BC6j5YQg%3D%3D,"CPCL,DGM(M and C)||CM - MATERIALS||Sr.Manager||Sr.Engr.Officer"
7,1,25-Sep-2025 03:15 PM,06-Oct-2025 11:00 AM,06-Oct-2025 02:00 PM,[Procurement of Auto Mini Pour Point Apparatus],"[Procurement of Auto Mini Pour Point Apparatus]
																				[C25C250094][2025_DGMMC_10146_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SPtFk9RrboGSh%2FwG6cgVRqQ%3D%3D,"CPCL,DGM(M and C)||CM - MATERIALS||Sr.Manager||Sr.Engr.Officer"
8,1,22-Sep-2025 12:15 PM,03-Oct-2025 11:00 AM,03-Oct-2025 02:00 PM,[Procurement of Resid acid gas flare tip (18 inch Dia Barrel Type) ],"[Procurement of Resid acid gas flare tip (18 inch Dia Barrel Type) ]
																				[C12A250094][2025_DGMMC_10145_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S8G6v%2FQMA0YijFIoT5tCICg%3D%3D,"CPCL,DGM(M and C)||CM - MATERIALS||Sr.Manager||Sr.Engr.Officer"
9,1,20-Sep-2025 03:45 PM,30-Sep-2025 11:00 AM,30-Sep-2025 02:00 PM,[Procurement of M/s. Rathi make coupling spares for the pumps],"[Procurement of M/s. Rathi make coupling spares for the pumps]
																				[C16A250092][2025_DGMMC_10144_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SRDrs9FevfEXdr7JMhzRuzg%3D%3D,"CPCL,DGM(M and C)||CM - MATERIALS||Sr.Manager||Sr.Engr.Officer"
10,1,18-Sep-2025 11:30 AM,10-Oct-2025 11:00 AM,10-Oct-2025 02:00 PM,[SPARES FOR DCU BRIDGE CRANE],"[SPARES FOR DCU BRIDGE CRANE]
																				[C21B250077][2025_DGMMC_10141_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SZiKpGaIro19Ny5bfGhPshw%3D%3D,"CPCL,DGM(M and C)||CM - MATERIALS||Sr.Manager||Sr.Engr.Officer"
