Serial Number,Tender ID,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_CHD_88643_1,[SR TO RB SECURITY FENCING WITH METAL JAFFERY AND BARBED WIRE FENCING IN 138 JUDGE HOUSE AND OTHER HOUSES MISC. WORKS SECTOR 10 CHANDIGARH. ],26-Sep-2025 02:00 PM,Chandigarh Administration||Engineering||Construction Circle - II||CP - III,03-Oct-2025 11:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SRGqzgQOQM4y7WgkgX1FDXQ%3D%3D
2,2025_CHD_88629_1,"[ANNUAL REPAIR OF BLACK LITIGANT SOFA SINGLE AND THREE SEATER THE HONBLE PUNJAB AND HARYANA HIGH COURT, SECTOR 1, CHANDIGARH]",25-Sep-2025 06:25 PM,Chandigarh Administration||Engineering||Construction Circle - II||CP - VI,03-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SCMpqldf3h9g8qGJGkF8KUw%3D%3D
3,2025_CHD_88604_1,"[SPECIAL REPAIR FOR THE TYPE II, III, IV HOUSES IN SECTOR 44 CHANDIGARH, UNDER SUB- DIVISION C-8 FOR THE FINANCIAL YEAR 2025-2026 (RESIDENTIAL BUILDING) 28 NOS.]",25-Sep-2025 01:00 PM,Chandigarh Administration||Engineering||Construction Circle - II||CP - VI,01-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S%2FKdiKUIDfp38Hw6Yq5lVlg%3D%3D
4,2025_CHD_88597_1,"[ANNUAL REPAIR OF 12 NOS. TYPE III HOUSES OF POLICE LINE, CHANDIGARH FOR THE FINANCIAL YEAR OF 2025-26(RESIDENTIAL BUILDING).]",25-Sep-2025 01:00 PM,Chandigarh Administration||Engineering||Construction Circle - II||CP - VI,01-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SG446D%2FHHD9v3w3ipdODRWw%3D%3D
5,2025_PU_88605_1,[CIVIL WORK SITC OF FIRE FIGHTING SYSTEM DOWN COMER SYSTEM AS PER NBC PART 4  AT CALEM BUILDING EMERGING AREA IN SCIENCES AND TECHNOLOGY BLOCK II IN PU SOUTH CAMPUS SECTOR 25 CHANDIGARH.],25-Sep-2025 01:00 PM,Panjab University||Construction/Maintenance,10-Oct-2025 04:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SYHi8YcblbVKhY78N0DcHAQ%3D%3D
6,2025_CHD_88616_1,"[RENOVATION OF OCCUPIED HOUSE NO. 138 (TYPE-9 K.A.) IN SECTOR-19, CHANDIGARH (TOTAL HOUSE 01 NOS.) (IBM NO. W4/ 2025/ 25037).]",25-Sep-2025 04:00 PM,Chandigarh Administration||Engineering||Electrical Circle||Electrical Div - I,01-Oct-2025 12:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SFusPjxCS1uypN6hAQYJoGA%3D%3D
7,2025_CHD_88630_1,[Recarpeting of main and carriage way from Jn17 to Jn43 Both sides except Jn 18 to Jn 19 UT Chandigarh ],25-Sep-2025 06:55 PM,Chandigarh Administration||Engineering||Construction Circle - II||CP - II,08-Oct-2025 12:30 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S9SWVfsqm4YTkcxz3yhJ1xA%3D%3D
8,2025_CHD_88584_1,"[ANNUAL REPAIR AND SPECIAL REPAIR FOR MAINTENANCE OF TYPE-I, III, IV, X, XI, XII AND XIII HOUSES IN SECTOR-7, CHANDIGARH (514 NO HOUSES) (YEAR 2025-26)]",24-Sep-2025 06:00 PM,Chandigarh Administration||Engineering||Construction Circle - II||CP - III,01-Oct-2025 11:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SMRuXjnM06Vg7iNA3WhFVTA%3D%3D
9,2025_MCC_88301_1,[Operation and Maintenance of C and D Waste Management Facility in Chandigarh for a period of 5 years further with extension of 2 years],08-Sep-2025 06:00 PM,Municipal Corporation||Engineering-MCC||Road Division - I,08-Oct-2025 12:00 PM,https://etenders.chd.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S%2FVr52DZ1uQ9VopvdrT3Gnw%3D%3D
10,2025_MCC_88436_2,[Providing and laying of 4 inch DI water supply pipe line for motor garage C and D waste passing in PH store to Petrol pump Admn Industrial Area Phase 1 Chandigarh ],26-Sep-2025 01:20 PM,Municipal Corporation||Engineering-MCC||Public Health Division - IV,03-Oct-2025 11:30 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S%2FcP1opQ2jCNXjTrbnTjtFw%3D%3D
11,2024_CHD_81359_5,[Recarpeting of Road inside Kothi No 58 Sector 5 UT Chandigarh],01-Aug-2025 05:00 PM,Chandigarh Administration||Engineering||Construction Circle - II||CP - II,30-Sep-2025 11:30 AM,https://etenders.chd.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S%2BuGyHNPM2bc16f5eMGPXug%3D%3D
12,2025_CHD_88601_1,"[SPECIAL REPAIR FOR THE TYPE IV HOUSES IN SECTOR 43 CHANDIGARH, UNDER SUB- DIVISION C-8 FOR THE FINANCIAL YEAR 2025-2026 (RESIDENTIAL BUILDING)]",25-Sep-2025 01:00 PM,Chandigarh Administration||Engineering||Construction Circle - II||CP - VI,01-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SCVIzoU9CRHNGbZ2aYVod7Q%3D%3D
13,2025_CHD_86009_2,[Recarpeting of road inside Pierre Jeanneret Museum House No57 Sector 5 UT Chandigarh],01-Aug-2025 03:00 PM,Chandigarh Administration||Engineering||Construction Circle - II||CP - II,30-Sep-2025 11:30 AM,https://etenders.chd.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SVVwKl85qyrwnTGcJm%2FXIsg%3D%3D
14,2025_CHD_88260_1,"[PROVIDING NURSE CALL SYSTEM IN MOTHER AND CHILD CARE CENTRE AT BLOCK K, GMCH, SECTOR- 32, CHANDIGARH.]",05-Sep-2025 02:30 PM,Chandigarh Administration||Engineering||Electrical Circle||Electrical Div - II,03-Oct-2025 12:00 PM,https://etenders.chd.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SVECLs0TCOd02AOv7v6JYtA%3D%3D
15,2025_CHD_88599_1,"[SPECIAL REPAIR SAMPARK CENTRE, SDM OFFICE, INDUSTRIAL AREA PHASE -I, SAMPARK CENTRE, BAPU DHAM COLONY, EDC BUILDING IT PARK, CHANDIGARH FOR THE FINANCIAL YEAR OF 2025-2026 (NON RESIDENTIAL BUILDING).]",25-Sep-2025 01:00 PM,Chandigarh Administration||Engineering||Construction Circle - II||CP - VI,01-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SAU0ySSpUOF6%2FtBo0Zhv%2BDA%3D%3D
16,2025_CHD_84142_2,[Recarpeting of Govt Model Sr Sec School Sector 8 UT Chandigarh],01-Aug-2025 01:00 PM,Chandigarh Administration||Engineering||Construction Circle - II||CP - II,30-Sep-2025 11:30 AM,https://etenders.chd.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SOr9Rlg6R9vgqqL2qUD0CeQ%3D%3D
17,2025_CHD_88545_1,[MAINTENANCE OF STREET LIGHTING IN VARIOUS ROADS IN VARIOUS SECTORS AT CHANDIGARH (PROVIDING TEMPORARY LIGHTING ARRANGEMENT ON VARIOUS ROTARIES/BUILDINGS AT VARIOUS SECTOR U.T CHANDIGARH ON THE OCCASION OF DIWALI FESTIVAL (W.E.F.20.10.2025 TO 22.10.20],23-Sep-2025 02:30 PM,Chandigarh Administration||Engineering||Electrical Circle||Electrical Div - III,30-Sep-2025 12:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SomMefZxf%2FUfBFBFCDjDgww%3D%3D
18,2025_CHD_88615_1,"[MTC. OF E.I. IN RB / NRB AT CHANDIGARH. (PROVIDING TEMPORARY LIGHTING ARRANGEMENT ON THE EVE OF DIWALI FESTIVAL I.E. 20.10.2025 (W.E.F. 19.10.2025 TO 21.10.2025) ON DC OFFICE, SECTOR-17  AND GMSH SECTOR -16, CHANDIGARH).]",25-Sep-2025 04:00 PM,Chandigarh Administration||Engineering||Electrical Circle||Electrical Div - I,01-Oct-2025 12:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SQVDv9vz9S%2F5xLV6Uoccxhw%3D%3D
