Serial Number,Tender ID,Page Number,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_CHD_88635_1,1,[RE-CARPETING OF V-5 ROAD FOR APPROACH TO COMMUNITY CENTRE JANJ GHAR AND SHOPPING CENTRE AT MALOYA CHANDIGARH],26-Sep-2025 12:00 PM,Chandigarh Administration||Engineering||Construction Circle - I||CP - I,03-Oct-2025 02:00 PM,https://etenders.chd.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=StzAvcby5tG0p6OIqYgJuuQ%3D%3D
2,2025_CHD_88549_1,1,[Renovation of House No. 99 (Type 12) Sector 19 Chandigarh (IBM Scheme No. W4/2025/25015)],23-Sep-2025 05:00 PM,Chandigarh Administration||Engineering||Public Health Circle||PH Div - III,01-Oct-2025 11:00 AM,https://etenders.chd.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sxizv8f87WaIX36ivyhwzEg%3D%3D
3,2025_CHD_88513_1,1,"[MAINTENANCE OF E.I. IN NON RESIDENTIAL BUILDING AT U.T. CHANDIGARH. (ANNUAL REPAIRING/ REWINDING OF VARIOUS TYPES OF CEILING FANS/ EXHAUST FANS IN PUNJAB AND HARYANA HIGH COURT, SEC-1 AND OTHER BUILDING ETC. AT CHANDIGARH) (2025-26)   ]",19-Sep-2025 01:00 PM,Chandigarh Administration||Engineering||Electrical Circle||Electrical Div - III,01-Oct-2025 12:00 PM,https://etenders.chd.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=ScacMOhPCq1nvZmtOOvg0OQ%3D%3D
4,2025_CHD_88463_1,1,"[Providing and fixing of Fire Fighting System at AAM AYUSH, Sector 27, U.T., Chandigarh]",17-Sep-2025 01:00 PM,Chandigarh Administration||Engineering||Public Health Circle||PH Div - III,03-Oct-2025 11:00 AM,https://etenders.chd.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SCvi3%2FHHgI%2FoGvSPtHXc8OA%3D%3D
5,2025_CHD_88408_1,1,"[ANNUAL MAINTENANCE OF 05 NOS. JOHNSON MAKE LIFTS (03 NOS. IN NEW OPD BLOCK AND 02 NOS. IN ADMINISTRATIVE BLOCK) INSTALLED AT GMSH, SECTOR-16, CHANDIGARH (FOR THE PERIOD OF 2025-2026)]",15-Sep-2025 12:00 PM,Chandigarh Administration||Engineering||Electrical Circle||Electrical Div - I,01-Oct-2025 12:00 PM,https://etenders.chd.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SCy0qgVW%2FZs5B4n8QvPj3ow%3D%3D
6,2025_CHD_87909_2,1,"[COMPREHENSIVE MTC. OF 4 NOS. 10 PASSENGER ELEVATOR IN BUILDING FOR HONBLE JUDGES AND PROVISION OF SUFFICIENT SPACE FOR SITTING ARRANGEMENT OF HONBLE JUDGES IN LIBRARY HALL IN THE PUNJAB AND HATYANA HIGH COURT, SECTOR 1, CHANDIGARH. (FOR THE YEAR 2025]",12-Sep-2025 04:00 PM,Chandigarh Administration||Engineering||Electrical Circle||Electrical Div - III,01-Oct-2025 12:00 PM,https://etenders.chd.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S5mzBPuBeUSVqnYYY%2F1jqSw%3D%3D
7,2025_MCC_88301_1,1,[Operation and Maintenance of C and D Waste Management Facility in Chandigarh for a period of 5 years further with extension of 2 years],08-Sep-2025 06:00 PM,Municipal Corporation||Engineering-MCC||Road Division - I,08-Oct-2025 12:00 PM,https://etenders.chd.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S%2FVr52DZ1uQ9VopvdrT3Gnw%3D%3D
8,2025_CHD_84868_6,1,[Recarpeting of both side cycle track from Saint Kabir to Gurugobind Singh College Sector 26 Chandigarh],08-Sep-2025 04:00 PM,Chandigarh Administration||Engineering||Construction Circle - II||CP - II,30-Sep-2025 11:30 AM,https://etenders.chd.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SHQuHd9gR0v%2Fezs6Q%2BYG04g%3D%3D
9,2025_CHD_86539_5,1,[Restoration of the Road cut at Maulijagran Chandigarh],08-Sep-2025 02:00 PM,Chandigarh Administration||Engineering||Construction Circle - II||CP - II,30-Sep-2025 11:30 AM,https://etenders.chd.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SmcIgozBKmG2muyqd7bnf4A%3D%3D
10,2025_CHD_88260_1,1,"[PROVIDING NURSE CALL SYSTEM IN MOTHER AND CHILD CARE CENTRE AT BLOCK K, GMCH, SECTOR- 32, CHANDIGARH.]",05-Sep-2025 02:30 PM,Chandigarh Administration||Engineering||Electrical Circle||Electrical Div - II,03-Oct-2025 12:00 PM,https://etenders.chd.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SVECLs0TCOd02AOv7v6JYtA%3D%3D
