S.No,Page No,e-Published Date,Closing Date,Opening Date,Title,TenderID,Link,Organisation Chain
21,2,26-Sep-2025 04:00 PM,03-Oct-2025 12:00 PM,03-Oct-2025 12:00 PM,"[Repair of Damaged SSK boundary wall at Sector 28B and Sector 29A, Chandigarh.(Annual Maintenance)]","[Repair of Damaged SSK boundary wall at Sector 28B and Sector 29A, Chandigarh.(Annual Maintenance)]
																				[2025/R2/09-06][2025_MCC_88647_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SBdAujUlpZbxQCklnh8K4%2BA%3D%3D,Municipal Corporation||Engineering-MCC||Road Division - I
22,2,26-Sep-2025 03:00 PM,03-Oct-2025 11:00 AM,03-Oct-2025 03:00 PM,[ANNUAL REPAIR AND SPECIAL REPAIR OF WOMEN POLICE STATION SECTOR 17 AND POLICE STATION SECTOR 17 CHANDIGARH UNDER THE CONTROL OF SDE M-2 SUB DIVISION FOR THE YEAR 2025-2026. . ],"[ANNUAL REPAIR AND SPECIAL REPAIR OF WOMEN POLICE STATION SECTOR 17 AND POLICE STATION SECTOR 17 CHANDIGARH UNDER THE CONTROL OF SDE M-2 SUB DIVISION FOR THE YEAR 2025-2026. . ]
																				[CP3/2025/2326115][2025_CHD_88646_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S0768DXiV4kSUV12yp5nB9g%3D%3D,Chandigarh Administration||Engineering||Construction Circle - II||CP - III
23,2,26-Sep-2025 02:15 PM,03-Oct-2025 12:00 PM,03-Oct-2025 03:30 PM,"[MTC. OF E.I. IN RB NRB AT CHANDIGARH (PROVIDING TEMPORARY LIGHTING DECORATIVE ARRANGEMENT IN PUNJAB RAJ BHAWAN, UT GUEST HOUSE, SECTOR-6 AND VARIOUS VIP HOUSES  CHANDIGARH ON THE EVE OF DIWALI  FESTIVAL I.E. 20.10.2025 (W.E.F. 19.10.2025 TO 21.10.202]","[MTC. OF E.I. IN RB NRB AT CHANDIGARH (PROVIDING TEMPORARY LIGHTING DECORATIVE ARRANGEMENT IN PUNJAB RAJ BHAWAN, UT GUEST HOUSE, SECTOR-6 AND VARIOUS VIP HOUSES  CHANDIGARH ON THE EVE OF DIWALI  FESTIVAL I.E. 20.10.2025 (W.E.F. 19.10.2025 TO 21.10.202]
																				[E1/TN-330][2025_CHD_88644_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Suv%2FEoIiSNAPGiP7A8aqAIQ%3D%3D,Chandigarh Administration||Engineering||Electrical Circle||Electrical Div - I
24,2,26-Sep-2025 02:00 PM,03-Oct-2025 11:00 AM,03-Oct-2025 03:00 PM,[SR TO RB SECURITY FENCING WITH METAL JAFFERY AND BARBED WIRE FENCING IN 138 JUDGE HOUSE AND OTHER HOUSES MISC. WORKS SECTOR 10 CHANDIGARH. ],"[SR TO RB SECURITY FENCING WITH METAL JAFFERY AND BARBED WIRE FENCING IN 138 JUDGE HOUSE AND OTHER HOUSES MISC. WORKS SECTOR 10 CHANDIGARH. ]
																				[CP3/2025/2325928	][2025_CHD_88643_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SRGqzgQOQM4y7WgkgX1FDXQ%3D%3D,Chandigarh Administration||Engineering||Construction Circle - II||CP - III
25,2,26-Sep-2025 02:00 PM,06-Oct-2025 11:00 AM,06-Oct-2025 03:00 PM,"[Day to Day Mtc of PHS for Non Residential Building i.e.  Schools, Dispansary, Dadu Majra and Dhanas Colony and other under SDE W/s Sub Division No. 11, Chandigarh (Ch. to 2215 Non Plan)]","[Day to Day Mtc of PHS for Non Residential Building i.e.  Schools, Dispansary, Dadu Majra and Dhanas Colony and other under SDE W/s Sub Division No. 11, Chandigarh (Ch. to 2215 Non Plan)]
																				[PH7/2025/5.72][2025_CHD_88640_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SHoHq4E%2BZnsv%2F0dtTvxKU4A%3D%3D,Chandigarh Administration||Engineering||Public Health Circle||PH Div - VII
26,2,26-Sep-2025 02:00 PM,03-Oct-2025 01:00 PM,03-Oct-2025 03:00 PM,"[Cleaning of sewerage machine hole chamber with mechanized suction pump at Hallomajra, Chandigarh under the charge of MCPH Sub Division No.12 Chandigarh]","[Cleaning of sewerage machine hole chamber with mechanized suction pump at Hallomajra, Chandigarh under the charge of MCPH Sub Division No.12 Chandigarh]
																				[MCPH3/2025/238][2025_MCC_88645_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SNU1OEbwL8yToWOKGEj%2BSEw%3D%3D,Municipal Corporation||Engineering-MCC||Public Health Division - III
27,2,26-Sep-2025 02:00 PM,03-Oct-2025 02:00 PM,03-Oct-2025 03:00 PM,"[RECARPETING OF PARKING AND INTERNAL ROADS OF ISBT SECTOR 43, CHANDIGARH.]","[RECARPETING OF PARKING AND INTERNAL ROADS OF ISBT SECTOR 43, CHANDIGARH.]
																				[CP1/2025/2277129][2025_CHD_88641_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SvcO0NoVklB1kqSj%2F4F%2BGpw%3D%3D,Chandigarh Administration||Engineering||Construction Circle - I||CP - I
28,2,26-Sep-2025 01:25 PM,01-Oct-2025 02:00 PM,01-Oct-2025 03:30 PM,"[ADDITIONAL  ALTERATION FOR EXTENSION OF REAR VERANDAH ALONGWITH PROVISION OF SHED AND RAILING AT HOUSE NO. 138 (JUDGE HOUSE), SECTROR-10, CHANDIGARH (IBM SCHEME NO.W4/2025/24448) (PROVIDING FANCY LIGHTS)]","[ADDITIONAL  ALTERATION FOR EXTENSION OF REAR VERANDAH ALONGWITH PROVISION OF SHED AND RAILING AT HOUSE NO. 138 (JUDGE HOUSE), SECTROR-10, CHANDIGARH (IBM SCHEME NO.W4/2025/24448) (PROVIDING FANCY LIGHTS)]
																				[E1/TN-325][2025_CHD_88589_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SEqBGfMcYWu%2FVozNSXzBElw%3D%3D,Chandigarh Administration||Engineering||Electrical Circle||Electrical Div - I
29,2,26-Sep-2025 01:20 PM,03-Oct-2025 11:30 AM,03-Oct-2025 03:30 PM,[Providing and laying of 4 inch DI water supply pipe line for motor garage C and D waste passing in PH store to Petrol pump Admn Industrial Area Phase 1 Chandigarh ],"[Providing and laying of 4 inch DI water supply pipe line for motor garage C and D waste passing in PH store to Petrol pump Admn Industrial Area Phase 1 Chandigarh ]
																				[MCPH4/2025/19][2025_MCC_88436_2]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S%2FcP1opQ2jCNXjTrbnTjtFw%3D%3D,Municipal Corporation||Engineering-MCC||Public Health Division - IV
30,2,26-Sep-2025 01:20 PM,03-Oct-2025 12:00 PM,03-Oct-2025 03:30 PM,"[AUGMENTATION OF EXISTING SWITCHGEAR DUE TO INCREASE OF ELECTRICAL LOAD IN BLOCK-A OF HIGH COURT EXTENSION BUILDING, SECTOR-17, CHANDIGARH.]","[AUGMENTATION OF EXISTING SWITCHGEAR DUE TO INCREASE OF ELECTRICAL LOAD IN BLOCK-A OF HIGH COURT EXTENSION BUILDING, SECTOR-17, CHANDIGARH.]
																				[E1/TN-331][2025_CHD_88642_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SrQsmdVhvc%2BBMduK3Fu6VfQ%3D%3D,Chandigarh Administration||Engineering||Electrical Circle||Electrical Div - I
