Serial Number,Tender ID,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_SECL_344534_1,[Dust suppression on coal transportation road from boom barrier to coal stock and weighbridge of Dumanhill railway siding of Kurasia Group.],23-Sep-2025 06:00 PM,South Eastern Coalfields Limited||Chirimiri Area,04-Oct-2025 06:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SpzOdB3%2BjjZndwT45qFdDqQ%3D%3D
2,2025_BCCL_344279_1,[Cable jointing at Hadhadiya pumping Feeder No. 17 and various locations in 1-Seam UG of NAKC under GA.],23-Sep-2025 10:00 AM,Bharat Coking Coal Limited||BCCL_GOVINDPUR AREA,04-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SjOTWJgLTnbOQMxMgEioG7Q%3D%3D
3,2025_SECL_344744_1,[G.I.Sheet Roofing in Sub Station to Avoid water seepage inside the 3.3 KV switch station installed at mine Substation 33KV at Amera Sub Area of Bishrampur Area.],27-Sep-2025 10:00 AM,South Eastern Coalfields Limited||Bishrampur Area,08-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S8OpV2YtJwsXKV5%2FxXGPoZQ%3D%3D
4,2025_NCL_344525_1,"[Fitment of safety glasses of operator cabin , cabin window glasses, front cabin glasses with rubber bead and denting work etc. in all models of dumpers, water tankers, water sprinkler and cranes.]",24-Sep-2025 06:00 PM,Northern Coalfields Limited||Jayant Project,06-Oct-2025 11:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SB0fFID%2F5sCYQyHDaAX%2B3XA%3D%3D
5,2025_SECL_344084_1,[Urgent cleaning and repairing work for different places under special campaign 5.0 under Swachata mission at Bhatgaon Area.],16-Sep-2025 04:00 PM,South Eastern Coalfields Limited||Bhatgaon Area,01-Oct-2025 05:00 PM,https://coalindiatenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SPlp5%2BYLXqwppB6kkh2AyaA%3D%3D
6,2025_BCCL_344783_1,"[Repairing of BT-4 Compressor of Atlas Copco make  at Pure Benidih underground mine of Phularitand  AMP Colliery, Barora Area.]",27-Sep-2025 06:30 PM,Bharat Coking Coal Limited||BCCL_BARORA AREA,08-Oct-2025 06:30 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SHWEC7cxNup%2FzbvrBTKwFKQ%3D%3D
7,2025_ECL_344851_1,[installation and commissioning of 6 inch  M.S.  Pipe range in incline 2 ta RVIIB of CM  project at Nakrakonda Kumardihi B colliery  under Bankola area. ],27-Sep-2025 06:00 PM,Eastern Coalfields Limited||ECL_Bankola area,09-Oct-2025 06:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S0qFeYfDh963R9SOxd2GL1Q%3D%3D
8,2025_MCL_344477_1,[Laying of 03 Nos new pipelines vertically on OB Benches towards the North side of the mine from Main Sump at SOCP Mine.],22-Sep-2025 06:30 PM,Mahanadi Coalfields Limited||IB VALLEY AREA||IBV_E AND M||E AND M,03-Oct-2025 05:00 PM,https://coalindiatenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SFlivDgrPIr5Ytj%2FqedWQOA%3D%3D
9,2025_ECL_344928_1,"[(A) 550V, 400A GEC make pumping controlling switch. ]",29-Sep-2025 02:00 PM,Eastern Coalfields Limited||ECL_Mugma area,10-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SWK9rH5jkR%2BZP85K%2F%2BEZmHw%3D%3D
10,2025_BCCL_344923_1,"[Developing cluster value-chain-based economic livelihood development programme,  including preparation of Detailed Project Reports (DPRs) and implementation of the selected  DPR(s)]",29-Sep-2025 03:00 PM,Bharat Coking Coal Limited||BCCL-Hqrs||HQ_JMP,29-Oct-2025 10:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S23KPPz2RDhsTVN0nJIodhQ%3D%3D
