S.No,Page No,e-Published Date,Closing Date,Opening Date,Title,TenderID,Link,Organisation Chain
1,1,29-Sep-2025 03:00 PM,13-Oct-2025 11:00 AM,14-Oct-2025 11:00 AM,"[Track chain pad cutting (08 Nos.) from machine and 08 Nos. old and severable track chain pad jointing in machine RECP drill Sl. No. 817 at Bansdeopur OCP, Sijua Area]","[Track chain pad cutting (08 Nos.) from machine and 08 Nos. old and severable track chain pad jointing in machine RECP drill Sl. No. 817 at Bansdeopur OCP, Sijua Area]
																				[BCCL/SA/EXCV/ETENDER/25-26/55][2025_BCCL_344948_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SqjM3LYiVA9RKwd1skJHshA%3D%3D,Bharat Coking Coal Limited||BCCL_SIJUA AREA
2,1,29-Sep-2025 03:00 PM,13-Oct-2025 11:00 AM,14-Oct-2025 11:00 AM,"[Repairing of platform, platform base, brackets, railing guard and both side ladder, rep. of leakage from bucket cylinder of BE1000-1 Hyd. Shovel Sl. No. 10222 at ASBN OCP, Sijua Area.]","[Repairing of platform, platform base, brackets, railing guard and both side ladder, rep. of leakage from bucket cylinder of BE1000-1 Hyd. Shovel Sl. No. 10222 at ASBN OCP, Sijua Area.]
																				[BCCL/SA/EXCV/ETENDER/25-26/53][2025_BCCL_344941_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SdY9m3NtXy2e3uraOQ6g91w%3D%3D,Bharat Coking Coal Limited||BCCL_SIJUA AREA
3,1,29-Sep-2025 03:00 PM,29-Oct-2025 10:00 AM,30-Oct-2025 10:00 AM,"[Developing cluster value-chain-based economic livelihood development programme,  including preparation of Detailed Project Reports (DPRs) and implementation of the selected  DPR(s)]","[Developing cluster value-chain-based economic livelihood development programme,  including preparation of Detailed Project Reports (DPRs) and implementation of the selected  DPR(s)]
																				[JMP/Livelihood/2025-2026/ 02][2025_BCCL_344923_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S23KPPz2RDhsTVN0nJIodhQ%3D%3D,Bharat Coking Coal Limited||BCCL-Hqrs||HQ_JMP
4,1,29-Sep-2025 03:00 PM,13-Oct-2025 11:00 AM,14-Oct-2025 11:00 AM,"[Repairing of railing guard, operator cabin, tie rod and safety glass fitting in Water Sprinkler Sl. No. 28236 at BOCP, Sijua Area.]","[Repairing of railing guard, operator cabin, tie rod and safety glass fitting in Water Sprinkler Sl. No. 28236 at BOCP, Sijua Area.]
																				[BCCL/SA/EXCV/ETENDER/25-26/56][2025_BCCL_344949_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SVqyCU%2BDMiP0%2F9OHLThqpQQ%3D%3D,Bharat Coking Coal Limited||BCCL_SIJUA AREA
5,1,29-Sep-2025 03:00 PM,13-Oct-2025 11:00 AM,14-Oct-2025 11:00 AM,"[Repairing of center pin damaged hole new changing arm pin of TATA loader Reg. No. JH10AH-6488 Model 3036 at Sendra auto Workshop, Sijua Area]","[Repairing of center pin damaged hole new changing arm pin of TATA loader Reg. No. JH10AH-6488 Model 3036 at Sendra auto Workshop, Sijua Area]
																				[BCCL/SA/EXCV/ETENDER/25-26/54][2025_BCCL_344945_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SaheGyOxz1T7VkQj6aw8YZQ%3D%3D,Bharat Coking Coal Limited||BCCL_SIJUA AREA
6,1,29-Sep-2025 02:00 PM,10-Oct-2025 05:00 PM,11-Oct-2025 10:00 AM,"[(A) 550V, 400A GEC make pumping controlling switch. ]","[(A) 550V, 400A GEC make pumping controlling switch. ]
																				[ECL/GM/MA/E and M/25-26/eTender/17   Dt. 27.09.2025][2025_ECL_344928_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SWK9rH5jkR%2BZP85K%2F%2BEZmHw%3D%3D,Eastern Coalfields Limited||ECL_Mugma area
7,1,29-Sep-2025 02:00 PM,11-Oct-2025 06:00 PM,13-Oct-2025 11:00 AM,"[Complete Rewinding and  Repairing of 200KVA  (11KV/440V) Lighting  Transformer GEC makes  serial No. PRM/200 at  Nagada Sub Station,  Bhatdee Colliery of  Mahuda Group]","[Complete Rewinding and  Repairing of 200KVA  (11KV/440V) Lighting  Transformer GEC makes  serial No. PRM/200 at  Nagada Sub Station,  Bhatdee Colliery of  Mahuda Group]
																				[BCCL/WJA/AM(ENM)/25-26/RP-67][2025_BCCL_344937_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SdmwFMeHK1N%2FkI7ZKtF%2BoGA%3D%3D,Bharat Coking Coal Limited||BCCL_WJ AREA
8,1,29-Sep-2025 02:00 PM,10-Oct-2025 05:00 PM,11-Oct-2025 10:00 AM,"[JOB (1) Workshop related Mechanical repairing job of pump parts i.e. shaft welding, balance valve, bearing bushing, gland making, NR valve and other E and M related to E and M at ROCP, Mugma Area, ECL.]","[JOB (1) Workshop related Mechanical repairing job of pump parts i.e. shaft welding, balance valve, bearing bushing, gland making, NR valve and other E and M related to E and M at ROCP, Mugma Area, ECL.]
																				[ECL/GM/MA/E and M/25-26/eTender/16 Dt. 25.09.2025][2025_ECL_344707_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sj5W%2BV52hK9myZLZr8kT8Mg%3D%3D,Eastern Coalfields Limited||ECL_Mugma area
9,1,29-Sep-2025 01:00 PM,10-Oct-2025 10:00 AM,11-Oct-2025 11:00 AM,[Providing steps and repairing approach of pond situated at Saradhu under Magadh OCP of Magadh-Sanghmitra Area.],"[Providing steps and repairing approach of pond situated at Saradhu under Magadh OCP of Magadh-Sanghmitra Area.]
																				[GMMS/SOC/Tender/25-26/36/582][2025_CCL_344876_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SgpB714OnGB5zGIXX8Z5dYA%3D%3D,Central Coalfields Limited||Magadh and Amrapali
10,1,29-Sep-2025 12:00 PM,06-Oct-2025 05:00 PM,07-Oct-2025 11:00 AM,"[Day-to-day diversion, shifting and extension of LT overhead Lines of East and West Section Quarry (Old Dipka, Malgaon, Upper and Lower Kusmunda etc) for a period of 60 days at Dipka Expansion Project.]","[Day-to-day diversion, shifting and extension of LT overhead Lines of East and West Section Quarry (Old Dipka, Malgaon, Upper and Lower Kusmunda etc) for a period of 60 days at Dipka Expansion Project.]
																				[SECL/GM/DA/SO(EnM)/ e-tender/25-26/95 dtd-27/09/25][2025_SECL_344900_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SbPGEvEGxe%2Fwkd85pHQi4hQ%3D%3D,South Eastern Coalfields Limited||Dipika Area
11,1,29-Sep-2025 11:00 AM,06-Oct-2025 06:00 PM,08-Oct-2025 11:00 AM,[Fabrication repairing of hydraulic tank and its mounting diesel tank and its mounting and bracket replacement belt rope and adjusting pulley and repairing radiator cage repairing of hydraulic oil cooler assembly of hydraulic shovel CK300 Sl No B695 n],"[Fabrication repairing of hydraulic tank and its mounting diesel tank and its mounting and bracket replacement belt rope and adjusting pulley and repairing radiator cage repairing of hydraulic oil cooler assembly of hydraulic shovel CK300 Sl No B695 n]
																				[PE(X)/TTK Excv/Tend/25-26/22][2025_CCL_344904_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sii5vGyOSNBrlOsuct4nF%2Bw%3D%3D,Central Coalfields Limited||Rajhara
12,1,29-Sep-2025 11:00 AM,10-Oct-2025 05:00 PM,11-Oct-2025 11:00 AM,[Making Embankment on either side of concrete pavement including painting on grills walls and Kerb wall etc inside CEWS Gevra],"[Making Embankment on either side of concrete pavement including painting on grills walls and Kerb wall etc inside CEWS Gevra]
																				[SECL/CEWS/SO(C)/ETN /25-26/02, Dt. - 26.09.2025][2025_SECL_343452_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SWJn8XVwoRRwrPA9nu%2BEB%2Fw%3D%3D,"South Eastern Coalfields Limited||Central Work Shop, Gevra"
13,1,29-Sep-2025 11:00 AM,06-Oct-2025 06:00 PM,08-Oct-2025 11:00 AM,[Repairing replacement of tierod assembly steering control valve assembly replacement of 04 nos rear tyres denting and fabrication of railing ladder platform and replacement of window pane of cabin assembly of dumper Sl No 61073 under TTK OCP Rajhara ],"[Repairing replacement of tierod assembly steering control valve assembly replacement of 04 nos rear tyres denting and fabrication of railing ladder platform and replacement of window pane of cabin assembly of dumper Sl No 61073 under TTK OCP Rajhara ]
																				[PE(X)/TTK Excv/Tend/25-26/21][2025_CCL_344903_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SF%2BPYeGqcB5hV43TNeQURpw%3D%3D,Central Coalfields Limited||Rajhara
14,1,29-Sep-2025 11:00 AM,15-Oct-2025 05:00 PM,17-Oct-2025 11:00 AM,[Renovation and maintenance of KV school building at AHQ of Baikunthpur Area],"[Renovation and maintenance of KV school building at AHQ of Baikunthpur Area]
																				[SECL /BKP/ DGM(C) / e-T / 51][2025_SECL_344730_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S%2BUlU%2FyZEUk7yoI%2FgyGy4oQ%3D%3D,South Eastern Coalfields Limited||Baikunthpur Area
