Serial Number,Tender ID,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_UTDNH_7736_1,[Repair and maintenance work to existing Primary School building at Masat Panchayat DNH 2025-26],26-Sep-2025 06:55 PM,UT Administration of Dadra and Nagar Haveli||District Panchayat - UTDNH||PWD III Irrigation Division - UTDNH,06-Oct-2025 02:30 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SaaL41pvOXnIsrT31DxDXKQ%3D%3D
2,2025_UTDNH_7700_1,[Integrated Infrastructure Project Under Silvassa Smart City Limited Construction of CC Roads Phase-4.],12-Sep-2025 03:00 PM,UT Administration of Dadra and Nagar Haveli||Public Works Department - UTDNH,02-Oct-2025 12:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S5M%2BnC0cjYdmvvdaxySPgPQ%3D%3D
3,2025_UTDNH_7725_1,[Annual Maintenance Contract for Chlorination work of Water Treatment Plant (WTP) in DNH],25-Sep-2025 12:00 PM,UT Administration of Dadra and Nagar Haveli||District Panchayat - UTDNH||PWD III Irrigation Division - UTDNH,03-Oct-2025 02:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SPLLhbD1%2B7PEgk%2FxkG88VUw%3D%3D
4,2025_UTDNH_7739_1,[Repair and maintenance work to existing Primary School building at Sayli Panchayat DNH 2025-26],27-Sep-2025 09:00 AM,UT Administration of Dadra and Nagar Haveli||District Panchayat - UTDNH||PWD III Irrigation Division - UTDNH,06-Oct-2025 02:30 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S%2BUCHXceQFeHEPapeB20apw%3D%3D
5,2025_UTDNH_7728_1,"[Proposal for Pit Extension of Lift in Basement of Academic Block at Namo Medical Education and Resaerch Institute, Silvassa (4th  Call)]",25-Sep-2025 06:00 PM,UT Administration of Dadra and Nagar Haveli||Public Works Department - UTDNH,03-Oct-2025 02:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SXoRZSq2%2FXuumydR1AXxN1g%3D%3D
6,2025_UTDNH_7699_1,[Integrated Infrastructure Project Under Silvassa Smart City Limited Construction of CC Roads Phase-3.],12-Sep-2025 03:00 PM,UT Administration of Dadra and Nagar Haveli||Public Works Department - UTDNH,02-Oct-2025 12:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SLMncyLq7laZpY%2BtfknFlNA%3D%3D
7,2025_UTDNH_7678_1,[Establishment of 2 x20 MVA 66/11kV Gas insulated Substation (GIS) at village Chinchpada (Dapada) U.T. of DNH and DD],29-Aug-2025 06:55 PM,UT Administration of Dadra and Nagar Haveli||DNH Power Distribution Corporation LTD - UTDNH||Off.of Exec.engineer-Power Distribution corp-UTDNH,06-Oct-2025 01:00 PM,https://dnhtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SvETm9sWw1hbyo1G%2BOJTSUA%3D%3D
8,2025_UTDNH_7714_1,[PPP in Education (Adoption Model - Sindoni)],22-Sep-2025 03:00 PM,UT Administration of Dadra and Nagar Haveli||Education Department - UTDNH||Directorate of Education - UTDNH,13-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SzxVmojFCbnMscBABV6KIwg%3D%3D
9,2025_UTDNH_7719_1,"[Agency for Organizing Awareness Workshop, Capacity Building and Vendor Development Program under RAMP Scheme  ]",24-Sep-2025 06:40 PM,UT Administration of Dadra and Nagar Haveli||Industry - UTDNH||G.M District Industries Centre DNH-Silvassa-UTDNH,14-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SWWQFnpRrLdm%2FRoqBBOcsOg%3D%3D
10,2025_UTDNH_7733_1,[Repair and maintenance work to existing Primary School building at Kharadpada Panchayat DNH 2025-26],26-Sep-2025 06:55 PM,UT Administration of Dadra and Nagar Haveli||District Panchayat - UTDNH||PWD III Irrigation Division - UTDNH,06-Oct-2025 02:30 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SweSdiSsxp3rV8j1SUjYmuQ%3D%3D
