Serial Number,Tender ID,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_DAMAN_4473_1,"[Construction of Academic building with development of site MEP, ELV, FFTG, HVAC and Solar system for Nursing College near Government Hospital at Marwad, Daman District.(5th call)]",22-Sep-2025 04:30 PM,Daman District||Public Works Department - Daman||Executive Engineer-PWD - Daman,13-Oct-2025 02:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=STIstD%2BmL%2BZMaqh7kCoOKyQ%3D%3D
2,2025_DAMAN_4439_1,"[SUPPLY, INSTALLATION, TESTING AND COMISSIONING OF SECURITY EQUIPMENTS AND BAGGAGE HANDLING SYSTEM WORKS AT PASSENGER TERMINAL BUILDING, NEAR COAST GUARD AIR STATION, DAMAN. (3rd call)]",03-Sep-2025 04:15 PM,Daman District||Public Works Department - Daman||Executive Engineer-PWD - Daman,30-Sep-2025 02:00 PM,https://ddtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SLU4JPg0ZckEyUuWca%2Bdp4w%3D%3D
3,2025_DAMAN_4470_1,"[Construction of Hume pipe Gutter from Manishben Jayesh Patel Shop to Ganesh Ramu Patel House at Vachla Falia Patlara, In Patlara Gram Panchayat, Moti Daman.(8th Call)]",22-Sep-2025 05:00 PM,Daman District||Public Works Department - Daman||EE-PWD-SD-III-Dist. Panchayat-Dholar Moti Daman,07-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SEmzVLA4CpV1OOnbX6%2FwZWA%3D%3D
4,2025_DAMAN_4440_1,"[RFP FOR PROVISION, OPERATION AND MANAGEMENT OF SMART BICYCLES ON RENTAL BASIS IN DAMAN DISTRICT]",03-Sep-2025 05:30 PM,Daman District||Tourism Department - Daman||Dy. Director of Tourism-Nani - Daman,30-Sep-2025 06:00 PM,https://ddtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SavIKTEEzJm7cydkoN3maow%3D%3D
5,2025_DAMAN_4460_1,"[RFP for Selection of an agency for operation and maintenance of Hotel property at Night Market, Chhapli Sheri, Nani Daman]",19-Sep-2025 05:00 PM,Daman District||Tourism Department - Daman||Dy. Director of Tourism-Nani - Daman,02-Oct-2025 06:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SPAc6mid6RtIup1ZP2l8KIA%3D%3D
6,2025_DAMAN_4464_1,"[Construction of Hume pipe Gutter from Patlara Costal Highway to Mar Falia Community Hall , In Patlara Gram Panchayat, Moti Daman.(8th Call)]",22-Sep-2025 05:00 PM,Daman District||Public Works Department - Daman||EE-PWD-SD-III-Dist. Panchayat-Dholar Moti Daman,07-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SoQLUq6bCBPnK83KXw16Xrw%3D%3D
7,2025_DAMAN_4477_1,[Selection of a Consultancy firm to provide programme management services for Atal Mission for Rejuvination and Urban Transformation 2.0 (AMRUT 2.0).],25-Sep-2025 06:10 PM,Daman District||Municipal Council - Daman||CO-Daman Municipal Council-Moti - Daman,01-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S23sZ8USoN4If2ffgc2A%2FuA%3D%3D
8,2025_DAMAN_4457_1,"[RFP FOR LICENSING OUT GOVERNMENT LAND FOR DEVELOPMENT, OPERATION AND MAINTENANCE OF A PREMIUM HOTEL/RESORT ON NAMOPATH SEAFRONT, DAMAN]",18-Sep-2025 11:30 AM,Daman District||Tourism Department - Daman||Dy. Director of Tourism-Nani - Daman,08-Oct-2025 06:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SfbJtpY4q8r%2FiPSwrkFqwrw%3D%3D
9,2025_DAMAN_4447_1,"[Resurfacing of Roads incl. Milling and BC, Road Furniture and Allied Works on Various Roads in Daman District (28.95 Km).]",08-Sep-2025 06:15 PM,Daman District||Public Works Department - Daman||Executive Engineer-PWD - Daman,03-Oct-2025 02:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SlBSaSn8gCNzIotLk%2BnXAPg%3D%3D
10,2025_DAMAN_4463_1,"[Construction of Culvert at Chadav Falia, Magarwada, Moti Daman. (4th Call)]",22-Sep-2025 05:00 PM,Daman District||Public Works Department - Daman||EE-PWD-SD-III-Dist. Panchayat-Dholar Moti Daman,07-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SKCUKMDu3n%2B3WSHNhKx4rdw%3D%3D
11,2025_DAMAN_4466_1,"[Construction  of Hume pipe Gutter from Vatsaalya School to Boriya Talav , In Patlara Gram Panchayat, Moti Daman.(8th Call)]",22-Sep-2025 05:00 PM,Daman District||Public Works Department - Daman||EE-PWD-SD-III-Dist. Panchayat-Dholar Moti Daman,07-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S9ZAsW%2Brg6EMoRjMfMPq18Q%3D%3D
12,2025_DIUDT_4456_1,"[Providing, levelling, filling of Murrum etc for construction of Ground infront of Vadli Mata School, Vanakbara, Diu. (DPU-2351)-2call]",16-Sep-2025 01:45 PM,Diu District||Tourism Department - Diu,30-Sep-2025 04:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Ssn70I84nvSxZhRYftHPPog%3D%3D
13,2025_DAMAN_4479_1,"[RFP FOR SELECTION OF CONSULTING FIRM FOR ASSET MONETIZATION OF VARIOUS PROPERTIES OF DEPARTMENT OF TOURISM, UT OF DNH AND DD]",26-Sep-2025 06:15 PM,Daman District||Tourism Department - Daman||Dy. Director of Tourism-Nani - Daman,16-Oct-2025 06:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SJCwgusN4TRd6k9rJivRS%2Fw%3D%3D
14,2025_DAMAN_4465_1,"[Construction of R.C.C. culvert at Amratbhai Lallubhai Patel House in Patlara Gram Panchayat, Moti Daman.(8th Call)]",22-Sep-2025 05:00 PM,Daman District||Public Works Department - Daman||EE-PWD-SD-III-Dist. Panchayat-Dholar Moti Daman,07-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SDoc2XiMlXyHfgjvRae%2BIaA%3D%3D
15,2025_DAMAN_4474_1,"[Write off of Govt. Quarters at College Campus, Nani Daman. (8th call]",22-Sep-2025 05:00 PM,Daman District||Public Works Department - Daman||Executive Engineer-PWD - Daman,30-Sep-2025 02:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sx12qBoYWj97XYHU2J7KLdA%3D%3D
16,2025_DAMAN_4458_1,"[Design, Construction, Operation and Maintenance of Sports Activity at Adventure Park, Jumprin, Moti Daman. (4th Call)]",18-Sep-2025 04:30 PM,Daman District||Public Works Department - Daman||Executive Engineer-PWD - Daman,03-Oct-2025 02:00 PM,https://ddtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SmKR0mX942bL9Wpj1t0YQPQ%3D%3D
17,2025_DAMAN_4480_1,[Providing and installation of LED Screen at Multilevel Parking  Night Market  Nani Daman.],26-Sep-2025 12:30 PM,Daman District||Municipal Council - Daman||CO-Daman Municipal Council-Moti - Daman,01-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S3y%2BPDZj4nCWldDCnZzoLHQ%3D%3D
