Serial Number,Tender ID,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_PWD_278504_1,"[EOR to Central Jail No. 6, Tihar, New Delhi. SH- Repair/replacement of damaged false ceiling, wall paneling and internal portion of slab and waterproofing of mulakat jungla in Central Jail No. 6.]",22-Sep-2025 03:00 PM,Public Works Department||CE (J P) / SE (J P)||EE (JCD)-6,03-Oct-2025 03:00 PM,https://govtprocurement.delhi.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SU8lmxonU2hcy%2BHNg9apwSg%3D%3D
2,2025_DJB_278799_11,[NIT No. 14 (EnM) Item No. 11],26-Sep-2025 02:30 PM,Delhi Jal Board||Delhi Jal Board||EE (E and M) M-8,01-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SkodmOSu2VqfqhLEgI2Rb3g%3D%3D
3,2025_DUSIB_278825_1,[EIUS-Capital],26-Sep-2025 05:00 PM,Delhi Urban Shelter Improvement Board||Engineering Department||SE-III||DD-VI,03-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SpvYkxLgwWLlkvCYsIGgyqQ%3D%3D
4,2025_DJB_278901_5,[NIT No. 13(2025-26)M-4 ITEM No. 05],27-Sep-2025 06:55 PM,Delhi Jal Board||Delhi Jal Board||EE (E and M) M-3,04-Oct-2025 11:15 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SOD6aYD3uX4Vtm%2FGGvetWdg%3D%3D
5,2025_PWD_278791_1,[RMO Wetriser Sprinkler System Fire Alarm System PA  System UPS System Digital Exchange  Fountain in Chhatrasal Stadium Model Town Delhi. SH Annual Comprehensive Maintenance of Microprocessor based Addressable Fire Alarm System],26-Sep-2025 01:00 PM,Public Works Department||CE/SE/M3-M35||EE/M352,03-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S7EwjsEMzC53vy7Bm6Hnrbw%3D%3D
6,2025_DJB_278740_7,[NIT NO-10 ITEM NO-07],25-Sep-2025 06:55 PM,Delhi Jal Board||Delhi Jal Board||EE (E and M) M-5,01-Oct-2025 11:30 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S6s7LoWlNv%2FARhTi7OiTotQ%3D%3D
7,2025_DJB_278875_6,[NIT No. 33(2025-26) Item No. 6],27-Sep-2025 05:00 PM,Delhi Jal Board||Delhi Jal Board||EE (Civil) - 15,06-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sddsc308HUh9Nqg9svjzWJw%3D%3D
8,2025_DUSIB_278734_1,[Name of Work GIA to DUSIB],25-Sep-2025 03:00 PM,Delhi Urban Shelter Improvement Board||Engineering Department||SE-I||DD-I,06-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S8qBpC3n4%2FC%2BDj4Z9hYn97Q%3D%3D
9,2025_DJB_276811_1,"[Construction of 3 Nos. of Decentralized STP and SPS at Galibpur, Sarangpur and Shikarpur along with other associated / allied appurtenant work on  under Najafgarh drainage Zone, Delhi, along with 15 years OnM including two years DLP (Package 1)]",14-Aug-2025 03:00 PM,Delhi Jal Board||Delhi Jal Board||EE(C) DR- XV,09-Oct-2025 03:00 PM,https://govtprocurement.delhi.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SHNs18%2B%2BzUk8Y4X%2FHMpB48g%3D%3D
10,2025_ICSIL_278741_1,"[Appointment of Consultant for EPF, EPS and ESIC related work of ICSIL]",25-Sep-2025 02:00 PM,Intelligent Communication Systems India Ltd,15-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SMXuFqZlBkW5qnT4iMLwIKw%3D%3D
