Serial Number,Tender ID,Page Number,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_DUSIB_278917_1,1,[EIUS(Revenue)],29-Sep-2025 03:00 PM,Delhi Urban Shelter Improvement Board||Engineering Department||SE-III||DD-V,09-Oct-2025 03:00 PM,https://govtprocurement.delhi.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=ShsRSVvPhtYG8YvIkl6e6%2Fw%3D%3D
2,2025_PWD_278922_1,1,[RMO Elect and Mech Services at UTCS Building Vishwas Nagar Delhi under Sub Div 1 M 2511 Delhi],29-Sep-2025 02:00 PM,Public Works Department||CE/SE/M2-M25||EE/M251,06-Oct-2025 03:00 PM,https://govtprocurement.delhi.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SeXP%2FkE41myweCgYFWbX06g%3D%3D
3,2025_IFC_278877_1,1,[Construction of Temporary Chhat Puja Ghat at Various Places in Janakpuri Assembly Constituency (AC-30) for the year 2025-26.],27-Sep-2025 03:00 PM,Irrigation and Flood Control||ZONE-I||Flood Circle-IV||Civil Division-I,03-Oct-2025 03:00 PM,https://govtprocurement.delhi.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SsjowLSUgk6cA96eU6Evd4A%3D%3D
4,2025_IFC_278872_1,1,"[Repair of existing boundary wall at Shubham apartment, DDA Pocket-4, Sector-12, Dwarka in Matiala Assembly Constituency AC-34.]",27-Sep-2025 03:00 PM,Irrigation and Flood Control||ZONE-I||Flood Circle-IV||Civil Division-I,03-Oct-2025 03:00 PM,https://govtprocurement.delhi.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SFTaWPxpjKJnFTbI6AciiOw%3D%3D
5,2025_IFC_278878_1,1,"[Construction of Temporary Chhat Puja Ghat at Various Places in Dwarka Assembly Constituency (AC-33) and Palam Assembly Constituency, (AC-37) for the year 2025-26.]",27-Sep-2025 03:00 PM,Irrigation and Flood Control||ZONE-I||Flood Circle-IV||Civil Division-I,03-Oct-2025 03:00 PM,https://govtprocurement.delhi.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SrrQN%2BJSm7E1GaZ6XUQaUmQ%3D%3D
6,2025_DJB_278821_3,1,[Short NIT No.03/EE(C)-29/2025-26/Item No. 03],26-Sep-2025 06:00 PM,Delhi Jal Board||Delhi Jal Board||EE (Civil) - 29,03-Oct-2025 03:00 PM,https://govtprocurement.delhi.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SGu6yv4q0pE99ZYNyNn3EQQ%3D%3D
7,2025_DJB_278821_2,1,[Short NIT No.03/EE(C)-29/2025-26/Item No. 02],26-Sep-2025 06:00 PM,Delhi Jal Board||Delhi Jal Board||EE (Civil) - 29,03-Oct-2025 03:00 PM,https://govtprocurement.delhi.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S1ax3AEzgNovBhRF8iee2tw%3D%3D
8,2025_DJB_278821_1,1,[Short NIT No.03/EE(C)-29/2025-26/Item No. 01],26-Sep-2025 06:00 PM,Delhi Jal Board||Delhi Jal Board||EE (Civil) - 29,03-Oct-2025 03:00 PM,https://govtprocurement.delhi.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S0r6vKMP6cZs%2F2AAi6rUcZA%3D%3D
9,2025_DJB_278799_3,1,[NIT No. 14 (EnM) Item No. 3],26-Sep-2025 02:00 PM,Delhi Jal Board||Delhi Jal Board||EE (E and M) M-8,01-Oct-2025 03:00 PM,https://govtprocurement.delhi.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SpowSKhshh7YxNjmsduy6dg%3D%3D
10,2025_IFC_278789_1,1,"[Development of park with EPDM Flooring, C C etc at Basaidarapur in Moti Nagar Assembly Consitituency 25]",26-Sep-2025 02:00 PM,Irrigation and Flood Control||ZONE-II||Flood Circle-III||Civil Division-II,06-Oct-2025 03:00 PM,https://govtprocurement.delhi.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sg1GBfLansTzsOt1rN0dKKg%3D%3D
11,2025_DJB_278799_2,1,[NIT No. 14 (EnM) Item No. 2],26-Sep-2025 02:00 PM,Delhi Jal Board||Delhi Jal Board||EE (E and M) M-8,01-Oct-2025 03:00 PM,https://govtprocurement.delhi.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SvDuFbzJgahbJNUH8Y%2BsurQ%3D%3D
12,2025_NLUD_278784_1,1,[Civil work],26-Sep-2025 10:25 AM,National Law University Delhi,03-Oct-2025 01:00 PM,https://govtprocurement.delhi.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SuhB8Okloc1ASrY%2Bygi6VmA%3D%3D
