S.No,Page No,e-Published Date,Closing Date,Opening Date,Title,TenderID,Link,Organisation Chain
21,2,29-Sep-2025 09:00 AM,04-Oct-2025 03:00 PM,04-Oct-2025 03:30 PM,[Repairing of heavy leakage in 450 mm / 300 mm dia water line  opposite A-38 Vivek Vihar Phase 2 on Vishkarma Nagar Road in ward 216 AC-62 in EE(C)-04.],"[Repairing of heavy leakage in 450 mm / 300 mm dia water line  opposite A-38 Vivek Vihar Phase 2 on Vishkarma Nagar Road in ward 216 AC-62 in EE(C)-04.]
																				[NIT No. 05 (2025-26) Civil-4][2025_DJB_278914_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SRBwNeF2yjql%2BnpYkI1kIaw%3D%3D,Delhi Jal Board||Delhi Jal Board||EE (Civil) - 4
22,2,29-Sep-2025 09:00 AM,04-Oct-2025 03:00 PM,04-Oct-2025 03:30 PM,"[Replacement of old and damaged 250 mm dia RCC sewer line with 300 mm dia SN8 sewer line in Gali no. 12, Shanker Nagar Extension and its adjoining areas, in ward no. 214, in AC-61, Gandhi Nagar, under EE (C-04)]","[Replacement of old and damaged 250 mm dia RCC sewer line with 300 mm dia SN8 sewer line in Gali no. 12, Shanker Nagar Extension and its adjoining areas, in ward no. 214, in AC-61, Gandhi Nagar, under EE (C-04)]
																				[NIT No. 05 (2025-26) Civil-4][2025_DJB_278914_4]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SF%2FxkL%2BS130yT4d1eTa7Qew%3D%3D,Delhi Jal Board||Delhi Jal Board||EE (Civil) - 4
23,2,27-Sep-2025 06:55 PM,03-Oct-2025 03:00 PM,03-Oct-2025 03:30 PM,[NIT No.09(2025-26)EE(C)-26 Item No_01],"[NIT No.09(2025-26)EE(C)-26 Item No_01]
																				[NIT No. 09(2025-26)EE(C)-26][2025_DJB_278904_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S7h5gGzV2ozFk9Y7HP4qAbA%3D%3D,Delhi Jal Board||Delhi Jal Board||EE (Civil) - 26
24,2,27-Sep-2025 06:55 PM,03-Oct-2025 03:00 PM,03-Oct-2025 03:30 PM,"[RMO EandM Services at Delhi Sachivalaya, New Delhi Sachivalaya during 2025-26 SH SITC of 55 inch  smart TV at Various location in Delhi Sachivalaya building)]","[RMO EandM Services at Delhi Sachivalaya, New Delhi Sachivalaya during 2025-26 SH SITC of 55 inch  smart TV at Various location in Delhi Sachivalaya building)]
																				[DB/EE(E) PWD/M-253/2025-26][2025_PWD_278912_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SbX1QATxVfWTzArKpOuP%2B%2Bg%3D%3D,Public Works Department||CE/SE/M2-M25||EE/M253
25,2,27-Sep-2025 06:55 PM,03-Oct-2025 03:00 PM,03-Oct-2025 03:30 PM,[NIT No.09(2025-26)EE(C)-26 Item No_02],"[NIT No.09(2025-26)EE(C)-26 Item No_02]
																				[NIT No. 09(2025-26)EE(C)-26][2025_DJB_278904_2]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SLhnKllLFI788wElILFrjlA%3D%3D,Delhi Jal Board||Delhi Jal Board||EE (Civil) - 26
26,2,27-Sep-2025 06:55 PM,04-Oct-2025 03:00 PM,04-Oct-2025 03:30 PM,"[EOR to Deep Chand Bandhu Hospital at Kokiwala Bagh, Ashok Vihar, New Delhi during 2025-26. (SH- Providing and fixing uPVC Pipe for AC water, providing of drainage pipe in Basement and Strengthening of security measures at De-addiction center).]","[EOR to Deep Chand Bandhu Hospital at Kokiwala Bagh, Ashok Vihar, New Delhi during 2025-26. (SH- Providing and fixing uPVC Pipe for AC water, providing of drainage pipe in Basement and Strengthening of security measures at De-addiction center).]
																				[23/EE/HMD(North)/PWD/2025-26 (Recall)][2025_PWD_278883_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SZTYUhx4S7dkju%2BxWOr6uZg%3D%3D,Public Works Department||CE/SE/M3-M33||EE/M332(N)
27,2,27-Sep-2025 06:55 PM,04-Oct-2025 11:15 AM,04-Oct-2025 11:30 AM,[NIT No. 13(2025-26)M-4 ITEM No. 12],"[NIT No. 13(2025-26)M-4 ITEM No. 12]
																				[NIT No. 13(2025-26)M-4][2025_DJB_278901_12]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SFknhV3ebKlSDTe0CxFDz7A%3D%3D,Delhi Jal Board||Delhi Jal Board||EE (E and M) M-3
28,2,27-Sep-2025 06:55 PM,04-Oct-2025 11:15 AM,04-Oct-2025 11:30 AM,[NIT No. 13(2025-26)M-4 ITEM No. 11],"[NIT No. 13(2025-26)M-4 ITEM No. 11]
																				[NIT No. 13(2025-26)M-4][2025_DJB_278901_11]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SNIZZZJL4MROnAFsohZBJTA%3D%3D,Delhi Jal Board||Delhi Jal Board||EE (E and M) M-3
29,2,27-Sep-2025 06:55 PM,04-Oct-2025 11:15 AM,04-Oct-2025 11:30 AM,[NIT No. 13(2025-26)M-4 ITEM No. 10],"[NIT No. 13(2025-26)M-4 ITEM No. 10]
																				[NIT No. 13(2025-26)M-4][2025_DJB_278901_10]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Smjm520vb66ynxKdfhhm6aw%3D%3D,Delhi Jal Board||Delhi Jal Board||EE (E and M) M-3
30,2,27-Sep-2025 06:55 PM,04-Oct-2025 11:15 AM,04-Oct-2025 11:30 AM,[NIT No. 13(2025-26)M-4 ITEM No. 09],"[NIT No. 13(2025-26)M-4 ITEM No. 09]
																				[NIT No. 13(2025-26)M-4][2025_DJB_278901_9]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SUWHLipOWmN%2FXaZYttk0xLg%3D%3D,Delhi Jal Board||Delhi Jal Board||EE (E and M) M-3
31,2,27-Sep-2025 06:55 PM,04-Oct-2025 11:15 AM,04-Oct-2025 11:30 AM,[NIT No. 13(2025-26)M-4 ITEM No. 08],"[NIT No. 13(2025-26)M-4 ITEM No. 08]
																				[NIT No. 13(2025-26)M-4][2025_DJB_278901_8]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SICo8OnBhABATJniNYoZ6RQ%3D%3D,Delhi Jal Board||Delhi Jal Board||EE (E and M) M-3
