Serial Number,Tender ID,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_GRSE_98161_1,[SCC/AKD/OT/FEASIBILITY STUDY/139/ET-3293],19-Sep-2025 04:45 PM,Garden Reach Shipbuilders and Engineers Ltd.||Main Unit - GRSE||Contract Cell - GRSE,10-Oct-2025 04:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SryovFlocrHAi%2F5sDhqxglA%3D%3D
2,2025_GRSE_98160_1,[NCM/AKB/ST/Washing Machine/ASWSWC/ET-3294],19-Sep-2025 04:30 PM,Garden Reach Shipbuilders and Engineers Ltd.||Main Unit - GRSE||NCM Dept. - GRSE,03-Oct-2025 12:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SmgOMmHhya2294kegFfgddQ%3D%3D
3,2025_GRSE_98154_1,[CSB/PKS/ORV/OT/Modular Accommodation/RA-3291],19-Sep-2025 11:30 AM,Garden Reach Shipbuilders and Engineers Ltd.||Commercial Ship Building-GRSE,10-Oct-2025 12:00 PM,https://eprocuregrse.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SnkHYn5RCb3uENRVB7w3wOQ%3D%3D
4,2025_GRSE_97550_1,[CSB/NC/ARV/LT/IMP/DYNAMIC POSITIONING SYS/ET-3203],06-Jun-2025 06:15 PM,Garden Reach Shipbuilders and Engineers Ltd.||Commercial Ship Building-GRSE,07-Oct-2025 12:00 PM,https://eprocuregrse.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Ss4Clzg5omC8%2FJ5IqZLhA1g%3D%3D
5,2025_GRSE_98031_1,[SCC/AKD/OT(Web)/AL SEATS/070/ET-3278],28-Aug-2025 05:30 PM,Garden Reach Shipbuilders and Engineers Ltd.||Main Unit - GRSE||Contract Cell - GRSE,04-Oct-2025 06:00 PM,https://eprocuregrse.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SPFVXY%2B2jy65YFUZ%2FzIHdeg%3D%3D
6,2025_GRSE_98206_1,[NCM/IMP/RKS/LT/NEPHELOMETER/ ORV/3041/ET-3301],24-Sep-2025 06:25 PM,Garden Reach Shipbuilders and Engineers Ltd.||Main Unit - GRSE||NCM Dept. - GRSE,08-Oct-2025 12:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SlVpXDhWBsFIsqiQ%2Fw%2FiIuQ%3D%3D
7,2025_GRSE_98128_1,[SCC/KKC/OT/AIR LINE WATER LINE WORK/135/ET-3287],15-Sep-2025 04:30 PM,Garden Reach Shipbuilders and Engineers Ltd.||Main Unit - GRSE||Contract Cell - GRSE,07-Oct-2025 12:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sjv1A%2Fs6mkpTNZ6scLHXpMQ%3D%3D
8,2025_GRSE_98121_1,[SCC/AKD/ST/CLASSIFICATION SURVEY/MPV/129/ET-3285],13-Sep-2025 11:00 AM,Garden Reach Shipbuilders and Engineers Ltd.||Main Unit - GRSE||Contract Cell - GRSE,04-Oct-2025 06:00 PM,https://eprocuregrse.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sscr6mZ208KEVvve2CrZKjQ%3D%3D
9,2025_GRSE_97964_1,[NCM/RKS/LT/COLD INCUBATOR/ET-3271],13-Aug-2025 11:30 AM,Garden Reach Shipbuilders and Engineers Ltd.||Main Unit - GRSE||NCM Dept. - GRSE,07-Oct-2025 12:00 PM,https://eprocuregrse.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SaINRf7sUD3nMuic8flEp1Q%3D%3D
10,2025_GRSE_98220_1,[NCM/IMP/ADA/ST/Dummy Feet Fasteners Seal/ET-3302],26-Sep-2025 01:00 PM,Garden Reach Shipbuilders and Engineers Ltd.||Main Unit - GRSE||NCM Dept. - GRSE,07-Oct-2025 12:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SWfckGjMiwFq0YnSl%2FBc2mQ%3D%3D
11,2025_GRSE_98204_1,[DEP/VSM/IMP/ST/DIESEL ENGINE OBS/ARS/ET-3288],24-Sep-2025 05:10 PM,Garden Reach Shipbuilders and Engineers Ltd.||Main Unit - GRSE||NCM Dept. - GRSE,07-Oct-2025 12:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SNxJBROKVxj9dgWxF6JLYZA%3D%3D
12,2025_GRSE_98106_1,[NCM/ADA/IMP/ST/Rubber Bellows/ET-3284],10-Sep-2025 12:05 PM,Garden Reach Shipbuilders and Engineers Ltd.||Main Unit - GRSE||NCM Dept. - GRSE,08-Oct-2025 12:00 PM,https://eprocuregrse.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SDU%2FQRkaJL3R93jlGlycIFA%3D%3D
13,2025_GRSE_97924_1,[CSB/PK/MPV/IND/LT/ExhaustPipe Support/128/ET-3266],05-Aug-2025 04:45 PM,Garden Reach Shipbuilders and Engineers Ltd.||Commercial Ship Building-GRSE,08-Oct-2025 12:00 PM,https://eprocuregrse.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S%2BTRPdkbla%2BeDNMdiRSjzCA%3D%3D
14,2025_GRSE_97682_1,[NCM/RKS/IMP/LT/PCO2ANALYZER/AS P3/ET-3227],26-Jun-2025 10:45 AM,Garden Reach Shipbuilders and Engineers Ltd.||Main Unit - GRSE||NCM Dept. - GRSE,07-Oct-2025 12:00 PM,https://eprocuregrse.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SLXBGTX9v%2BRAreq0i70tsTQ%3D%3D
15,2025_GRSE_98186_1,[NCM/IMP/RKS/LT/Combined SVP CTD/ORV/3041/ET-3297],23-Sep-2025 10:00 AM,Garden Reach Shipbuilders and Engineers Ltd.||Main Unit - GRSE||NCM Dept. - GRSE,08-Oct-2025 12:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SEn3TsyBn4%2BSjYiDJFwm%2BPQ%3D%3D
16,2025_GRSE_98041_1,[SCC/AS/NIC/OT/Printing Activity/121/ET-3280],30-Aug-2025 01:30 PM,Garden Reach Shipbuilders and Engineers Ltd.||Main Unit - GRSE||Contract Cell - GRSE,07-Oct-2025 12:00 PM,https://eprocuregrse.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SVL%2BUbU8OHAYJB1cBTiEmEA%3D%3D
17,2025_GRSE_98156_1,[SCC/AKD/OT/PUMP HOUSE/141/ET-3292],19-Sep-2025 12:30 PM,Garden Reach Shipbuilders and Engineers Ltd.||Main Unit - GRSE||Contract Cell - GRSE,10-Oct-2025 04:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sv5A11gu2vAOnnpXvsCEGdw%3D%3D
18,2025_GRSE_98033_1,[CSB/PK/MPV/IMP/ST/Sludge Pump/134/ET-3277],29-Aug-2025 04:15 PM,Garden Reach Shipbuilders and Engineers Ltd.||Commercial Ship Building-GRSE,08-Oct-2025 12:00 PM,https://eprocuregrse.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SKQbwyjtpeUcQixh7Rk0G1w%3D%3D
19,2025_GRSE_98030_1,[NCM/IMP/RKS/ST/Fittings of HPWMS/P17A/ET-3276],27-Aug-2025 03:55 PM,Garden Reach Shipbuilders and Engineers Ltd.||Main Unit - GRSE||NCM Dept. - GRSE,07-Oct-2025 12:00 PM,https://eprocuregrse.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SXHqKQUcCXNF2udFgbdGF9A%3D%3D
20,2025_GRSE_97843_1,[NCM/RKS/IMP/ND/LT/Seismic/ ORV/ET-3254],22-Jul-2025 04:10 PM,Garden Reach Shipbuilders and Engineers Ltd.||GRSE Main - ND,08-Oct-2025 12:00 PM,https://eprocuregrse.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Slmc0G5BdNzV%2FaJfFaAwybA%3D%3D
21,2025_GRSE_98215_1,[SCC/AKD/ND/ST/INTEGRATED FACILITY/131/ET-3286],26-Sep-2025 10:00 AM,Garden Reach Shipbuilders and Engineers Ltd.||GRSE Main - ND,08-Oct-2025 12:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SZRf1Ds%2F727SXVv8g8WtUjg%3D%3D
22,2025_GRSE_98199_1,[SCC/DC/NIC/OT(P)/Sub Station/KPDD/126/ ET-3295],24-Sep-2025 02:00 PM,Garden Reach Shipbuilders and Engineers Ltd.||Main Unit - GRSE||Contract Cell - GRSE,15-Oct-2025 04:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SZYGLwg1HZs5JepWbIfGTQw%3D%3D
23,2025_GRSE_98183_1,[NCM/IMP/RKS/ST/ADCP LOWERED/ORV/3041/ET-3296],23-Sep-2025 10:00 AM,Garden Reach Shipbuilders and Engineers Ltd.||Main Unit - GRSE||NCM Dept. - GRSE,08-Oct-2025 12:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SfAlgapvNipUs2pCDpf9J3A%3D%3D
24,2025_GRSE_97621_1,[NCM/RKS/ST/CCN COUNTER/ET-3218],17-Jun-2025 09:40 AM,Garden Reach Shipbuilders and Engineers Ltd.||Main Unit - GRSE||NCM Dept. - GRSE,07-Oct-2025 12:00 PM,https://eprocuregrse.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SZ%2BJIncrfNXrr4b5VNjUNQA%3D%3D
25,2025_GRSE_97892_1,[CSB/PK/MPV/IMP/ST/Loading Computer/124/ET-3262],29-Jul-2025 05:15 PM,Garden Reach Shipbuilders and Engineers Ltd.||Commercial Ship Building-GRSE,07-Oct-2025 12:00 PM,https://eprocuregrse.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Ser03NG9ZckyfiUfVClwHVg%3D%3D
26,2025_GRSE_97568_1,[SCC/RM/LT/VESSEL CONSTRUCTION/045/ET-3211],10-Jun-2025 01:30 PM,Garden Reach Shipbuilders and Engineers Ltd.||GRSE Main - ND,31-Oct-2025 05:00 PM,https://eprocuregrse.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SLWV7POqK%2BQ%2Btg7F%2FL4%2FYhw%3D%3D
27,2025_GRSE_98177_1,[FIN/GI/BRI/ORV/3041/03],23-Sep-2025 04:30 PM,Garden Reach Shipbuilders and Engineers Ltd.||GRSE Main - ND,24-Oct-2025 02:00 PM,https://eprocuregrse.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SfV32KLG2s6rUi7l8x77oQw%3D%3D
