Serial Number,Tender ID,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_ZP_24800_1,[Supply of plastic Dustbins 240 litres to South Goa Zilla Panchayat],26-Sep-2025 06:00 PM,ZILLA PANCHAYATS||SOUTH GOA ZILLA PANCHAYAT||Technical Section,06-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SId7WDdkXBhCI9ffsqHxc2g%3D%3D
2,2025_MC_24568_1,"[Providing and laying P.C.C. and construction of drainage infront of Municipal Garage at Old Market, Fatorda in Ward No. 10 of Margao Municipal Council.]",16-Sep-2025 09:00 AM,MUNICIPAL COUNCILS||District South Goa||Margao Municipal Council||Technical  Section,01-Oct-2025 01:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SA2UmBER2lSK1LoIXPd4P9A%3D%3D
3,2025_ZP_24803_1,[Supply of School Desk Benches to South Goa Zilla Panchayat ],26-Sep-2025 06:00 PM,ZILLA PANCHAYATS||SOUTH GOA ZILLA PANCHAYAT||Technical Section,06-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SaRNK7RSba8NISXBU1IUaZA%3D%3D
4,2025_GWMC_24152_1,"[Design, Engineering, Financing, Construction, Supply, Installation, Commissioning, Performance Run and Operation and Maintenance for a period of Fifteen (15) years of 100 TPD capacity Solid Waste Processing Facility, at Bainguinim, Goa]",11-Aug-2025 06:00 PM,GOA WASTE MANAGEMENT CORPORATION||Technical Section,10-Oct-2025 04:30 PM,https://eprocure.goa.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S%2FtfHM0vag9o1DljqS7TWkg%3D%3D
5,2025_WRD_24781_1,[Repairing extending and restoring of water course OR 7A of Main canal of SIP at Cuncolim Village of Salcete Taluka.],25-Sep-2025 01:00 PM,WATER RESOURCE DEPARTMENT||CIRCLE IV||DIVISION XIV,08-Oct-2025 04:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S5UcES1gPKCGZnj%2B02i2iAQ%3D%3D
6,2025_WRD_24449_1,[Improvement and Beatification of Ganpati Visarjan Platform at Manaswada Chimbel in St. Cruz Constituency.],08-Sep-2025 05:30 PM,WATER RESOURCE DEPARTMENT||CIRCLE I||DIVISION - I,29-Sep-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S5wORcizGPI6nUih4pAIAAQ%3D%3D
7,2025_DRD_24738_1,[Repair and Renovation of Sub-Health Centre in  V.P. Caurem-Pirla in Sanguem Constituency],23-Sep-2025 04:00 PM,Department of Rural Development||District Rural Development Agency (South)||Engineering Wing,07-Oct-2025 11:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=ScW%2BL%2BEUizFp3V6sfK0ZH4Q%3D%3D
8,2025_ED_24747_1,"[Tender for the Work of arranging power supply to The Directorate of Health Service, Campal Panajim Goa, Velgem, Bicholim for a load of 246.98 KVA at 11 KV level under the jurisdiction of S.d II Sankhalim , Sankhalim Goa.  ]",24-Sep-2025 06:00 PM,"ELECTRICITY DEPARTMENT||CIRCLE - II (NORTH)||DIVISION -  V, Bicholim",01-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S1LoiGZqgoxZ1qvThZO1QLQ%3D%3D
9,2025_IT_24807_1,[Appointment of an Event Management Agency for Goa Startup Accelerator Program],29-Sep-2025 04:00 PM,"DEPARTMENT OF INFORMATION TECHNOLOGY, ELECTRONICS AND COMMUNICATIONS",06-Oct-2025 06:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SQp7xzMWUXF7zYmzhPwgBFQ%3D%3D
10,2025_WRD_24764_1,[Supplying and fixing of fiber glass reinforced plastic (FRP) Needles without F.R.P. coated MS frames. Needles of standard size for OTB Ganapati Panto at Khushawati river / Carca river in Rivona village of Sanguem Taluka /Quepem taluka.],24-Sep-2025 06:00 PM,WATER RESOURCE DEPARTMENT||CIRCLE IV||DIVISION XIV,08-Oct-2025 04:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S9CRSTBmhJTEvEntbOK0etA%3D%3D
11,2025_SIDCG_24682_1,[Rehab. of NME pipe sewers by trench. techn. using inline replac. of existing sewers of Vasco Sew Sys with HDPE pipe by pipe bursting method in Driver Hill Rd and Areas of Ward 16 and Surr.Ar. in Vasco Const. Retender],20-Sep-2025 05:30 PM,SEWERAGE AND INFRASTRUCTURAL DEVELOPMENT CORPORATION OF GOA LTD||TECHNICAL,30-Sep-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SBNTpnR9DpId49D2jKKlEBw%3D%3D
12,2025_WRD_24734_1,"[Improvement to the irrigation tank near Rastroli Devastan, Deulwada Mandrem in Mandrem Constituency.]",23-Sep-2025 05:30 PM,WATER RESOURCE DEPARTMENT||CIRCLE I||DIVISION - I,01-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SKdo%2F%2BxckgEceVrAnot5zsw%3D%3D
13,2025_ZP_24652_1,[Re-Construction of Protection wall for existing pathway from Nagazar Devasthan to Sundari Gaude house at Nagazarwada in ward no.3 in V.P. Bhoma Adcolna in Betqui Candola Constituency],19-Sep-2025 06:00 PM,ZILLA PANCHAYATS||SOUTH GOA ZILLA PANCHAYAT||Technical Section,06-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SUfrqq446Cebvi3DUtBME7Q%3D%3D
14,2025_WRD_24527_1,[Construction of Open Crested Gated Weir across the Khandepar river  Renovation Improvement  Automation of existing LI scheme at Nirankal  to provide Irrigation  drinking water  to  Nirankal Vakdevat Kumbharwada Paaz in Ponda taluka.],12-Sep-2025 05:30 PM,WATER RESOURCE DEPARTMENT||CIRCLE V||DIVISION - III,10-Oct-2025 04:00 PM,https://eprocure.goa.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S5%2FYXBMTThSiDfFEroFK3aQ%3D%3D
15,2025_ZP_24458_1,[Repairs to steps  providing chequered tiles near Gorvoi Devasthan at Velipwada in V.P. Barcem of Barcem Constituency],09-Sep-2025 06:00 PM,ZILLA PANCHAYATS||SOUTH GOA ZILLA PANCHAYAT||Technical Section,03-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SMaUmxP8XSk6V4DbOQnhMEQ%3D%3D
16,2025_PWD_24563_1,"[Urgent Maintenanace and Repairs to the Administracao building (Comunidades), South Zone, Margao in Margao constituency (Re-Tender).]",15-Sep-2025 03:00 PM,PUBLIC WORKS DEPARTMENT||CIRCLE - I-Panaji||DIVISION -VIII-Margao,06-Oct-2025 11:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Su%2Bb2iKiq7y%2BiwJSBl0IXPQ%3D%3D
17,2025_PWD_24589_1,"[Supply, Installation, Testing and Commissioning of 4 body Mortuary Cabinet (3 nos) at Asilo Hospital Peddem Mapusa Goa.]",16-Sep-2025 06:00 PM,PUBLIC WORKS DEPARTMENT||CIRCLE - VII- Panaji||DIVISION - IV- Caranzalem,30-Sep-2025 06:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SnaSgUfRJ%2FP7sJ%2FMTB5wSjg%3D%3D
18,2025_DOT_24419_1,"[RE-DEVELOPMENT, OPERATION AND MAINTENANCE AND  TRANSFER OF MAPUSA BUS TERMINAL IN MAPUSA, GOA ON  PUBLIC PRIVATE PARTNERSHIP (PPP) MODE ]",05-Sep-2025 05:00 PM,DIRECTORATE OF TRANSPORT,21-Oct-2025 03:00 PM,https://eprocure.goa.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SKFK7A5%2Ff%2BQ7q65%2F68wMjvw%3D%3D
