S.No,Page No,e-Published Date,Closing Date,Opening Date,Title,TenderID,Link,Organisation Chain
21,2,26-Sep-2025 12:00 PM,08-Oct-2025 04:00 PM,10-Oct-2025 10:00 AM,[Improvement of the internal road of Government Agriculture farm (Durga farm) at Chinchinim in Salcete Taluka],"[Improvement of the internal road of Government Agriculture farm (Durga farm) at Chinchinim in Salcete Taluka]
																				[SCD/D.Agri./25-26/e49/L1/652                                     ][2025_DAG_24788_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Srsdmx%2BHUfu2byzFLwbrXgg%3D%3D,DIRECTORATE OF AGRICULTURE||NORTH GOA||SOIL CONSERVATION DIVISION
22,2,25-Sep-2025 06:45 PM,01-Oct-2025 03:30 PM,03-Oct-2025 11:00 AM,[TENDER FOR PROVIDING PEST CONTROL SERVICES AT GTDC RESIDENCIES],"[TENDER FOR PROVIDING PEST CONTROL SERVICES AT GTDC RESIDENCIES]
																				[No. 2/5/09-581/2025/GT/HE/2499][2025_GTDCL_24785_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SDDk6rjLFiuJsjlHyBhv%2BXQ%3D%3D,Goa Tourism Development Corporation Limited||HEAD OFFICE||Marketing
23,2,25-Sep-2025 06:00 PM,06-Oct-2025 03:00 PM,08-Oct-2025 10:00 AM,"[Maintainence of electrical installation at the official residence of Honble Chief Minister,Altinho,Panaji-Goa for the period of one year.]","[Maintainence of electrical installation at the official residence of Honble Chief Minister,Altinho,Panaji-Goa for the period of one year.]
																				[31/1/2025-26/ASW-IV/EMN/PWD/25 LINE01][2025_PWD_24784_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SEaVXtzKbHznXx%2FaFuIFRog%3D%3D,PUBLIC WORKS DEPARTMENT||CIRCLE - VII- Panaji||DIVISION - IV- Caranzalem
24,2,25-Sep-2025 04:00 PM,06-Oct-2025 05:00 PM,07-Oct-2025 11:00 AM,[Construction of flood protection wall from Uday Naik house to Cajetan Pereira house in Sy. No. 125/1 at Maime Wado in V.P. Nerul in Saligao Constituency. (IInd Call)],"[Construction of flood protection wall from Uday Naik house to Cajetan Pereira house in Sy. No. 125/1 at Maime Wado in V.P. Nerul in Saligao Constituency. (IInd Call)]
																				[6-9/WDI/WRD/ASW/2025-26/e-27][2025_WRD_24782_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SqEPPI7X8137cSjd13iOZYg%3D%3D,WATER RESOURCE DEPARTMENT||CIRCLE I||DIVISION - I
25,2,25-Sep-2025 02:00 PM,06-Oct-2025 04:00 PM,08-Oct-2025 03:30 PM,[Strengthening of upstream side of super passage at Ch. 3.880 Km on LBMC of AIP at village Keri in Sattari Taluka. (2nd Call).],"[Strengthening of upstream side of super passage at Ch. 3.880 Km on LBMC of AIP at village Keri in Sattari Taluka. (2nd Call).]
																				[F.6/WRD/AIP/WD V/Accts/TN-06/2025-26 dated 25/09/2025][2025_WRD_24783_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SQ5evV0LqOO7bRZtNYF%2FuNQ%3D%3D,WATER RESOURCE DEPARTMENT||CIRCLE III||DIVISION - V
26,2,25-Sep-2025 01:00 PM,08-Oct-2025 04:00 PM,10-Oct-2025 11:00 AM,[Supplying and fixing of fiber glass reinforced plastic (FRP) Needles without F.R.P. coated MS frames. Needles of standard size for OTB Vimleshwar at Khushawati river / Carca river in Rivona village of Sanguem Taluka /Quepem taluka],"[Supplying and fixing of fiber glass reinforced plastic (FRP) Needles without F.R.P. coated MS frames. Needles of standard size for OTB Vimleshwar at Khushawati river / Carca river in Rivona village of Sanguem Taluka /Quepem taluka]
																				[WRD/WDXIV/TECH/F3/25-26/06-6][2025_WRD_24778_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=ShkGyMslSDqGyDngsZUU%2Fwg%3D%3D,WATER RESOURCE DEPARTMENT||CIRCLE IV||DIVISION XIV
27,2,25-Sep-2025 01:00 PM,08-Oct-2025 04:00 PM,10-Oct-2025 11:00 AM,[Repair and Improvement of Water Courses 6L and its field channels of Kottombi branch canal in Baga Kottombi village of Quepem Taluka.],"[Repair and Improvement of Water Courses 6L and its field channels of Kottombi branch canal in Baga Kottombi village of Quepem Taluka.]
																				[WRD/WDXIV/TECH/F3/25-26/06-8][2025_WRD_24780_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sa%2FMpixEIIc2VnVvQz371tQ%3D%3D,WATER RESOURCE DEPARTMENT||CIRCLE IV||DIVISION XIV
28,2,25-Sep-2025 01:00 PM,08-Oct-2025 04:00 PM,10-Oct-2025 11:00 AM,"[Installation of warning Signboards at bandharas and along the Main canal, from ch. 10.80 kms to 18.45 kms, Minor M2 canal, water courses etc. of SIP pertaining to S.D.IV, Works Division XIV, Quepem.]","[Installation of warning Signboards at bandharas and along the Main canal, from ch. 10.80 kms to 18.45 kms, Minor M2 canal, water courses etc. of SIP pertaining to S.D.IV, Works Division XIV, Quepem.]
																				[WRD/WDXIV/TECH/F3/25-26/06-7][2025_WRD_24779_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S39aj7Oa%2FTbc7Ir%2BU8yMnYw%3D%3D,WATER RESOURCE DEPARTMENT||CIRCLE IV||DIVISION XIV
29,2,25-Sep-2025 01:00 PM,08-Oct-2025 04:00 PM,10-Oct-2025 11:00 AM,[Supplying and fixing of fiber glass reinforced plastic (FRP) Needles without F.R.P. coated MS frames. Needles of standard size for OTB Bamnamol at Khushawati river / Carca river in Rivona village of Sanguem Taluka /Quepem taluka],"[Supplying and fixing of fiber glass reinforced plastic (FRP) Needles without F.R.P. coated MS frames. Needles of standard size for OTB Bamnamol at Khushawati river / Carca river in Rivona village of Sanguem Taluka /Quepem taluka]
																				[WRD/WDXIV/TECH/F3/25-26/06-5][2025_WRD_24776_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SjTl8GrxnZeqskUp29xZBiQ%3D%3D,WATER RESOURCE DEPARTMENT||CIRCLE IV||DIVISION XIV
30,2,25-Sep-2025 01:00 PM,08-Oct-2025 04:00 PM,10-Oct-2025 11:00 AM,[Repairing extending and restoring of water course OR 7A of Main canal of SIP at Cuncolim Village of Salcete Taluka.],"[Repairing extending and restoring of water course OR 7A of Main canal of SIP at Cuncolim Village of Salcete Taluka.]
																				[WRD/WDXIV/TECH/F3/25-26/06-9][2025_WRD_24781_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S5UcES1gPKCGZnj%2B02i2iAQ%3D%3D,WATER RESOURCE DEPARTMENT||CIRCLE IV||DIVISION XIV
